Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
73,Dendritic Cell,ARID5B,1.35,NEW,TRUE,FALSE,FALSE,,
74,Dendritic Cell,ARIH2,25.8,KNOWN,FALSE,TRUE,FALSE,,
75,Dendritic Cell,ARNTL,5.15,NEW,FALSE,TRUE,FALSE,,
76,Dendritic Cell,ARRB1,18.8,KNOWN,FALSE,TRUE,FALSE,,
77,Dendritic Cell,ARRB2,47.85,NEW,FALSE,TRUE,FALSE,,
78,Dendritic Cell,ARSG,4.75,NEW,TRUE,FALSE,FALSE,,
79,Dendritic Cell,ASAP1,1.8,NEW,TRUE,FALSE,FALSE,,
80,Dendritic Cell,ASCC3,4.2,NEW,TRUE,FALSE,FALSE,,
81,Dendritic Cell,ASH2L,19,KNOWN,FALSE,TRUE,FALSE,,
82,Dendritic Cell,ATF1,13.5,NEW,TRUE,TRUE,TRUE,,
83,Dendritic Cell,ATF2,15.2,NEW,TRUE,TRUE,TRUE,,
84,Dendritic Cell,ATF3,1.05,KNOWN,TRUE,TRUE,TRUE,,
85,Dendritic Cell,ATF4,31.55,KNOWN,FALSE,TRUE,FALSE,,
86,Dendritic Cell,ATG4C,23.05,NEW,TRUE,FALSE,FALSE,,
87,Dendritic Cell,ATG7,42.4,KNOWN,FALSE,TRUE,FALSE,,
88,Dendritic Cell,ATL1,1.55,NEW,TRUE,FALSE,FALSE,,
89,Dendritic Cell,ATP13A1,5.1,NEW,TRUE,FALSE,FALSE,,
90,Dendritic Cell,ATP6V0A1,8.15,KNOWN,TRUE,FALSE,FALSE,,
91,Dendritic Cell,ATR,1.15,KNOWN,TRUE,TRUE,TRUE,,
92,Dendritic Cell,AURKA,1.95,KNOWN,TRUE,TRUE,TRUE,,
93,Dendritic Cell,AUTS2,1.7,NEW,TRUE,FALSE,FALSE,,
94,Dendritic Cell,AXL,14.35,KNOWN,TRUE,TRUE,TRUE,,
95,Dendritic Cell,B3GAT3,15.95,NEW,TRUE,FALSE,FALSE,,
96,Dendritic Cell,BACH1,13.65,NEW,TRUE,FALSE,FALSE,,
97,Dendritic Cell,BAD,65.45,KNOWN,FALSE,TRUE,FALSE,,
98,Dendritic Cell,BAG1,26.65,KNOWN,FALSE,TRUE,FALSE,,
99,Dendritic Cell,BAK1,25.8,KNOWN,TRUE,TRUE,TRUE,,
100,Dendritic Cell,BANP,24.45,KNOWN,TRUE,FALSE,FALSE,,
101,Dendritic Cell,BARD1,4.8,NEW,FALSE,TRUE,FALSE,,
102,Dendritic Cell,BAX,11.15,KNOWN,TRUE,TRUE,TRUE,,
103,Dendritic Cell,BCAP31,477.15,KNOWN,FALSE,TRUE,FALSE,,
104,Dendritic Cell,BCAS3,7.8,NEW,TRUE,FALSE,FALSE,,
105,Dendritic Cell,BCAT1,4.2,NEW,TRUE,FALSE,FALSE,,
106,Dendritic Cell,BCL11A,455.55,NEW,TRUE,FALSE,FALSE,,
107,Dendritic Cell,BCL2A1,10.65,NEW,TRUE,FALSE,FALSE,,
108,Dendritic Cell,BCL2L1,10.7,KNOWN,TRUE,TRUE,TRUE,,
109,Dendritic Cell,BCL2L11,1.3,KNOWN,FALSE,TRUE,FALSE,,
110,Dendritic Cell,BCL3,2.35,KNOWN,TRUE,TRUE,TRUE,,
111,Dendritic Cell,BCL6,12.6,KNOWN,TRUE,TRUE,TRUE,,
112,Dendritic Cell,BCOR,3.2,KNOWN,TRUE,FALSE,FALSE,,
113,Dendritic Cell,BECN1,86.85,KNOWN,FALSE,TRUE,FALSE,,
114,Dendritic Cell,BHLHE40,14.25,KNOWN,TRUE,FALSE,FALSE,,
115,Dendritic Cell,BID,263.15,KNOWN,TRUE,TRUE,TRUE,,
116,Dendritic Cell,BIK,31.25,NEW,FALSE,TRUE,FALSE,,
117,Dendritic Cell,BIN1,16.7,KNOWN,TRUE,FALSE,FALSE,,
118,Dendritic Cell,BIRC2,24.2,KNOWN,TRUE,TRUE,TRUE,,
119,Dendritic Cell,BIRC3,1.6,KNOWN,TRUE,TRUE,TRUE,,
120,Dendritic Cell,BLK,8.1,KNOWN,TRUE,TRUE,TRUE,,
121,Dendritic Cell,BLVRA,68.35,NEW,TRUE,TRUE,TRUE,,
122,Dendritic Cell,BMI1,1.2,KNOWN,FALSE,TRUE,FALSE,,
123,Dendritic Cell,BNIP3,4.4,NEW,TRUE,FALSE,FALSE,,
124,Dendritic Cell,BNIP3L,91.1,NEW,TRUE,FALSE,FALSE,,
125,Dendritic Cell,BORA,2.25,NEW,FALSE,TRUE,FALSE,,
126,Dendritic Cell,BRD8,9.15,KNOWN,TRUE,FALSE,FALSE,,
127,Dendritic Cell,BST1,52.65,NEW,TRUE,FALSE,FALSE,,
128,Dendritic Cell,BST2,310.45,NEW,TRUE,FALSE,FALSE,,
129,Dendritic Cell,BTBD1,3.25,NEW,TRUE,FALSE,FALSE,,
130,Dendritic Cell,BTG1,46.25,NEW,TRUE,FALSE,FALSE,,
131,Dendritic Cell,BTG2,22.7,NEW,TRUE,TRUE,TRUE,,
132,Dendritic Cell,BTG3,5,NEW,TRUE,FALSE,FALSE,,
133,Dendritic Cell,BTN2A1,7.9,NEW,TRUE,FALSE,FALSE,,
134,Dendritic Cell,BTN2A2,14.95,NEW,TRUE,FALSE,FALSE,,
135,Dendritic Cell,BTN3A1,5.75,NEW,TRUE,FALSE,FALSE,,
136,Dendritic Cell,BTN3A2,15.9,NEW,TRUE,FALSE,FALSE,,
137,Dendritic Cell,BTRC,1.5,KNOWN,FALSE,TRUE,FALSE,,
138,Dendritic Cell,C5AR1,3.25,KNOWN,TRUE,FALSE,FALSE,,
139,Dendritic Cell,CAB39,2.35,NEW,TRUE,FALSE,FALSE,,
140,Dendritic Cell,CALM1,337.3,KNOWN,FALSE,TRUE,FALSE,,
141,Dendritic Cell,CALM2,1086.95,KNOWN,FALSE,TRUE,FALSE,,
142,Dendritic Cell,CALR,139.15,KNOWN,FALSE,TRUE,FALSE,,
143,Dendritic Cell,CAMK2D,6.9,KNOWN,TRUE,TRUE,TRUE,,
144,Dendritic Cell,CAMK2G,13.35,KNOWN,TRUE,TRUE,TRUE,,
145,Dendritic Cell,CANX,55.05,NEW,FALSE,TRUE,FALSE,,
146,Dendritic Cell,CAPN1,38.8,KNOWN,FALSE,TRUE,FALSE,,
147,Dendritic Cell,CAPN2,70.05,KNOWN,TRUE,FALSE,FALSE,,
148,Dendritic Cell,CASP1,99.1,KNOWN,TRUE,TRUE,TRUE,,
149,Dendritic Cell,CASP2,17.2,KNOWN,TRUE,TRUE,TRUE,,
150,Dendritic Cell,CASP3,26.35,KNOWN,TRUE,TRUE,TRUE,,
151,Dendritic Cell,CASP4,79.4,KNOWN,TRUE,FALSE,FALSE,,
152,Dendritic Cell,CASP6,10.05,NEW,TRUE,TRUE,TRUE,,
153,Dendritic Cell,CASP7,5.25,NEW,TRUE,TRUE,TRUE,,
154,Dendritic Cell,CASP8AP2,6.85,KNOWN,FALSE,TRUE,FALSE,,
155,Dendritic Cell,CASP9,14.75,KNOWN,FALSE,TRUE,FALSE,,
156,Dendritic Cell,CAST,60.2,NEW,TRUE,FALSE,FALSE,,
157,Dendritic Cell,CAT,262.3,NEW,FALSE,TRUE,FALSE,,
158,Dendritic Cell,CBL,1.75,KNOWN,FALSE,TRUE,FALSE,,
159,Dendritic Cell,CBLB,1.95,KNOWN,TRUE,TRUE,TRUE,,
160,Dendritic Cell,CCAR2,14.4,NEW,FALSE,TRUE,FALSE,,
161,Dendritic Cell,CCDC12,148.7,NEW,TRUE,FALSE,FALSE,,
162,Dendritic Cell,CCDC6,2.75,NEW,TRUE,TRUE,TRUE,,
