Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
323,Dendritic Cell,DOK1,11.15,KNOWN,TRUE,TRUE,TRUE,,
324,Dendritic Cell,DPM1,20.5,NEW,FALSE,TRUE,FALSE,,
325,Dendritic Cell,DPP4,2.35,KNOWN,FALSE,TRUE,FALSE,,
326,Dendritic Cell,DPYD,15.35,NEW,TRUE,FALSE,FALSE,,
327,Dendritic Cell,DPYSL2,50.65,NEW,TRUE,FALSE,FALSE,,
328,Dendritic Cell,DSE,3.8,NEW,TRUE,FALSE,FALSE,,
329,Dendritic Cell,DST,1.55,NEW,TRUE,FALSE,FALSE,,
330,Dendritic Cell,DTNA,1.9,NEW,TRUE,FALSE,FALSE,,
331,Dendritic Cell,DTNBP1,18.85,KNOWN,TRUE,FALSE,FALSE,,
332,Dendritic Cell,DTWD1,18.3,NEW,TRUE,FALSE,FALSE,,
333,Dendritic Cell,DTX3L,4.15,NEW,TRUE,FALSE,FALSE,,
334,Dendritic Cell,DUSP1,120.45,KNOWN,TRUE,TRUE,TRUE,,
335,Dendritic Cell,DUSP10,3,KNOWN,TRUE,TRUE,TRUE,,
336,Dendritic Cell,DUSP11,37.1,NEW,TRUE,FALSE,FALSE,,
337,Dendritic Cell,DUSP22,27.85,KNOWN,TRUE,TRUE,TRUE,,
338,Dendritic Cell,DUSP3,20.9,NEW,TRUE,TRUE,TRUE,,
339,Dendritic Cell,DUSP5,6.95,NEW,TRUE,TRUE,TRUE,,
340,Dendritic Cell,DUSP6,49.9,KNOWN,FALSE,TRUE,FALSE,,
341,Dendritic Cell,DUSP7,5.35,NEW,TRUE,TRUE,TRUE,,
342,Dendritic Cell,DVL2,5.4,KNOWN,FALSE,TRUE,FALSE,,
343,Dendritic Cell,DYM,16.6,NEW,TRUE,FALSE,FALSE,,
344,Dendritic Cell,E2F3,1.65,KNOWN,TRUE,TRUE,TRUE,,
345,Dendritic Cell,E2F4,9.35,KNOWN,TRUE,TRUE,TRUE,,
346,Dendritic Cell,EARS2,3.7,NEW,TRUE,FALSE,FALSE,,
347,Dendritic Cell,ECE1,1.65,KNOWN,TRUE,FALSE,FALSE,,
348,Dendritic Cell,ECSIT,27.35,NEW,FALSE,TRUE,FALSE,,
349,Dendritic Cell,EDEM2,70.2,NEW,TRUE,FALSE,FALSE,,
350,Dendritic Cell,EEF1A1,6032.05,NEW,TRUE,FALSE,FALSE,,
351,Dendritic Cell,EFCAB2,5.8,NEW,TRUE,FALSE,FALSE,,
352,Dendritic Cell,EFHC1,3.3,NEW,TRUE,FALSE,FALSE,,
353,Dendritic Cell,EGLN3,12.85,NEW,TRUE,FALSE,FALSE,,
354,Dendritic Cell,EHD1,7.25,NEW,TRUE,FALSE,FALSE,,
355,Dendritic Cell,EI24,11.55,NEW,TRUE,FALSE,FALSE,,
356,Dendritic Cell,EIF2A,39.6,NEW,FALSE,TRUE,FALSE,,
357,Dendritic Cell,EIF2AK1,5.75,NEW,TRUE,FALSE,FALSE,,
358,Dendritic Cell,EIF2AK2,8.4,KNOWN,TRUE,TRUE,TRUE,,
359,Dendritic Cell,EIF2AK4,39.55,NEW,FALSE,TRUE,FALSE,,
360,Dendritic Cell,EIF2S1,52.4,NEW,TRUE,TRUE,TRUE,,
361,Dendritic Cell,EIF3H,324.95,NEW,TRUE,FALSE,FALSE,,
362,Dendritic Cell,EIF4B,66.7,KNOWN,FALSE,TRUE,FALSE,,
363,Dendritic Cell,EIF4E,31.2,KNOWN,TRUE,TRUE,TRUE,,
364,Dendritic Cell,EIF4EBP1,163.8,KNOWN,FALSE,TRUE,FALSE,,
365,Dendritic Cell,EIF4G2,233.8,NEW,FALSE,TRUE,FALSE,,
366,Dendritic Cell,ELAVL1,17.6,NEW,TRUE,TRUE,TRUE,,
367,Dendritic Cell,ELF1,43.2,NEW,TRUE,FALSE,FALSE,,
368,Dendritic Cell,ELF4,3.2,NEW,TRUE,FALSE,FALSE,,
369,Dendritic Cell,ELK1,7.35,KNOWN,FALSE,TRUE,FALSE,,
370,Dendritic Cell,ELL,6.85,NEW,TRUE,FALSE,FALSE,,
371,Dendritic Cell,ELMO1,36.1,KNOWN,TRUE,TRUE,TRUE,,
372,Dendritic Cell,ELP1,3.15,NEW,FALSE,TRUE,FALSE,,
373,Dendritic Cell,ELP3,14.4,KNOWN,TRUE,FALSE,FALSE,,
374,Dendritic Cell,EMC2,18,NEW,TRUE,FALSE,FALSE,,
375,Dendritic Cell,EML2,4.8,NEW,TRUE,FALSE,FALSE,,
376,Dendritic Cell,ENOX2,7.85,NEW,TRUE,FALSE,FALSE,,
377,Dendritic Cell,ENPP2,3.75,NEW,TRUE,FALSE,FALSE,,
378,Dendritic Cell,ENTPD1,17,NEW,TRUE,FALSE,FALSE,,
379,Dendritic Cell,EP300,1.7,KNOWN,TRUE,TRUE,TRUE,,
380,Dendritic Cell,EP400,2.45,KNOWN,FALSE,TRUE,FALSE,,
381,Dendritic Cell,EPB41L2,4.6,NEW,TRUE,FALSE,FALSE,,
382,Dendritic Cell,EPB41L3,1.05,NEW,TRUE,FALSE,FALSE,,
383,Dendritic Cell,EPHA2,4.3,KNOWN,TRUE,TRUE,TRUE,,
384,Dendritic Cell,EPS15,7.95,KNOWN,FALSE,TRUE,FALSE,,
385,Dendritic Cell,EPS8,2.6,KNOWN,TRUE,FALSE,FALSE,,
386,Dendritic Cell,EPSTI1,15.25,NEW,TRUE,FALSE,FALSE,,
387,Dendritic Cell,ERAP1,12.65,NEW,TRUE,FALSE,FALSE,,
388,Dendritic Cell,ERBIN,2.6,NEW,FALSE,TRUE,FALSE,,
389,Dendritic Cell,ERC1,1.3,KNOWN,TRUE,FALSE,FALSE,,
390,Dendritic Cell,ERCC1,205.35,KNOWN,TRUE,FALSE,FALSE,,
391,Dendritic Cell,ERCC5,10.8,KNOWN,FALSE,TRUE,FALSE,,
392,Dendritic Cell,ERCC6,3.1,NEW,FALSE,TRUE,FALSE,,
393,Dendritic Cell,ERGIC1,4.25,NEW,TRUE,FALSE,FALSE,,
394,Dendritic Cell,ERN1,3.25,KNOWN,TRUE,TRUE,TRUE,,
395,Dendritic Cell,ESYT2,2.05,NEW,TRUE,FALSE,FALSE,,
396,Dendritic Cell,ETS1,2.95,KNOWN,TRUE,TRUE,TRUE,,
397,Dendritic Cell,ETS2,16.85,KNOWN,TRUE,TRUE,TRUE,,
398,Dendritic Cell,ETV3,2.6,NEW,TRUE,FALSE,FALSE,,
399,Dendritic Cell,ETV6,4.1,NEW,TRUE,FALSE,FALSE,,
400,Dendritic Cell,EVL,2.35,NEW,TRUE,FALSE,FALSE,,
401,Dendritic Cell,EXOC4,10.65,KNOWN,TRUE,FALSE,FALSE,,
402,Dendritic Cell,EXOC6,7.1,NEW,TRUE,FALSE,FALSE,,
403,Dendritic Cell,EZH2,2,KNOWN,TRUE,TRUE,TRUE,,
404,Dendritic Cell,EZR,116.55,NEW,TRUE,TRUE,TRUE,,
405,Dendritic Cell,F8,1.25,KNOWN,TRUE,FALSE,FALSE,,
406,Dendritic Cell,FAF1,2.95,KNOWN,TRUE,FALSE,FALSE,,
407,Dendritic Cell,FAM111A,2,NEW,TRUE,FALSE,FALSE,,
408,Dendritic Cell,FAM129A,2.5,NEW,TRUE,FALSE,FALSE,,
409,Dendritic Cell,FAM13A,2.05,NEW,TRUE,TRUE,TRUE,,
410,Dendritic Cell,FAM172A,4.8,NEW,TRUE,FALSE,FALSE,,
411,Dendritic Cell,FAM49B,205.45,NEW,TRUE,FALSE,FALSE,,
412,Dendritic Cell,FAM78A,3.85,NEW,TRUE,FALSE,FALSE,,
413,Dendritic Cell,FANCG,2.55,KNOWN,FALSE,TRUE,FALSE,,
414,Dendritic Cell,FAS,5.7,NEW,TRUE,TRUE,TRUE,,
415,Dendritic Cell,FBLN2,3.1,NEW,TRUE,FALSE,FALSE,,
416,Dendritic Cell,FBP1,54.5,KNOWN,TRUE,FALSE,FALSE,,
417,Dendritic Cell,FBXO11,1.5,NEW,TRUE,FALSE,FALSE,,
418,Dendritic Cell,FBXO5,3.6,NEW,TRUE,TRUE,TRUE,,
419,Dendritic Cell,FBXW11,7.25,KNOWN,TRUE,FALSE,FALSE,,
420,Dendritic Cell,FBXW7,1.9,KNOWN,TRUE,TRUE,TRUE,,
421,Dendritic Cell,FCER1A,1310.6,KNOWN,TRUE,FALSE,FALSE,,
422,Dendritic Cell,FCER1G,2577.65,KNOWN,FALSE,TRUE,FALSE,,
423,Dendritic Cell,FCER2,2.2,KNOWN,TRUE,TRUE,TRUE,,
424,Dendritic Cell,FCGR1A,13.05,KNOWN,TRUE,FALSE,FALSE,,
425,Dendritic Cell,FCGR2A,41.15,NEW,FALSE,TRUE,FALSE,,
426,Dendritic Cell,FCGRT,673,KNOWN,TRUE,FALSE,FALSE,,
427,Dendritic Cell,FCHSD2,19.5,NEW,TRUE,FALSE,FALSE,,
428,Dendritic Cell,FDPS,76.6,NEW,TRUE,FALSE,FALSE,,
429,Dendritic Cell,FDXR,3.75,NEW,TRUE,FALSE,FALSE,,
430,Dendritic Cell,FEN1,13.45,KNOWN,FALSE,TRUE,FALSE,,
431,Dendritic Cell,FER,2.95,KNOWN,FALSE,TRUE,FALSE,,
432,Dendritic Cell,FES,98.15,KNOWN,FALSE,TRUE,FALSE,,
433,Dendritic Cell,FGGY,1.45,NEW,TRUE,FALSE,FALSE,,
434,Dendritic Cell,FGR,89.65,KNOWN,FALSE,TRUE,FALSE,,
435,Dendritic Cell,FHIT,5.4,NEW,TRUE,FALSE,FALSE,,
436,Dendritic Cell,FILIP1L,1.05,NEW,TRUE,FALSE,FALSE,,
437,Dendritic Cell,FKBP1A,439.85,KNOWN,FALSE,TRUE,FALSE,,
438,Dendritic Cell,FKBP5,61,NEW,TRUE,FALSE,FALSE,,
439,Dendritic Cell,FKBP8,9.95,KNOWN,FALSE,TRUE,FALSE,,
440,Dendritic Cell,FLI1,9.45,KNOWN,TRUE,TRUE,TRUE,,
441,Dendritic Cell,FLNA,13.8,KNOWN,FALSE,TRUE,FALSE,,
442,Dendritic Cell,FLNB,9.05,NEW,TRUE,FALSE,FALSE,,
443,Dendritic Cell,FLT3,41.1,KNOWN,FALSE,TRUE,FALSE,,
444,Dendritic Cell,FMR1,1.35,NEW,FALSE,TRUE,FALSE,,
445,Dendritic Cell,FNBP1,5.8,NEW,TRUE,FALSE,FALSE,,
446,Dendritic Cell,FNDC3B,2.35,NEW,TRUE,FALSE,FALSE,,
447,Dendritic Cell,FNIP2,1.1,NEW,TRUE,FALSE,FALSE,,
448,Dendritic Cell,FNTA,10.35,NEW,FALSE,TRUE,FALSE,,
449,Dendritic Cell,FOCAD,2.5,NEW,TRUE,FALSE,FALSE,,
450,Dendritic Cell,FOS,30.6,KNOWN,TRUE,TRUE,TRUE,,
451,Dendritic Cell,FOSL2,2.35,KNOWN,TRUE,FALSE,FALSE,,
452,Dendritic Cell,FOXJ3,5.65,NEW,TRUE,FALSE,FALSE,,
453,Dendritic Cell,FOXN3,19,NEW,TRUE,FALSE,FALSE,,
454,Dendritic Cell,FOXO3,2.05,KNOWN,TRUE,TRUE,TRUE,,
455,Dendritic Cell,FOXP1,15.2,KNOWN,TRUE,FALSE,FALSE,,
456,Dendritic Cell,FPR2,8.4,KNOWN,FALSE,TRUE,FALSE,,
457,Dendritic Cell,FRMD4B,14.65,NEW,TRUE,FALSE,FALSE,,
458,Dendritic Cell,FRS2,2.45,KNOWN,FALSE,TRUE,FALSE,,
459,Dendritic Cell,FRYL,1.15,NEW,TRUE,FALSE,FALSE,,
460,Dendritic Cell,FTO,14.7,NEW,TRUE,FALSE,FALSE,,
461,Dendritic Cell,FURIN,2,NEW,FALSE,TRUE,FALSE,,
462,Dendritic Cell,FUS,34.1,KNOWN,FALSE,TRUE,FALSE,,
463,Dendritic Cell,FYB1,68,NEW,TRUE,FALSE,FALSE,,
464,Dendritic Cell,FYN,5.2,KNOWN,TRUE,TRUE,TRUE,,
465,Dendritic Cell,G3BP1,46.9,KNOWN,FALSE,TRUE,FALSE,,
466,Dendritic Cell,GAB1,1.3,KNOWN,FALSE,TRUE,FALSE,,
467,Dendritic Cell,GAB2,1.4,KNOWN,TRUE,TRUE,TRUE,,
468,Dendritic Cell,GABPA,2.8,KNOWN,TRUE,FALSE,FALSE,,
469,Dendritic Cell,GADD45A,2.8,KNOWN,TRUE,TRUE,TRUE,,
470,Dendritic Cell,GADD45B,31.55,KNOWN,TRUE,FALSE,FALSE,,
471,Dendritic Cell,GALNT10,1.15,NEW,TRUE,FALSE,FALSE,,
472,Dendritic Cell,GALNT2,9.65,KNOWN,TRUE,FALSE,FALSE,,
473,Dendritic Cell,GAPDH,1648.55,NEW,FALSE,TRUE,FALSE,,
474,Dendritic Cell,GAS6,37.85,NEW,TRUE,FALSE,FALSE,,
475,Dendritic Cell,GAS7,2.75,KNOWN,TRUE,FALSE,FALSE,,
476,Dendritic Cell,GATAD2A,2.2,KNOWN,TRUE,FALSE,FALSE,,
477,Dendritic Cell,GBP1,16.8,NEW,TRUE,FALSE,FALSE,,
478,Dendritic Cell,GCLC,1.75,NEW,TRUE,FALSE,FALSE,,
479,Dendritic Cell,GFI1B,1.3,KNOWN,TRUE,FALSE,FALSE,,
480,Dendritic Cell,GIT1,1.8,NEW,FALSE,TRUE,FALSE,,
481,Dendritic Cell,GLIPR2,100.5,NEW,TRUE,FALSE,FALSE,,
482,Dendritic Cell,GLRX,261.75,KNOWN,FALSE,TRUE,FALSE,,
483,Dendritic Cell,GLS,2.4,NEW,TRUE,FALSE,FALSE,,
484,Dendritic Cell,GM2A,29.1,NEW,TRUE,FALSE,FALSE,,
485,Dendritic Cell,GMDS,8.7,NEW,TRUE,FALSE,FALSE,,
486,Dendritic Cell,GNA11,1.2,NEW,FALSE,TRUE,FALSE,,
487,Dendritic Cell,GNA13,3.45,NEW,FALSE,TRUE,FALSE,,
488,Dendritic Cell,GNA15,46.45,KNOWN,FALSE,TRUE,FALSE,,
489,Dendritic Cell,GNAI1,2.45,KNOWN,TRUE,TRUE,TRUE,,
490,Dendritic Cell,GNAI2,29.65,KNOWN,TRUE,TRUE,TRUE,,
491,Dendritic Cell,GNAI3,6.95,NEW,FALSE,TRUE,FALSE,,
492,Dendritic Cell,GNAQ,2.9,KNOWN,TRUE,TRUE,TRUE,,
493,Dendritic Cell,GNAS,67.4,NEW,FALSE,TRUE,FALSE,,
494,Dendritic Cell,GNB2,23.25,NEW,FALSE,TRUE,FALSE,,
495,Dendritic Cell,GNB5,14,NEW,FALSE,TRUE,FALSE,,
496,Dendritic Cell,GNG2,41.75,KNOWN,FALSE,TRUE,FALSE,,
497,Dendritic Cell,GOLPH3,6.95,NEW,TRUE,FALSE,FALSE,,
498,Dendritic Cell,GORASP1,4.65,NEW,FALSE,TRUE,FALSE,,
499,Dendritic Cell,GPATCH2,3.75,NEW,TRUE,FALSE,FALSE,,
500,Dendritic Cell,GPCPD1,2.9,NEW,TRUE,FALSE,FALSE,,
501,Dendritic Cell,GPD2,1.4,NEW,TRUE,FALSE,FALSE,,
502,Dendritic Cell,GPR107,1.35,NEW,TRUE,FALSE,FALSE,,
503,Dendritic Cell,GPR132,4.05,NEW,TRUE,FALSE,FALSE,,
504,Dendritic Cell,GPR141,3,NEW,TRUE,FALSE,FALSE,,
505,Dendritic Cell,GPR146,7.45,NEW,TRUE,FALSE,FALSE,,
506,Dendritic Cell,GRAMD1A,2.85,NEW,TRUE,FALSE,FALSE,,
507,Dendritic Cell,GRAMD1B,5.3,NEW,TRUE,FALSE,FALSE,,
508,Dendritic Cell,GRB2,81.3,KNOWN,TRUE,TRUE,TRUE,,
509,Dendritic Cell,GRK2,8.55,NEW,TRUE,TRUE,TRUE,,
510,Dendritic Cell,GRK5,1.05,KNOWN,TRUE,TRUE,TRUE,,
511,Dendritic Cell,GRK6,10.9,NEW,FALSE,TRUE,FALSE,,
512,Dendritic Cell,GRN,1260.45,KNOWN,FALSE,TRUE,FALSE,,
513,Dendritic Cell,GSAP,7.25,NEW,TRUE,FALSE,FALSE,,
514,Dendritic Cell,GSK3B,1.15,KNOWN,TRUE,TRUE,TRUE,,
515,Dendritic Cell,GSN,311.15,KNOWN,TRUE,TRUE,TRUE,,
516,Dendritic Cell,GSTK1,277.05,NEW,TRUE,FALSE,FALSE,,
517,Dendritic Cell,GSTP1,2204.9,KNOWN,TRUE,FALSE,FALSE,,
518,Dendritic Cell,GTDC1,1.25,NEW,TRUE,FALSE,FALSE,,
519,Dendritic Cell,GTF2H1,7.45,KNOWN,FALSE,TRUE,FALSE,,
520,Dendritic Cell,GTF2I,15.05,KNOWN,TRUE,TRUE,TRUE,,
521,Dendritic Cell,GZMB,2924.95,NEW,FALSE,TRUE,FALSE,,
522,Dendritic Cell,H2AFX,1.1,KNOWN,FALSE,TRUE,FALSE,,
523,Dendritic Cell,HAMP,2.5,NEW,TRUE,FALSE,FALSE,,
524,Dendritic Cell,HBP1,27.15,NEW,TRUE,FALSE,FALSE,,
525,Dendritic Cell,HCFC1,3.05,KNOWN,TRUE,FALSE,FALSE,,
526,Dendritic Cell,HCK,166.55,KNOWN,TRUE,TRUE,TRUE,,
527,Dendritic Cell,HDAC1,74.4,KNOWN,TRUE,TRUE,TRUE,,
528,Dendritic Cell,HDAC2,42.15,KNOWN,FALSE,TRUE,FALSE,,
529,Dendritic Cell,HDAC3,71.65,KNOWN,FALSE,TRUE,FALSE,,
530,Dendritic Cell,HDAC4,2.3,KNOWN,TRUE,TRUE,TRUE,,
531,Dendritic Cell,HDAC6,7.2,KNOWN,FALSE,TRUE,FALSE,,
532,Dendritic Cell,HDAC9,39.8,KNOWN,TRUE,FALSE,FALSE,,
533,Dendritic Cell,HERC1,5.45,NEW,TRUE,FALSE,FALSE,,
534,Dendritic Cell,HGF,2.6,NEW,TRUE,TRUE,TRUE,,
535,Dendritic Cell,HHAT,1.85,NEW,TRUE,FALSE,FALSE,,
536,Dendritic Cell,HIF1A,12.35,KNOWN,TRUE,TRUE,TRUE,,
537,Dendritic Cell,HIPK3,6.85,KNOWN,TRUE,FALSE,FALSE,,
538,Dendritic Cell,HIST1H2AM,22,NEW,FALSE,TRUE,FALSE,,
539,Dendritic Cell,HIST1H2BB,4.65,KNOWN,TRUE,FALSE,FALSE,,
540,Dendritic Cell,HIST2H2AC,25.15,KNOWN,FALSE,TRUE,FALSE,,
541,Dendritic Cell,HIVEP1,4.75,NEW,TRUE,FALSE,FALSE,,
542,Dendritic Cell,HK1,39.45,NEW,TRUE,FALSE,FALSE,,
543,Dendritic Cell,HK2,5.2,NEW,TRUE,FALSE,FALSE,,
544,Dendritic Cell,HLA-A,31.1,NEW,FALSE,TRUE,FALSE,,
545,Dendritic Cell,HLA-B,216.9,NEW,FALSE,TRUE,FALSE,,
546,Dendritic Cell,HLA-DMA,5.25,NEW,TRUE,FALSE,FALSE,,
547,Dendritic Cell,HLA-DMB,19.65,NEW,TRUE,FALSE,FALSE,,
548,Dendritic Cell,HLA-DOA,5.45,NEW,TRUE,FALSE,FALSE,,
549,Dendritic Cell,HLA-DOB,5.5,NEW,TRUE,FALSE,FALSE,,
550,Dendritic Cell,HLA-DPA1,167,NEW,TRUE,FALSE,FALSE,,
551,Dendritic Cell,HLA-DPB1,395.55,KNOWN,TRUE,FALSE,FALSE,,
552,Dendritic Cell,HLA-DQA1,365.1,NEW,TRUE,FALSE,FALSE,,
553,Dendritic Cell,HLA-DQB1,221.4,NEW,TRUE,FALSE,FALSE,,
554,Dendritic Cell,HLA-DRA,91.6,KNOWN,TRUE,FALSE,FALSE,,
555,Dendritic Cell,HLA-DRB1,395.6,NEW,TRUE,FALSE,FALSE,,
556,Dendritic Cell,HLA-DRB5,32.85,NEW,TRUE,FALSE,FALSE,,
557,Dendritic Cell,HLA-E,39.1,KNOWN,TRUE,TRUE,TRUE,,
558,Dendritic Cell,HLA-F,3.25,KNOWN,TRUE,FALSE,FALSE,,
559,Dendritic Cell,HLX,10.45,NEW,TRUE,FALSE,FALSE,,
560,Dendritic Cell,HM13,240.25,NEW,TRUE,FALSE,FALSE,,
561,Dendritic Cell,HMGA1,73.6,KNOWN,TRUE,FALSE,FALSE,,
562,Dendritic Cell,HMGB1,462.5,KNOWN,TRUE,TRUE,TRUE,,
563,Dendritic Cell,HMGB2,72.1,KNOWN,FALSE,TRUE,FALSE,,
564,Dendritic Cell,HMGN1,214.2,NEW,FALSE,TRUE,FALSE,,
565,Dendritic Cell,HMOX1,16.05,KNOWN,TRUE,TRUE,TRUE,,
566,Dendritic Cell,HNRNPK,324.45,NEW,TRUE,TRUE,TRUE,,
567,Dendritic Cell,HNRNPL,1.45,NEW,TRUE,FALSE,FALSE,,
568,Dendritic Cell,HNRNPM,78.4,NEW,FALSE,TRUE,FALSE,,
569,Dendritic Cell,HNRNPR,30.65,NEW,TRUE,FALSE,FALSE,,
570,Dendritic Cell,HNRNPU,21.65,NEW,TRUE,TRUE,TRUE,,
571,Dendritic Cell,HNRNPUL1,9.9,KNOWN,TRUE,FALSE,FALSE,,
572,Dendritic Cell,HOXA9,3.2,NEW,TRUE,FALSE,FALSE,,
573,Dendritic Cell,HPCAL1,26.55,NEW,TRUE,FALSE,FALSE,,
574,Dendritic Cell,HS1BP3,6.15,NEW,TRUE,FALSE,FALSE,,
575,Dendritic Cell,HSF1,16.55,KNOWN,FALSE,TRUE,FALSE,,
576,Dendritic Cell,HSP90AA1,131.75,NEW,TRUE,TRUE,TRUE,,
577,Dendritic Cell,HSP90AB1,269.6,KNOWN,TRUE,TRUE,TRUE,,
578,Dendritic Cell,HSP90B1,269.85,KNOWN,FALSE,TRUE,FALSE,,
579,Dendritic Cell,HSPB1,42.8,KNOWN,TRUE,TRUE,TRUE,,
580,Dendritic Cell,HSPD1,58.2,KNOWN,FALSE,TRUE,FALSE,,
581,Dendritic Cell,HTRA2,5,KNOWN,FALSE,TRUE,FALSE,,
582,Dendritic Cell,ICAM1,16.45,KNOWN,TRUE,TRUE,TRUE,,
583,Dendritic Cell,ICAM4,18.25,NEW,TRUE,FALSE,FALSE,,
584,Dendritic Cell,ID2,102.15,KNOWN,FALSE,TRUE,FALSE,,
585,Dendritic Cell,ID3,3.4,KNOWN,FALSE,TRUE,FALSE,,
586,Dendritic Cell,IDO1,10.9,KNOWN,TRUE,FALSE,FALSE,,
587,Dendritic Cell,IFI16,53.4,KNOWN,TRUE,TRUE,TRUE,,
588,Dendritic Cell,IFI35,57.9,NEW,TRUE,FALSE,FALSE,,
589,Dendritic Cell,IFI6,55.35,NEW,TRUE,FALSE,FALSE,,
590,Dendritic Cell,IFIT1,4.05,NEW,TRUE,FALSE,FALSE,,
591,Dendritic Cell,IFIT3,7.95,NEW,TRUE,FALSE,FALSE,,
592,Dendritic Cell,IFITM1,43.75,KNOWN,TRUE,TRUE,TRUE,,
593,Dendritic Cell,IFITM3,148.15,NEW,TRUE,FALSE,FALSE,,
594,Dendritic Cell,IFNLR1,5.3,NEW,TRUE,FALSE,FALSE,,
595,Dendritic Cell,IGF2R,1.35,KNOWN,TRUE,FALSE,FALSE,,
596,Dendritic Cell,IGFBP3,27.45,KNOWN,TRUE,TRUE,TRUE,,
597,Dendritic Cell,IKBKE,5.1,KNOWN,TRUE,TRUE,TRUE,,
598,Dendritic Cell,IL13RA1,8.6,KNOWN,FALSE,TRUE,FALSE,,
599,Dendritic Cell,IL15,2.7,KNOWN,TRUE,FALSE,FALSE,,
600,Dendritic Cell,IL15RA,3.1,KNOWN,TRUE,TRUE,TRUE,,
601,Dendritic Cell,IL16,118.65,NEW,TRUE,TRUE,TRUE,,
602,Dendritic Cell,IL18,14.4,KNOWN,TRUE,TRUE,TRUE,,
603,Dendritic Cell,IL1B,7.3,KNOWN,TRUE,TRUE,TRUE,,
604,Dendritic Cell,IL1RAP,1.8,KNOWN,FALSE,TRUE,FALSE,,
605,Dendritic Cell,IL3RA,274.05,NEW,FALSE,TRUE,FALSE,,
606,Dendritic Cell,IL4R,3.4,NEW,TRUE,TRUE,TRUE,,
607,Dendritic Cell,ILK,152.55,KNOWN,FALSE,TRUE,FALSE,,
608,Dendritic Cell,IMMP2L,17.15,NEW,TRUE,FALSE,FALSE,,
609,Dendritic Cell,ING1,4.05,KNOWN,TRUE,FALSE,FALSE,,
610,Dendritic Cell,INPP4A,2.05,NEW,TRUE,FALSE,FALSE,,
611,Dendritic Cell,INPP5D,8.25,NEW,TRUE,FALSE,FALSE,,
612,Dendritic Cell,INSR,8.05,KNOWN,TRUE,TRUE,TRUE,,
613,Dendritic Cell,INTS7,8.25,NEW,TRUE,FALSE,FALSE,,
614,Dendritic Cell,IPCEF1,7.2,NEW,TRUE,FALSE,FALSE,,
615,Dendritic Cell,IQGAP1,16.5,KNOWN,FALSE,TRUE,FALSE,,
616,Dendritic Cell,IQGAP2,4.9,KNOWN,TRUE,FALSE,FALSE,,
617,Dendritic Cell,IQSEC1,3.2,NEW,TRUE,FALSE,FALSE,,
618,Dendritic Cell,IRF1,69.95,KNOWN,TRUE,TRUE,TRUE,,
619,Dendritic Cell,IRF2,43.85,KNOWN,TRUE,FALSE,FALSE,,
620,Dendritic Cell,IRF5,27.3,NEW,TRUE,TRUE,TRUE,,
621,Dendritic Cell,ISG20,79.2,NEW,TRUE,FALSE,FALSE,,
622,Dendritic Cell,ITGA4,36.55,KNOWN,FALSE,TRUE,FALSE,,
623,Dendritic Cell,ITGA5,27.5,KNOWN,FALSE,TRUE,FALSE,,
624,Dendritic Cell,ITGAL,11.95,KNOWN,FALSE,TRUE,FALSE,,
625,Dendritic Cell,ITGAM,4.7,KNOWN,TRUE,TRUE,TRUE,,
626,Dendritic Cell,ITGAX,15.3,NEW,FALSE,TRUE,FALSE,,
627,Dendritic Cell,ITGB1,31.8,KNOWN,FALSE,TRUE,FALSE,,
628,Dendritic Cell,ITGB4,2.15,NEW,FALSE,TRUE,FALSE,,
629,Dendritic Cell,ITGB7,24.6,NEW,TRUE,TRUE,TRUE,,
630,Dendritic Cell,ITPR1,1.7,KNOWN,TRUE,FALSE,FALSE,,
631,Dendritic Cell,ITPR2,6.2,NEW,TRUE,FALSE,FALSE,,
632,Dendritic Cell,JAK2,16.3,KNOWN,TRUE,TRUE,TRUE,,
633,Dendritic Cell,JMJD1C,2.9,NEW,TRUE,FALSE,FALSE,,
634,Dendritic Cell,JUNB,41.75,KNOWN,TRUE,TRUE,TRUE,,
635,Dendritic Cell,JUND,7.75,KNOWN,TRUE,TRUE,TRUE,,
636,Dendritic Cell,KAT5,25.4,KNOWN,FALSE,TRUE,FALSE,,
637,Dendritic Cell,KAT8,3.7,NEW,FALSE,TRUE,FALSE,,
638,Dendritic Cell,KCNK1,3.1,NEW,TRUE,FALSE,FALSE,,
639,Dendritic Cell,KDM1A,4.55,KNOWN,FALSE,TRUE,FALSE,,
640,Dendritic Cell,KDM2B,3.8,KNOWN,TRUE,FALSE,FALSE,,
641,Dendritic Cell,KDM4C,5.1,NEW,TRUE,FALSE,FALSE,,
642,Dendritic Cell,KDM5A,24.85,KNOWN,FALSE,TRUE,FALSE,,
643,Dendritic Cell,KEAP1,34.8,KNOWN,FALSE,TRUE,FALSE,,
644,Dendritic Cell,KHDRBS1,7.4,KNOWN,FALSE,TRUE,FALSE,,
645,Dendritic Cell,KHDRBS2,1.1,NEW,FALSE,TRUE,FALSE,,
646,Dendritic Cell,KHSRP,5.1,NEW,TRUE,FALSE,FALSE,,
647,Dendritic Cell,KIF2A,13.7,NEW,TRUE,FALSE,FALSE,,
648,Dendritic Cell,KLF11,3.35,KNOWN,TRUE,FALSE,FALSE,,
