Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean,pLI,InItan,Pathway1,Pathway2,BothPathways,,
77,APC,2.872222222,1,KNOWN,FALSE,TRUE,FALSE,,
78,APEX1,87.82222222,1.92E-07,KNOWN,TRUE,TRUE,TRUE,,
79,APH1A,8.027777778,0.79479,KNOWN,FALSE,TRUE,FALSE,,
80,APOBEC3D,4.166666667,1.36E-18,NEW,TRUE,FALSE,FALSE,,
81,APOBEC3F,9.144444444,1.35E-07,NEW,TRUE,FALSE,FALSE,,
82,APOL4,0.222222222,0.0010662,NEW,TRUE,FALSE,FALSE,,
83,APOL6,4.322222222,0.096029,NEW,TRUE,FALSE,FALSE,,
84,APP,3.383333333,0.046544,KNOWN,TRUE,TRUE,TRUE,,
85,AR,0.105555556,0.98837,KNOWN,TRUE,TRUE,TRUE,,
86,ARAF,36.84444444,0.96322,KNOWN,FALSE,TRUE,FALSE,,
87,AREG,1.227777778,0.47061,NEW,FALSE,TRUE,FALSE,,
88,ARFGAP1,4.377777778,0.0015429,NEW,FALSE,TRUE,FALSE,,
89,ARHGAP1,25.77222222,0.76774,KNOWN,FALSE,TRUE,FALSE,,
90,ARHGAP10,3.411111111,1.31E-17,NEW,TRUE,FALSE,FALSE,,
91,ARHGAP12,2.25,5.51E-07,NEW,FALSE,TRUE,FALSE,,
92,ARHGAP15,94.6,1.37E-08,NEW,TRUE,FALSE,FALSE,,
93,ARHGAP22,0.133333333,3.40E-09,NEW,TRUE,FALSE,FALSE,,
94,ARHGAP24,5.277777778,3.95E-10,NEW,TRUE,FALSE,FALSE,,
95,ARHGAP25,133.4111111,0.94635,NEW,TRUE,FALSE,FALSE,,
96,ARHGAP26,2.85,0.99661,NEW,TRUE,FALSE,FALSE,,
97,ARHGAP31,1.194444444,0.99999,NEW,FALSE,TRUE,FALSE,,
98,ARHGAP32,0.138888889,0.99978,NEW,TRUE,TRUE,TRUE,,
99,ARHGAP35,0.272222222,1,NEW,FALSE,TRUE,FALSE,,
100,ARHGAP42,0.05,1,NEW,TRUE,FALSE,FALSE,,
101,ARHGAP5,3.3,0.99862,KNOWN,FALSE,TRUE,FALSE,,
102,ARHGAP6,0.033333333,0.99845,KNOWN,TRUE,FALSE,FALSE,,
103,ARHGDIB,2674.311111,0.0006377,KNOWN,FALSE,TRUE,FALSE,,
104,ARHGEF10L,2.533333333,0.00047308,NEW,TRUE,FALSE,FALSE,,
105,ARHGEF12,0.05,1,KNOWN,FALSE,TRUE,FALSE,,
106,ARHGEF2,12.75555556,1,KNOWN,TRUE,TRUE,TRUE,,
107,ARHGEF3,38.26111111,0.0040454,KNOWN,TRUE,FALSE,FALSE,,
108,ARHGEF6,15.42222222,0.99998,KNOWN,FALSE,TRUE,FALSE,,
109,ARHGEF7,7.327777778,0.99995,KNOWN,FALSE,TRUE,FALSE,,
110,ARID1A,1.477777778,1,KNOWN,TRUE,FALSE,FALSE,,
111,ARID1B,3.288888889,1,KNOWN,TRUE,FALSE,FALSE,,
112,ARID3A,1.083333333,0.99065,NEW,TRUE,TRUE,TRUE,,
113,ARID5B,9.827777778,1,NEW,TRUE,FALSE,FALSE,,
114,ARIH2,27.63888889,0.99374,KNOWN,FALSE,TRUE,FALSE,,
115,ARNTL,13.28333333,0.99444,NEW,FALSE,TRUE,FALSE,,
116,ARRB1,24.31111111,0.99394,KNOWN,FALSE,TRUE,FALSE,,
117,ARRB2,70.76111111,0.50658,NEW,FALSE,TRUE,FALSE,,
118,ARRDC4,0.45,1.71E-07,NEW,TRUE,FALSE,FALSE,,
119,ARSG,5.75,6.37E-10,NEW,TRUE,FALSE,FALSE,,
120,ARVCF,0.005555556,5.04E-11,NEW,FALSE,TRUE,FALSE,,
121,ASAP1,1.638888889,1,NEW,TRUE,FALSE,FALSE,,
122,ASCC3,3.388888889,1.15E-20,NEW,TRUE,FALSE,FALSE,,
123,ASH2L,20.37777778,0.99968,KNOWN,FALSE,TRUE,FALSE,,
124,ATF1,17.73888889,0.63426,NEW,TRUE,TRUE,TRUE,,
125,ATF2,16.90555556,0.99131,NEW,TRUE,TRUE,TRUE,,
126,ATF3,0.9,0.089296,KNOWN,TRUE,TRUE,TRUE,,
127,ATF4,25.41666667,0.015659,KNOWN,FALSE,TRUE,FALSE,,
128,ATG4C,13.75555556,4.67E-17,NEW,TRUE,FALSE,FALSE,,
129,ATG7,34.58888889,7.38E-12,KNOWN,FALSE,TRUE,FALSE,,
130,ATL1,2.116666667,0.98109,NEW,TRUE,FALSE,FALSE,,
131,ATP11C,0.572222222,0.9997,NEW,TRUE,FALSE,FALSE,,
132,ATP13A1,2.905555556,0.98939,NEW,TRUE,FALSE,FALSE,,
133,ATP2A2,0.35,0.99945,KNOWN,TRUE,FALSE,FALSE,,
134,ATP6V0A1,4.894444444,0.99797,KNOWN,TRUE,FALSE,FALSE,,
135,ATP8B4,1.188888889,3.67E-34,NEW,TRUE,FALSE,FALSE,,
136,ATR,1.511111111,3.52E-09,KNOWN,TRUE,TRUE,TRUE,,
137,ATRIP,0.45,1.99E-05,KNOWN,FALSE,TRUE,FALSE,,
138,ATXN1,0.311111111,0.97498,KNOWN,TRUE,FALSE,FALSE,,
139,AURKA,1.972222222,0.8676,KNOWN,TRUE,TRUE,TRUE,,
140,AURKB,0.916666667,0.0044521,KNOWN,TRUE,TRUE,TRUE,,
141,AUTS2,1.461111111,0.99934,NEW,TRUE,FALSE,FALSE,,
142,AXIN1,2.716666667,0.40765,KNOWN,TRUE,TRUE,TRUE,,
143,AXL,2.555555556,0.012951,KNOWN,TRUE,TRUE,TRUE,,
144,B3GAT3,16.91111111,2.71E-08,NEW,TRUE,FALSE,FALSE,,
145,BACE1,1.466666667,0.87888,KNOWN,FALSE,TRUE,FALSE,,
146,BACH1,22.17777778,0.57072,NEW,TRUE,FALSE,FALSE,,
147,BAD,54.45,0.0046237,KNOWN,FALSE,TRUE,FALSE,,
148,BAG1,16.23888889,6.53E-06,KNOWN,FALSE,TRUE,FALSE,,
149,BAG3,0.733333333,0.61738,KNOWN,TRUE,FALSE,FALSE,,
150,BAK1,34.47777778,7.40E-06,KNOWN,TRUE,TRUE,TRUE,,
151,BANP,22.32222222,0.99388,KNOWN,TRUE,FALSE,FALSE,,
152,BARD1,4.894444444,1.38E-24,NEW,FALSE,TRUE,FALSE,,
153,BAX,8.2,0.31746,KNOWN,TRUE,TRUE,TRUE,,
154,BBC3,0.544444444,0.0039762,NEW,TRUE,TRUE,TRUE,,
155,BCAP31,423.5444444,0.43366,KNOWN,FALSE,TRUE,FALSE,,
156,BCAR3,0.3,0.58213,NEW,TRUE,TRUE,TRUE,,
157,BCAS3,13.07777778,0.00013819,NEW,TRUE,FALSE,FALSE,,
158,BCAT1,1.616666667,3.80E-08,NEW,TRUE,FALSE,FALSE,,
159,BCL11A,87.56666667,0.96998,NEW,TRUE,FALSE,FALSE,,
160,BCL2,1.85,0.55903,KNOWN,TRUE,TRUE,TRUE,,
161,BCL2A1,62.58888889,0.20785,NEW,TRUE,FALSE,FALSE,,
162,BCL2L1,20.17222222,0.93667,KNOWN,TRUE,TRUE,TRUE,,
163,BCL2L11,2.611111111,0.88857,KNOWN,FALSE,TRUE,FALSE,,
164,BCL2L14,0.072222222,3.33E-05,NEW,TRUE,FALSE,FALSE,,
165,BCL3,1.966666667,0.98871,KNOWN,TRUE,TRUE,TRUE,,
166,BCL6,21.71111111,0.96038,KNOWN,TRUE,TRUE,TRUE,,
167,BCOR,3.272222222,1,KNOWN,TRUE,FALSE,FALSE,,
168,BCR,0.8,0.98761,KNOWN,FALSE,TRUE,FALSE,,
169,BDKRB2,0.005555556,0.11863,KNOWN,TRUE,TRUE,TRUE,,
170,BECN1,104.7444444,0.93717,KNOWN,FALSE,TRUE,FALSE,,
171,BHLHE40,16.85,0.99444,KNOWN,TRUE,FALSE,FALSE,,
172,BID,234.3777778,1.56E-11,KNOWN,TRUE,TRUE,TRUE,,
173,BIK,10.45555556,5.03E-06,NEW,FALSE,TRUE,FALSE,,
174,BIN1,97.27222222,0.77822,KNOWN,TRUE,FALSE,FALSE,,
175,BIRC2,32.5,0.42708,KNOWN,TRUE,TRUE,TRUE,,
176,BIRC3,16.85555556,0.065597,KNOWN,TRUE,TRUE,TRUE,,
177,BIRC5,1.422222222,0.055854,KNOWN,TRUE,TRUE,TRUE,,
178,BLK,16.06666667,8.35E-14,KNOWN,TRUE,TRUE,TRUE,,
179,BLVRA,87.13888889,0.00034786,NEW,TRUE,TRUE,TRUE,,
180,BMI1,3.705555556,0.94286,KNOWN,FALSE,TRUE,FALSE,,
181,BMP2,0.022222222,0.98799,KNOWN,FALSE,TRUE,FALSE,,
182,BMP4,0.333333333,0.9564,KNOWN,FALSE,TRUE,FALSE,,
183,BMPR1B,0.027777778,0.99863,KNOWN,TRUE,TRUE,TRUE,,
184,BMPR2,0.433333333,0.99998,KNOWN,FALSE,TRUE,FALSE,,
185,BMX,0.3,0.006673,KNOWN,TRUE,TRUE,TRUE,,
186,BNC2,0.194444444,0.92762,NEW,TRUE,FALSE,FALSE,,
187,BNIP3,11.75555556,1.97E-05,NEW,TRUE,FALSE,FALSE,,
188,BNIP3L,101.7388889,0.15274,NEW,TRUE,FALSE,FALSE,,
189,BORA,2.466666667,0.00032563,NEW,FALSE,TRUE,FALSE,,
190,BRAF,1.5,0.99995,KNOWN,FALSE,TRUE,FALSE,,
191,BRD8,12.12777778,1.56E-07,KNOWN,TRUE,FALSE,FALSE,,
192,BST1,42.18333333,4.21E-11,NEW,TRUE,FALSE,FALSE,,
193,BST2,186.0777778,0.00042516,NEW,TRUE,FALSE,FALSE,,
194,BTBD1,2.705555556,0.00011935,NEW,TRUE,FALSE,FALSE,,
195,BTC,0.005555556,0.062276,KNOWN,FALSE,TRUE,FALSE,,
196,BTG1,242.1111111,0.53641,NEW,TRUE,FALSE,FALSE,,
197,BTG2,17.89444444,0.019033,NEW,TRUE,TRUE,TRUE,,
198,BTG3,6.861111111,0.91582,NEW,TRUE,FALSE,FALSE,,
199,BTN2A1,12.65,3.40E-21,NEW,TRUE,FALSE,FALSE,,
200,BTN2A2,8.905555556,1.38E-11,NEW,TRUE,FALSE,FALSE,,
201,BTN3A1,22.41666667,5.87E-09,NEW,TRUE,FALSE,FALSE,,
202,BTN3A2,64.66111111,1.10E-10,NEW,TRUE,FALSE,FALSE,,
203,BTRC,1.972222222,0.011942,KNOWN,FALSE,TRUE,FALSE,,
204,BUB1,0.516666667,4.88E-09,KNOWN,TRUE,TRUE,TRUE,,
205,BUB1B,0.122222222,7.00E-10,KNOWN,FALSE,TRUE,FALSE,,
206,C4BPA,1.188888889,0.45739,KNOWN,FALSE,TRUE,FALSE,,
207,C5AR1,30.28888889,0.40249,KNOWN,TRUE,FALSE,FALSE,,
208,CAB39,4.505555556,0.068013,NEW,TRUE,FALSE,FALSE,,
209,CABLES1,0.088888889,0.0054966,NEW,TRUE,TRUE,TRUE,,
210,CACNA1A,0.111111111,1,NEW,TRUE,FALSE,FALSE,,
211,CALD1,0.088888889,0.99879,KNOWN,TRUE,FALSE,FALSE,,
212,CALM1,567.4055556,0.94473,KNOWN,FALSE,TRUE,FALSE,,
213,CALM2,945.4388889,0.92086,KNOWN,FALSE,TRUE,FALSE,,
214,CALR,97.82777778,0.89133,KNOWN,FALSE,TRUE,FALSE,,
215,CAMK2B,0.222222222,0.73914,KNOWN,TRUE,FALSE,FALSE,,
216,CAMK2D,7.094444444,0.002287,KNOWN,TRUE,TRUE,TRUE,,
217,CAMK2G,26.62222222,0.9991,KNOWN,TRUE,TRUE,TRUE,,
218,CAMK4,7.294444444,0.50957,KNOWN,TRUE,FALSE,FALSE,,
219,CANX,34.79444444,0.86635,NEW,FALSE,TRUE,FALSE,,
220,CAPN1,35.18888889,5.86E-10,KNOWN,FALSE,TRUE,FALSE,,
221,CAPN2,50.63333333,3.52E-22,KNOWN,TRUE,FALSE,FALSE,,
222,CASP1,122.05,3.52E-05,KNOWN,TRUE,TRUE,TRUE,,
223,CASP2,24.17222222,0.0015026,KNOWN,TRUE,TRUE,TRUE,,
224,CASP3,72.52777778,0.10017,KNOWN,TRUE,TRUE,TRUE,,
225,CASP4,128.4888889,3.05E-08,KNOWN,TRUE,FALSE,FALSE,,
226,CASP5,3.416666667,1.75E-16,KNOWN,FALSE,TRUE,FALSE,,
227,CASP6,11.47222222,0.00012665,NEW,TRUE,TRUE,TRUE,,
228,CASP7,9.811111111,5.36E-05,NEW,TRUE,TRUE,TRUE,,
229,CASP8AP2,11.02777778,NA,KNOWN,FALSE,TRUE,FALSE,,
230,CASP9,15.18333333,7.38E-06,KNOWN,FALSE,TRUE,FALSE,,
231,CAST,61.84444444,4.12E-12,NEW,TRUE,FALSE,FALSE,,
232,CASZ1,0.188888889,1,NEW,TRUE,FALSE,FALSE,,
233,CAT,345.5055556,1.63E-10,NEW,FALSE,TRUE,FALSE,,
234,CAV1,0.694444444,0.008274,KNOWN,TRUE,TRUE,TRUE,,
235,CBL,1.488888889,0.00060921,KNOWN,FALSE,TRUE,FALSE,,
236,CBLB,3.838888889,0.99825,KNOWN,TRUE,TRUE,TRUE,,
237,CBS,0.172222222,3.08E-05,NEW,FALSE,TRUE,FALSE,,
238,CCAR2,21.09444444,0.94099,NEW,FALSE,TRUE,FALSE,,
239,CCDC12,110.9444444,0.040132,NEW,TRUE,FALSE,FALSE,,
240,CCDC57,0.966666667,6.50E-16,NEW,TRUE,FALSE,FALSE,,
241,CCDC6,1.427777778,0.57714,NEW,TRUE,TRUE,TRUE,,
242,CCDC88C,3.766666667,3.30E-08,NEW,TRUE,FALSE,FALSE,,
243,CCDC91,5.422222222,3.81E-06,NEW,TRUE,FALSE,FALSE,,
244,CCL17,0.016666667,0.00013932,NEW,TRUE,FALSE,FALSE,,
245,CCL19,0.016666667,0.31691,NEW,TRUE,FALSE,FALSE,,
246,CCL2,0.566666667,0.60786,NEW,TRUE,TRUE,TRUE,,
247,CCL20,0.316666667,0.00024242,NEW,TRUE,FALSE,FALSE,,
248,CCL22,0.333333333,0.0084014,KNOWN,TRUE,FALSE,FALSE,,
249,CCL3,1.277777778,0.34981,KNOWN,TRUE,FALSE,FALSE,,
250,CCL4,55.42222222,0.24134,NEW,TRUE,FALSE,FALSE,,
251,CCL5,595.2388889,0.0017516,KNOWN,TRUE,TRUE,TRUE,,
252,CCM2,52.80555556,0.0092809,KNOWN,TRUE,FALSE,FALSE,,
253,CCNA1,2.161111111,0.00043117,NEW,TRUE,TRUE,TRUE,,
254,CCNA2,0.35,0.99962,KNOWN,TRUE,TRUE,TRUE,,
255,CCNB1,5.088888889,0.15993,KNOWN,TRUE,TRUE,TRUE,,
256,CCND1,0.161111111,0.89057,KNOWN,TRUE,TRUE,TRUE,,
257,CCND2,8.272222222,0.98658,KNOWN,TRUE,FALSE,FALSE,,
258,CCND3,309.5944444,0.98347,KNOWN,TRUE,TRUE,TRUE,,
259,CCNE1,0.144444444,0.97187,KNOWN,FALSE,TRUE,FALSE,,
260,CCNE2,0.688888889,0.86983,KNOWN,FALSE,TRUE,FALSE,,
261,CCNG1,42,0.00073222,KNOWN,TRUE,FALSE,FALSE,,
262,CCNG2,3.666666667,0.0096861,NEW,TRUE,FALSE,FALSE,,
263,CCNH,24.23333333,0.00081328,KNOWN,FALSE,TRUE,FALSE,,
264,CCNK,5.727777778,0.9998,KNOWN,TRUE,FALSE,FALSE,,
265,CCNY,5.122222222,0.80672,NEW,TRUE,FALSE,FALSE,,
266,CCR1,31.92777778,0.38775,NEW,TRUE,FALSE,FALSE,,
267,CCR2,75.64444444,0.023412,NEW,FALSE,TRUE,FALSE,,
268,CCR3,261.4333333,0.00012636,NEW,FALSE,TRUE,FALSE,,
269,CCR4,3.977777778,0.06863,NEW,TRUE,FALSE,FALSE,,
270,CCR5,6.711111111,4.31E-10,KNOWN,TRUE,TRUE,TRUE,,
271,CCR7,598.4888889,0.057623,NEW,TRUE,FALSE,FALSE,,
272,CCRL2,5.061111111,0.36861,NEW,TRUE,FALSE,FALSE,,
273,CCSER1,0.005555556,0.000789,NEW,TRUE,FALSE,FALSE,,
274,CD14,212.6611111,4.88E-05,KNOWN,FALSE,TRUE,FALSE,,
275,CD180,11.86111111,6.84E-05,NEW,TRUE,FALSE,FALSE,,
276,CD2,257.4333333,0.47108,KNOWN,FALSE,TRUE,FALSE,,
277,CD22,9.655555556,0.8044,NEW,FALSE,TRUE,FALSE,,
278,CD226,9.866666667,0.03921,KNOWN,FALSE,TRUE,FALSE,,
279,CD244,50.46111111,0.057288,NEW,FALSE,TRUE,FALSE,,
280,CD247,104.7555556,0.016734,KNOWN,FALSE,TRUE,FALSE,,
281,CD274,0.811111111,0.01916,NEW,TRUE,TRUE,TRUE,,
282,CD28,15.63888889,0.35779,KNOWN,TRUE,TRUE,TRUE,,
283,CD33,29.54444444,5.69E-07,NEW,TRUE,FALSE,FALSE,,
284,CD34,0.033333333,4.99E-06,KNOWN,TRUE,FALSE,FALSE,,
285,CD36,89.85,1.09E-60,KNOWN,FALSE,TRUE,FALSE,,
286,CD4,74.3,0.00078914,KNOWN,FALSE,TRUE,FALSE,,
287,CD44,161.9388889,2.45E-07,KNOWN,TRUE,TRUE,TRUE,,
288,CD47,118.5055556,0.91924,KNOWN,FALSE,TRUE,FALSE,,
289,CD48,221.7166667,1.73E-05,KNOWN,FALSE,TRUE,FALSE,,
290,CD5,29.60555556,2.31E-10,KNOWN,TRUE,FALSE,FALSE,,
291,CD58,37.47777778,0.25092,NEW,TRUE,FALSE,FALSE,,
292,CD68,606.7833333,1.41E-06,NEW,TRUE,FALSE,FALSE,,
293,CD69,9.644444444,0.029691,NEW,TRUE,FALSE,FALSE,,
294,CD74,6294.172222,0.24889,KNOWN,TRUE,TRUE,TRUE,,
295,CD80,0.161111111,0.010898,KNOWN,TRUE,TRUE,TRUE,,
296,CD82,98.15,1.27E-08,NEW,TRUE,TRUE,TRUE,,
297,CD83,6.638888889,0.0052136,NEW,TRUE,FALSE,FALSE,,
298,CD86,19.84444444,0.94879,KNOWN,TRUE,TRUE,TRUE,,
299,CD93,3.772222222,1.98E-10,KNOWN,FALSE,TRUE,FALSE,,
300,CDC14A,5.816666667,9.64E-08,NEW,TRUE,FALSE,FALSE,,
301,CDC14B,0.994444444,0.94308,NEW,TRUE,FALSE,FALSE,,
302,CDC20,1.866666667,3.00E-07,KNOWN,FALSE,TRUE,FALSE,,
303,CDC25A,0.016666667,0.84041,KNOWN,FALSE,TRUE,FALSE,,
304,CDC25B,10.72777778,0.3643,KNOWN,FALSE,TRUE,FALSE,,
305,CDC25C,0.077777778,4.10E-13,KNOWN,TRUE,TRUE,TRUE,,
306,CDC34,2.077777778,0.95625,KNOWN,FALSE,TRUE,FALSE,,
307,CDC37,82.88333333,0.90925,KNOWN,FALSE,TRUE,FALSE,,
308,CDC42,149.8222222,0.78728,KNOWN,FALSE,TRUE,FALSE,,
309,CDC42BPA,0.011111111,0.99309,NEW,TRUE,TRUE,TRUE,,
310,CDC42BPB,0.027777778,1,NEW,TRUE,FALSE,FALSE,,
311,CDC42EP3,44.43333333,0.18562,NEW,TRUE,FALSE,FALSE,,
312,CDC42SE2,93.01666667,0.76835,KNOWN,TRUE,FALSE,FALSE,,
313,CDC6,0.527777778,1.15E-09,KNOWN,FALSE,TRUE,FALSE,,
314,CDC7,1.633333333,4.43E-06,KNOWN,TRUE,TRUE,TRUE,,
315,CDH1,0.377777778,0.14631,KNOWN,FALSE,TRUE,FALSE,,
316,CDH13,0.572222222,0.0007058,NEW,TRUE,FALSE,FALSE,,
317,CDH2,0.183333333,0.99171,KNOWN,FALSE,TRUE,FALSE,,
318,CDH23,4.161111111,3.18E-06,NEW,TRUE,FALSE,FALSE,,
319,CDK1,0.65,0.99206,KNOWN,TRUE,TRUE,TRUE,,
320,CDK11B,4.55,6.48E-05,KNOWN,FALSE,TRUE,FALSE,,
321,CDK12,2.672222222,1,NEW,FALSE,TRUE,FALSE,,
322,CDK14,1.2,2.50E-08,NEW,TRUE,FALSE,FALSE,,
323,CDK16,5.327777778,0.9948,NEW,FALSE,TRUE,FALSE,,
324,CDK19,0.683333333,0.99982,KNOWN,TRUE,FALSE,FALSE,,
325,CDK2,3.327777778,0.61054,KNOWN,TRUE,TRUE,TRUE,,
326,CDK4,49.46666667,0.062909,KNOWN,TRUE,TRUE,TRUE,,
327,CDK5,15.86666667,0.13892,KNOWN,TRUE,TRUE,TRUE,,
328,CDK5R1,0.394444444,0.9149,KNOWN,FALSE,TRUE,FALSE,,
329,CDK5RAP2,3.144444444,4.62E-23,NEW,TRUE,FALSE,FALSE,,
330,CDK6,1.955555556,0.98315,KNOWN,TRUE,TRUE,TRUE,,
331,CDK7,11.71111111,4.47E-07,KNOWN,TRUE,TRUE,TRUE,,
332,CDK9,6.844444444,8.89E-05,KNOWN,TRUE,TRUE,TRUE,,
333,CDKAL1,5.383333333,0.016021,NEW,TRUE,FALSE,FALSE,,
334,CDKN1A,10.53333333,0.0018575,KNOWN,TRUE,TRUE,TRUE,,
