Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean,pLI,InItan,Pathway1,Pathway2,BothPathways,,
335,CDKN1B,5.972222222,0.62376,KNOWN,TRUE,TRUE,TRUE,,
336,CDKN1C,20.48888889,0.81963,KNOWN,FALSE,TRUE,FALSE,,
337,CDKN2A,7.05,0.39474,KNOWN,TRUE,TRUE,TRUE,,
338,CDKN2C,5.877777778,0.39526,NEW,TRUE,TRUE,TRUE,,
339,CDKN3,2.705555556,0.0019455,KNOWN,FALSE,TRUE,FALSE,,
340,CDYL,1.488888889,0.99504,NEW,TRUE,FALSE,FALSE,,
341,CEBPA,2.744444444,0.55365,NEW,TRUE,TRUE,TRUE,,
342,CEBPB,2.438888889,0.35809,KNOWN,TRUE,TRUE,TRUE,,
343,CEBPD,2.9,0.61219,NEW,TRUE,FALSE,FALSE,,
344,CELF1,11.66666667,0.99971,NEW,TRUE,FALSE,FALSE,,
345,CEP128,1.672222222,4.72E-23,NEW,TRUE,FALSE,FALSE,,
346,CEP85L,5.977777778,4.54E-09,NEW,TRUE,FALSE,FALSE,,
347,CFAP46,0.027777778,NA,NEW,TRUE,FALSE,FALSE,,
348,CFL1,1911.4,0.55563,KNOWN,FALSE,TRUE,FALSE,,
349,CFLAR,55.24444444,0.99967,KNOWN,TRUE,TRUE,TRUE,,
350,CGN,0.138888889,1.89E-31,NEW,FALSE,TRUE,FALSE,,
351,CHD2,28.04444444,1,NEW,TRUE,FALSE,FALSE,,
352,CHD9,27.48888889,1,KNOWN,TRUE,FALSE,FALSE,,
353,CHEK1,1.327777778,3.14E-08,KNOWN,TRUE,TRUE,TRUE,,
354,CHEK2,3.622222222,1.21E-24,KNOWN,TRUE,TRUE,TRUE,,
355,CHI3L1,16.75555556,1.11E-05,NEW,TRUE,FALSE,FALSE,,
356,CHKA,0.722222222,0.22747,NEW,FALSE,TRUE,FALSE,,
357,CHMP4C,0.194444444,2.99E-07,NEW,TRUE,FALSE,FALSE,,
358,CHN1,1.105555556,0.030508,NEW,FALSE,TRUE,FALSE,,
359,CHN2,3.561111111,0.0023008,NEW,TRUE,TRUE,TRUE,,
360,CHST15,8.272222222,3.52E-05,NEW,TRUE,FALSE,FALSE,,
361,CHUK,1.233333333,0.99403,KNOWN,TRUE,TRUE,TRUE,,
362,CIC,0.472222222,0.99999,NEW,TRUE,FALSE,FALSE,,
363,CISH,19.18888889,0.00053852,KNOWN,TRUE,FALSE,FALSE,,
364,CKM,0.061111111,0.0078152,NEW,TRUE,FALSE,FALSE,,
365,CKS1B,32.8,0.4314,KNOWN,FALSE,TRUE,FALSE,,
366,CLC,2091.861111,2.30E-05,NEW,TRUE,FALSE,FALSE,,
367,CLEC16A,1.7,0.27595,NEW,TRUE,FALSE,FALSE,,
368,CLIC2,4.083333333,0.049547,NEW,TRUE,FALSE,FALSE,,
369,CLIP2,0.144444444,0.99997,NEW,TRUE,FALSE,FALSE,,
370,CLSPN,0.144444444,0.0025864,NEW,FALSE,TRUE,FALSE,,
371,CMIP,0.427777778,0.99999,NEW,TRUE,FALSE,FALSE,,
372,CMKLR1,3.216666667,0.010767,NEW,TRUE,FALSE,FALSE,,
373,CMTM7,66.71666667,0.038169,NEW,TRUE,FALSE,FALSE,,
374,CMTR1,4.244444444,0.99252,NEW,TRUE,FALSE,FALSE,,
375,CNIH3,0.022222222,0.84533,NEW,TRUE,FALSE,FALSE,,
376,CNKSR1,0.1,4.29E-30,KNOWN,FALSE,TRUE,FALSE,,
377,CNR1,0.038888889,0.50652,KNOWN,FALSE,TRUE,FALSE,,
378,COBL,0.072222222,0.0039121,NEW,TRUE,FALSE,FALSE,,
379,COL18A1,0.255555556,1.74E-10,KNOWN,TRUE,TRUE,TRUE,,
380,COL27A1,0.005555556,0.5864,NEW,TRUE,FALSE,FALSE,,
381,COP1,2.744444444,NA,NEW,TRUE,TRUE,TRUE,,
382,COPS5,33.52777778,0.99925,NEW,TRUE,TRUE,TRUE,,
383,COPS6,151.0444444,0.98666,NEW,FALSE,TRUE,FALSE,,
384,CPEB4,0.772222222,0.98555,NEW,TRUE,FALSE,FALSE,,
385,CPQ,34.46666667,1.32E-14,NEW,TRUE,FALSE,FALSE,,
386,CR2,2.016666667,4.74E-19,NEW,TRUE,TRUE,TRUE,,
387,CRADD,18.85555556,0.87862,KNOWN,TRUE,FALSE,FALSE,,
388,CREB1,27.23333333,0.99673,KNOWN,TRUE,TRUE,TRUE,,
389,CREB5,10.01666667,0.22337,KNOWN,TRUE,FALSE,FALSE,,
390,CREBBP,1.427777778,1,KNOWN,TRUE,TRUE,TRUE,,
391,CREM,8.177777778,0.50878,KNOWN,TRUE,FALSE,FALSE,,
392,CRK,3.638888889,0.95936,KNOWN,FALSE,TRUE,FALSE,,
393,CRKL,14.57777778,0.44604,KNOWN,FALSE,TRUE,FALSE,,
394,CRLF2,0.066666667,3.31E-07,NEW,FALSE,TRUE,FALSE,,
395,CRMP1,0.016666667,0.99173,NEW,TRUE,FALSE,FALSE,,
396,CSF1,1.605555556,0.99634,KNOWN,TRUE,TRUE,TRUE,,
397,CSF1R,61.45,0.13278,KNOWN,FALSE,TRUE,FALSE,,
398,CSF2,0.433333333,0.83468,KNOWN,TRUE,TRUE,TRUE,,
399,CSGALNACT1,13.08888889,9.27E-14,NEW,TRUE,FALSE,FALSE,,
400,CSK,77.33888889,0.99977,KNOWN,FALSE,TRUE,FALSE,,
401,CSMD1,0.005555556,1,NEW,TRUE,FALSE,FALSE,,
402,CSN1S1,0.061111111,1.42E-16,NEW,TRUE,TRUE,TRUE,,
403,CSNK1A1,57.21111111,0.99758,KNOWN,TRUE,TRUE,TRUE,,
404,CSNK1A1L,0.344444444,0.013174,NEW,FALSE,TRUE,FALSE,,
405,CSNK1D,13.47777778,0.99577,KNOWN,TRUE,TRUE,TRUE,,
406,CSNK1E,3.238888889,0.99926,KNOWN,TRUE,TRUE,TRUE,,
407,CSNK2A1,21.11666667,0.98711,NEW,TRUE,TRUE,TRUE,,
408,CSNK2A2,9.888888889,0.9994,KNOWN,TRUE,TRUE,TRUE,,
409,CSNK2B,15.98888889,0.91728,KNOWN,TRUE,TRUE,TRUE,,
410,CSRP1,30.84444444,0.0003328,NEW,TRUE,FALSE,FALSE,,
411,CTBP1,19.73333333,0.98442,KNOWN,FALSE,TRUE,FALSE,,
412,CTCF,3.744444444,0.99994,KNOWN,TRUE,FALSE,FALSE,,
413,CTGF,0.416666667,0.00050202,KNOWN,FALSE,TRUE,FALSE,,
414,CTNNA1,11.34444444,0.96962,NEW,TRUE,TRUE,TRUE,,
415,CTNNB1,8.3,0.99999,KNOWN,TRUE,TRUE,TRUE,,
416,CTNND1,3.094444444,0.99999,NEW,FALSE,TRUE,FALSE,,
417,CTSB,371.8611111,5.88E-11,KNOWN,TRUE,FALSE,FALSE,,
418,CTSD,139.8055556,0.00091747,KNOWN,TRUE,TRUE,TRUE,,
419,CTSG,2.005555556,9.56E-06,NEW,TRUE,TRUE,TRUE,,
420,CTSH,37.64444444,1.25E-08,NEW,TRUE,FALSE,FALSE,,
421,CTSL,15.26111111,0.0080454,NEW,TRUE,FALSE,FALSE,,
422,CTTN,0.344444444,0.089176,NEW,FALSE,TRUE,FALSE,,
423,CUBN,0.033333333,4.63E-42,NEW,TRUE,FALSE,FALSE,,
424,CUEDC1,1.5,6.63E-08,NEW,TRUE,FALSE,FALSE,,
425,CUL1,21.56111111,1,KNOWN,FALSE,TRUE,FALSE,,
426,CUX1,6.366666667,1,KNOWN,TRUE,FALSE,FALSE,,
427,CX3CL1,0.033333333,0.60837,NEW,TRUE,FALSE,FALSE,,
428,CXCL1,1.622222222,0.11845,NEW,TRUE,FALSE,FALSE,,
429,CXCL10,5.411111111,0.36865,KNOWN,TRUE,TRUE,TRUE,,
430,CXCL11,0.022222222,0.31408,NEW,TRUE,FALSE,FALSE,,
431,CXCL12,0.016666667,0.11851,KNOWN,FALSE,TRUE,FALSE,,
432,CXCL2,0.144444444,3.61E-07,NEW,TRUE,FALSE,FALSE,,
433,CXCL3,0.005555556,0.00030234,NEW,TRUE,FALSE,FALSE,,
434,CXCL5,0.011111111,5.04E-06,NEW,TRUE,FALSE,FALSE,,
435,CXCL8,15.99444444,NA,NEW,TRUE,TRUE,TRUE,,
436,CXCL9,0.033333333,0.0029304,NEW,TRUE,FALSE,FALSE,,
437,CXCR5,7.883333333,0.72861,NEW,FALSE,TRUE,FALSE,,
438,CYLD,21.94444444,0.99993,KNOWN,TRUE,TRUE,TRUE,,
439,CYP19A1,0.005555556,1.70E-05,NEW,TRUE,FALSE,FALSE,,
440,CYP24A1,0.022222222,3.20E-23,NEW,TRUE,FALSE,FALSE,,
441,CYP27B1,0.038888889,1.92E-07,NEW,TRUE,FALSE,FALSE,,
442,CYTH1,61.94444444,0.99981,NEW,TRUE,FALSE,FALSE,,
443,CYTH4,48.22777778,0.00077316,NEW,TRUE,FALSE,FALSE,,
444,DAAM1,4.8,0.99918,NEW,TRUE,FALSE,FALSE,,
445,DAB2,4.038888889,0.40701,KNOWN,TRUE,TRUE,TRUE,,
446,DAB2IP,0.027777778,0.99995,NEW,TRUE,TRUE,TRUE,,
447,DAG1,0.811111111,0.98117,KNOWN,FALSE,TRUE,FALSE,,
448,DAP3,112.7222222,1.11E-09,KNOWN,TRUE,FALSE,FALSE,,
449,DAPK1,2.727777778,0.99767,KNOWN,TRUE,TRUE,TRUE,,
450,DAPK2,16.66111111,5.01E-10,NEW,FALSE,TRUE,FALSE,,
451,DAPK3,17.93888889,0.0065541,NEW,TRUE,TRUE,TRUE,,
452,DAPP1,57.49444444,0.17169,KNOWN,TRUE,TRUE,TRUE,,
453,DAXX,15.85,0.098633,KNOWN,TRUE,TRUE,TRUE,,
454,DBF4,0.172222222,0.99296,KNOWN,TRUE,TRUE,TRUE,,
455,DBI,464.2166667,0.0013944,NEW,TRUE,FALSE,FALSE,,
456,DBNL,223.2333333,0.017939,KNOWN,TRUE,TRUE,TRUE,,
457,DCDC1,0.011111111,4.79E-08,NEW,TRUE,FALSE,FALSE,,
458,DCN,1.733333333,0.31231,NEW,FALSE,TRUE,FALSE,,
459,DCP1B,6.283333333,1.60E-10,NEW,TRUE,FALSE,FALSE,,
460,DCUN1D3,0.45,0.8666,NEW,TRUE,FALSE,FALSE,,
461,DDB1,35.28888889,0.99979,KNOWN,TRUE,TRUE,TRUE,,
462,DDB2,14.00555556,7.40E-06,KNOWN,TRUE,TRUE,TRUE,,
463,DDIT4,156.4277778,0.00068309,KNOWN,TRUE,TRUE,TRUE,,
464,DDR1,0.055555556,4.63E-06,KNOWN,TRUE,TRUE,TRUE,,
465,DDR2,0.011111111,0.5503,NEW,FALSE,TRUE,FALSE,,
466,DDX50,15.9,9.75E-07,NEW,TRUE,FALSE,FALSE,,
467,DDX58,8.183333333,1.76E-23,KNOWN,FALSE,TRUE,FALSE,,
468,DDX60L,4.827777778,1.07E-38,NEW,TRUE,FALSE,FALSE,,
469,DENND1A,4.944444444,0.99976,NEW,TRUE,FALSE,FALSE,,
470,DENND1B,0.822222222,0.20408,NEW,TRUE,FALSE,FALSE,,
471,DENND3,6.061111111,1.30E-11,NEW,TRUE,FALSE,FALSE,,
472,DEPTOR,1.394444444,3.72E-12,NEW,FALSE,TRUE,FALSE,,
473,DERA,30.02777778,0.00037318,NEW,TRUE,FALSE,FALSE,,
474,DGKG,0.466666667,6.02E-13,KNOWN,TRUE,FALSE,FALSE,,
475,DHRS3,31,0.22581,NEW,TRUE,FALSE,FALSE,,
476,DHX58,4.305555556,3.20E-13,KNOWN,TRUE,FALSE,FALSE,,
477,DIABLO,16.90277778,2.57E-06,KNOWN,FALSE,TRUE,FALSE,,
478,DIAPH1,15.56666667,0.91507,NEW,TRUE,TRUE,TRUE,,
479,DIS3L2,3.794444444,0.944,NEW,TRUE,FALSE,FALSE,,
480,DLC1,0.188888889,0.99948,KNOWN,TRUE,FALSE,FALSE,,
481,DLG1,0.605555556,0.99393,KNOWN,TRUE,TRUE,TRUE,,
482,DLG2,0.005555556,0.70796,NEW,TRUE,FALSE,FALSE,,
483,DLL1,0.283333333,0.99999,KNOWN,FALSE,TRUE,FALSE,,
484,DMAP1,24.66666667,0.041133,KNOWN,FALSE,TRUE,FALSE,,
485,DMXL2,0.722222222,1,NEW,TRUE,FALSE,FALSE,,
486,DNAJA3,6.194444444,0.0098017,KNOWN,FALSE,TRUE,FALSE,,
487,DNAJB12,14.54444444,0.44012,NEW,TRUE,FALSE,FALSE,,
488,DNAJC5,2.594444444,0.81216,KNOWN,FALSE,TRUE,FALSE,,
489,DNM1L,7.661111111,0.00056753,NEW,TRUE,FALSE,FALSE,,
490,DNM2,4.266666667,0.99998,KNOWN,TRUE,TRUE,TRUE,,
491,DNMT1,18.96111111,1,KNOWN,TRUE,FALSE,FALSE,,
492,DOCK1,0.044444444,0.0068117,KNOWN,FALSE,TRUE,FALSE,,
493,DOCK10,6.283333333,2.55E-06,NEW,TRUE,FALSE,FALSE,,
494,DOCK4,0.144444444,0.82562,NEW,TRUE,FALSE,FALSE,,
495,DOCK5,3.061111111,2.90E-09,NEW,TRUE,FALSE,FALSE,,
496,DOK1,10.86111111,0.029002,KNOWN,TRUE,TRUE,TRUE,,
497,DOK4,0.083333333,0.091531,NEW,FALSE,TRUE,FALSE,,
498,DPM1,17.22777778,0.00016237,NEW,FALSE,TRUE,FALSE,,
499,DPP4,6.011111111,7.28E-09,KNOWN,FALSE,TRUE,FALSE,,
500,DPYD,17.21111111,3.37E-22,NEW,TRUE,FALSE,FALSE,,
501,DPYSL2,18.32222222,0.99375,NEW,TRUE,FALSE,FALSE,,
502,DSE,1.105555556,0.6331,NEW,TRUE,FALSE,FALSE,,
503,DST,0.322222222,1,NEW,TRUE,FALSE,FALSE,,
504,DTNA,0.933333333,0.63459,NEW,TRUE,FALSE,FALSE,,
505,DTNB,3.005555556,2.80E-10,NEW,TRUE,FALSE,FALSE,,
506,DTNBP1,15.66666667,6.84E-06,KNOWN,TRUE,FALSE,FALSE,,
507,DTWD1,10.2,2.81E-10,NEW,TRUE,FALSE,FALSE,,
508,DTX1,0.033333333,0.00098982,NEW,FALSE,TRUE,FALSE,,
509,DTX3L,10.32222222,5.27E-06,NEW,TRUE,FALSE,FALSE,,
510,DUOX2,0.005555556,4.50E-56,NEW,TRUE,FALSE,FALSE,,
511,DUSP1,519.4611111,0.010151,KNOWN,TRUE,TRUE,TRUE,,
512,DUSP10,4.105555556,0.8335,KNOWN,TRUE,TRUE,TRUE,,
513,DUSP11,54.13888889,8.49E-07,NEW,TRUE,FALSE,FALSE,,
514,DUSP16,0.572222222,0.088867,KNOWN,FALSE,TRUE,FALSE,,
515,DUSP19,0.488888889,0.010044,NEW,FALSE,TRUE,FALSE,,
516,DUSP22,16.21666667,0.0093421,KNOWN,TRUE,TRUE,TRUE,,
517,DUSP26,0.005555556,0.00023011,NEW,TRUE,FALSE,FALSE,,
518,DUSP3,7.266666667,0.46156,NEW,TRUE,TRUE,TRUE,,
519,DUSP4,0.394444444,0.88152,NEW,FALSE,TRUE,FALSE,,
520,DUSP5,1.838888889,0.0033227,NEW,TRUE,TRUE,TRUE,,
521,DUSP6,202.0277778,0.97603,KNOWN,FALSE,TRUE,FALSE,,
522,DUSP7,3.983333333,0.69024,NEW,TRUE,TRUE,TRUE,,
523,DVL1,0.15,3.73E-06,NEW,FALSE,TRUE,FALSE,,
524,DVL2,6.466666667,1.36E-05,KNOWN,FALSE,TRUE,FALSE,,
525,DVL3,0.572222222,0.38544,KNOWN,FALSE,TRUE,FALSE,,
526,DYM,18.44444444,3.59E-13,NEW,TRUE,FALSE,FALSE,,
527,DYNC2H1,0.116666667,1.14E-44,NEW,TRUE,FALSE,FALSE,,
528,DYRK1A,1.005555556,0.99967,KNOWN,TRUE,FALSE,FALSE,,
529,DYRK2,1.933333333,0.99751,NEW,TRUE,TRUE,TRUE,,
530,E2F1,0.15,0.9877,KNOWN,TRUE,TRUE,TRUE,,
531,E2F2,0.455555556,0.25505,KNOWN,TRUE,TRUE,TRUE,,
532,E2F3,1.838888889,0.9458,KNOWN,TRUE,TRUE,TRUE,,
533,E2F4,6.9,0.45258,KNOWN,TRUE,TRUE,TRUE,,
534,E2F6,0.294444444,0.10158,KNOWN,TRUE,FALSE,FALSE,,
535,E2F7,0.133333333,0.99317,NEW,TRUE,FALSE,FALSE,,
536,EARS2,2.861111111,1.12E-08,NEW,TRUE,FALSE,FALSE,,
537,EBI3,1.672222222,0.10797,KNOWN,TRUE,FALSE,FALSE,,
538,ECE1,4.888888889,0.95987,KNOWN,TRUE,FALSE,FALSE,,
539,ECSIT,23.20555556,6.76E-06,NEW,FALSE,TRUE,FALSE,,
540,EDEM2,47.20555556,6.83E-07,NEW,TRUE,FALSE,FALSE,,
541,EDN1,0.266666667,0.45504,KNOWN,TRUE,FALSE,FALSE,,
542,EEF1A1,6241.944444,0.97863,NEW,TRUE,FALSE,FALSE,,
543,EEF2K,0.111111111,8.36E-20,NEW,TRUE,TRUE,TRUE,,
544,EFCAB2,1.611111111,5.92E-07,NEW,TRUE,FALSE,FALSE,,
545,EFCAB5,0.394444444,4.20E-23,NEW,TRUE,FALSE,FALSE,,
546,EFHC1,1.116666667,1.90E-17,NEW,TRUE,FALSE,FALSE,,
547,EFNA5,0.205555556,0.96051,KNOWN,TRUE,FALSE,FALSE,,
548,EGF,0.011111111,8.53E-17,KNOWN,FALSE,TRUE,FALSE,,
549,EGLN3,1.7,0.0094753,NEW,TRUE,FALSE,FALSE,,
550,EGR1,0.727777778,0.3509,KNOWN,TRUE,TRUE,TRUE,,
551,EGR2,0.411111111,0.50292,NEW,TRUE,FALSE,FALSE,,
552,EHD1,26.06666667,0.98342,NEW,TRUE,FALSE,FALSE,,
553,EHF,0.083333333,0.70543,NEW,TRUE,FALSE,FALSE,,
554,EHMT2,0.011111111,0.00010292,KNOWN,FALSE,TRUE,FALSE,,
555,EI24,6.338888889,0.73348,NEW,TRUE,FALSE,FALSE,,
556,EIF2A,34.22222222,6.04E-09,NEW,FALSE,TRUE,FALSE,,
557,EIF2AK1,6.844444444,7.01E-07,NEW,TRUE,FALSE,FALSE,,
558,EIF2AK2,13.43333333,0.017643,KNOWN,TRUE,TRUE,TRUE,,
559,EIF2AK3,0.694444444,0.0027603,NEW,TRUE,TRUE,TRUE,,
560,EIF2AK4,11.46111111,1.24E-15,NEW,FALSE,TRUE,FALSE,,
561,EIF2S1,45.17222222,0.97031,NEW,TRUE,TRUE,TRUE,,
562,EIF3H,292.7277778,0.047483,NEW,TRUE,FALSE,FALSE,,
563,EIF4B,80.24444444,0.99999,KNOWN,FALSE,TRUE,FALSE,,
564,EIF4E,35.97777778,0.94133,KNOWN,TRUE,TRUE,TRUE,,
565,EIF4EBP1,72.14444444,0.20762,KNOWN,FALSE,TRUE,FALSE,,
566,EIF4G2,271.3277778,1,NEW,FALSE,TRUE,FALSE,,
567,ELAVL1,19.76111111,0.98849,NEW,TRUE,TRUE,TRUE,,
568,ELF1,74.26111111,0.01065,NEW,TRUE,FALSE,FALSE,,
569,ELF3,0.016666667,0.98323,KNOWN,TRUE,TRUE,TRUE,,
570,ELF4,4.288888889,0.06139,NEW,TRUE,FALSE,FALSE,,
571,ELF5,0.05,0.00086946,NEW,TRUE,FALSE,FALSE,,
572,ELK1,5.361111111,0.93711,KNOWN,FALSE,TRUE,FALSE,,
573,ELL,4.272222222,0.98542,NEW,TRUE,FALSE,FALSE,,
574,ELMO1,32.51666667,0.89997,KNOWN,TRUE,TRUE,TRUE,,
575,ELMSAN1,0.4,1,NEW,TRUE,FALSE,FALSE,,
576,ELP1,6.194444444,NA,NEW,FALSE,TRUE,FALSE,,
577,ELP3,16.77777778,3.01E-14,KNOWN,TRUE,FALSE,FALSE,,
578,EMC2,18.71111111,0.003297,NEW,TRUE,FALSE,FALSE,,
579,EMCN,0.016666667,8.64E-05,NEW,TRUE,FALSE,FALSE,,
580,EML2,4.15,5.76E-19,NEW,TRUE,FALSE,FALSE,,
581,ENAH,0.016666667,0.99994,NEW,TRUE,FALSE,FALSE,,
582,ENC1,0.744444444,0.46008,NEW,FALSE,TRUE,FALSE,,
583,ENOX2,9.616666667,1.53E-06,NEW,TRUE,FALSE,FALSE,,
584,ENPP2,3.772222222,0.0027913,NEW,TRUE,FALSE,FALSE,,
585,ENTPD1,16.86666667,0.0080716,NEW,TRUE,FALSE,FALSE,,
586,EP300,1.727777778,1,KNOWN,TRUE,TRUE,TRUE,,
587,EP400,1.216666667,1,KNOWN,FALSE,TRUE,FALSE,,
588,EPAS1,1.311111111,0.5961,KNOWN,TRUE,FALSE,FALSE,,
589,EPB41L2,2.2,0.99318,NEW,TRUE,FALSE,FALSE,,
590,EPB41L3,1.244444444,4.32E-05,NEW,TRUE,FALSE,FALSE,,
591,EPCAM,0.011111111,1.28E-07,NEW,TRUE,FALSE,FALSE,,
592,EPHA1,0.494444444,1.46E-23,KNOWN,FALSE,TRUE,FALSE,,
593,EPHA2,0.477777778,1.07E-05,KNOWN,TRUE,TRUE,TRUE,,
594,EPHA4,0.938888889,1,KNOWN,FALSE,TRUE,FALSE,,
595,EPHB2,0.044444444,0.99997,KNOWN,TRUE,TRUE,TRUE,,
596,EPHB3,0.044444444,0.46242,KNOWN,FALSE,TRUE,FALSE,,
597,EPHB4,0.311111111,0.013497,NEW,TRUE,FALSE,FALSE,,
598,EPOR,2.922222222,0.0101,KNOWN,FALSE,TRUE,FALSE,,
599,EPS15,10.15,0.0034774,KNOWN,FALSE,TRUE,FALSE,,
600,EPS8,2.411111111,0.97308,KNOWN,TRUE,FALSE,FALSE,,
601,EPSTI1,21.95,3.31E-25,NEW,TRUE,FALSE,FALSE,,
602,ERAP1,16.16111111,2.06E-26,NEW,TRUE,FALSE,FALSE,,
603,ERBB2,0.744444444,0.0059892,NEW,FALSE,TRUE,FALSE,,
604,ERBB3,0.316666667,1.70E-15,KNOWN,FALSE,TRUE,FALSE,,
605,ERBIN,4.366666667,NA,NEW,FALSE,TRUE,FALSE,,
606,ERC1,1.294444444,1.06E-07,KNOWN,TRUE,FALSE,FALSE,,
607,ERCC1,69.26111111,1.59E-07,KNOWN,TRUE,FALSE,FALSE,,
608,ERCC5,16.66666667,2.73E-13,KNOWN,FALSE,TRUE,FALSE,,
609,ERCC6,3.883333333,5.16E-22,NEW,FALSE,TRUE,FALSE,,
610,EREG,0.083333333,1.17E-05,KNOWN,FALSE,TRUE,FALSE,,
611,ERG,0.016666667,0.96413,KNOWN,TRUE,TRUE,TRUE,,
612,ERGIC1,6.577777778,0.64747,NEW,TRUE,FALSE,FALSE,,
613,ERN1,3.144444444,0.99027,KNOWN,TRUE,TRUE,TRUE,,
614,ERRFI1,0.194444444,0.012152,NEW,FALSE,TRUE,FALSE,,
615,ESR1,0.055555556,0.9992,KNOWN,TRUE,TRUE,TRUE,,
616,ESR2,0.205555556,4.45E-08,KNOWN,TRUE,TRUE,TRUE,,
617,ESYT2,2.844444444,7.79E-06,NEW,TRUE,FALSE,FALSE,,
618,ETS1,15.63333333,0.7816,KNOWN,TRUE,TRUE,TRUE,,
619,ETS2,8.677777778,0.99888,KNOWN,TRUE,TRUE,TRUE,,
620,ETV3,3.627777778,0.97596,NEW,TRUE,FALSE,FALSE,,
621,ETV6,2.883333333,0.9735,NEW,TRUE,FALSE,FALSE,,
622,ETV7,3.005555556,3.96E-14,NEW,TRUE,FALSE,FALSE,,
623,EVL,13.73333333,0.99761,NEW,TRUE,FALSE,FALSE,,
624,EXOC4,9.661111111,3.41E-13,KNOWN,TRUE,FALSE,FALSE,,
625,EXOC6,5.188888889,2.44E-07,NEW,TRUE,FALSE,FALSE,,
626,EXT1,0.405555556,0.99732,NEW,TRUE,FALSE,FALSE,,
627,EZH2,2.011111111,1,KNOWN,TRUE,TRUE,TRUE,,
628,EZR,169.5166667,0.17989,NEW,TRUE,TRUE,TRUE,,
629,F2R,4.444444444,0.0084678,KNOWN,FALSE,TRUE,FALSE,,
630,F3,0.05,0.018872,KNOWN,TRUE,FALSE,FALSE,,
631,F5,1.261111111,5.92E-15,NEW,FALSE,TRUE,FALSE,,
632,F8,3.016666667,1,KNOWN,TRUE,FALSE,FALSE,,
633,FAF1,3.116666667,0.99895,KNOWN,TRUE,FALSE,FALSE,,
634,FAM111A,2.583333333,0.002225,NEW,TRUE,FALSE,FALSE,,
635,FAM129A,6.705555556,7.17E-20,NEW,TRUE,FALSE,FALSE,,
636,FAM129B,0.116666667,0.016975,NEW,TRUE,FALSE,FALSE,,
637,FAM13A,1.094444444,1.90E-18,NEW,TRUE,TRUE,TRUE,,
638,FAM171A1,1.05,0.98528,NEW,TRUE,FALSE,FALSE,,
639,FAM172A,6.2,0.00024392,NEW,TRUE,FALSE,FALSE,,
640,FAM19A2,2.494444444,0.34104,NEW,TRUE,FALSE,FALSE,,
641,FAM49B,172.3444444,0.97612,NEW,TRUE,FALSE,FALSE,,
642,FAM78A,7.95,0.37254,NEW,TRUE,FALSE,FALSE,,
643,FANCG,3.85,2.49E-14,KNOWN,FALSE,TRUE,FALSE,,
644,FAS,21.04444444,0.8117,NEW,TRUE,TRUE,TRUE,,
645,FASLG,11.7,0.18345,NEW,TRUE,TRUE,TRUE,,
646,FBLN1,0.255555556,0.91878,NEW,TRUE,FALSE,FALSE,,
647,FBLN2,0.677777778,7.01E-06,NEW,TRUE,FALSE,FALSE,,
648,FBP1,46.86111111,0.079124,KNOWN,TRUE,FALSE,FALSE,,
649,FBXL17,0.255555556,0.99901,NEW,TRUE,FALSE,FALSE,,
650,FBXO11,1.577777778,1,NEW,TRUE,FALSE,FALSE,,
651,FBXO31,0.277777778,0.44439,KNOWN,TRUE,FALSE,FALSE,,
652,FBXO5,3.305555556,0.96995,NEW,TRUE,TRUE,TRUE,,
653,FBXW11,6.9,0.97611,KNOWN,TRUE,FALSE,FALSE,,
654,FBXW7,3.861111111,0.99949,KNOWN,TRUE,TRUE,TRUE,,
655,FCER1A,1021.172222,3.08E-05,KNOWN,TRUE,FALSE,FALSE,,
656,FCER1G,1249.366667,0.66327,KNOWN,FALSE,TRUE,FALSE,,
657,FCER2,30.61666667,7.61E-12,KNOWN,TRUE,TRUE,TRUE,,
658,FCGR1A,11.81666667,0.00013116,KNOWN,TRUE,FALSE,FALSE,,
659,FCGR2A,146.5333333,2.01E-06,NEW,FALSE,TRUE,FALSE,,
660,FCGRT,368.6055556,0.041493,KNOWN,TRUE,FALSE,FALSE,,
661,FCHSD2,8.911111111,0.56618,NEW,TRUE,FALSE,FALSE,,
662,FCRL5,1.194444444,4.61E-17,NEW,TRUE,FALSE,FALSE,,
663,FDPS,76.5,0.0056199,NEW,TRUE,FALSE,FALSE,,
664,FDXR,4.8,1.15E-06,NEW,TRUE,FALSE,FALSE,,
665,FEN1,11.97222222,4.77E-05,KNOWN,FALSE,TRUE,FALSE,,
666,FER,2.266666667,0.6633,KNOWN,FALSE,TRUE,FALSE,,
667,FES,46.59444444,3.79E-15,KNOWN,FALSE,TRUE,FALSE,,
668,FGF1,0.133333333,0.44406,KNOWN,FALSE,TRUE,FALSE,,
669,FGF14,0.011111111,0.90887,NEW,FALSE,TRUE,FALSE,,
670,FGF8,0.511111111,0.67676,NEW,TRUE,TRUE,TRUE,,
671,FGFR1,0.755555556,0.99984,KNOWN,FALSE,TRUE,FALSE,,
672,FGFR2,0.638888889,0.99731,KNOWN,TRUE,TRUE,TRUE,,
673,FGFR4,0.061111111,7.19E-13,NEW,TRUE,TRUE,TRUE,,
674,FGGY,2.277777778,3.19E-18,NEW,TRUE,FALSE,FALSE,,
675,FGR,130.9777778,0.48408,KNOWN,FALSE,TRUE,FALSE,,
