Table S2: IEI Candidate Genes with high (>.9) pLI Filter,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways
154,0.99448,DCC,2.37E-17,0.0055201,KNOWN,TRUE,FALSE,FALSE
155,0.99979,DDB1,5.67E-16,0.00020659,KNOWN,TRUE,TRUE,TRUE
156,0.99976,DENND1A,9.39E-14,0.00023523,NEW,TRUE,FALSE,FALSE
157,0.91507,DIAPH1,2.51E-12,0.084926,NEW,TRUE,TRUE,TRUE
158,0.944,DIS3L2,5.20E-10,0.056,NEW,TRUE,FALSE,FALSE
159,0.99948,DLC1,2.19E-16,0.0005189,KNOWN,TRUE,FALSE,FALSE
160,0.99393,DLG1,8.82E-14,0.0060693,KNOWN,TRUE,TRUE,TRUE
161,0.99999,DLL1,2.68E-13,1.36E-05,KNOWN,FALSE,TRUE,FALSE
162,1,DMXL2,5.27E-43,1.63E-13,NEW,TRUE,FALSE,FALSE
163,0.99998,DNM2,9.57E-15,2.48E-05,KNOWN,TRUE,TRUE,TRUE
164,1,DNMT1,7.69E-30,2.17E-10,KNOWN,TRUE,FALSE,FALSE
165,0.99375,DPYSL2,6.83E-09,0.0062522,NEW,TRUE,FALSE,FALSE
166,1,DST,1.21E-70,2.61E-18,NEW,TRUE,FALSE,FALSE
167,0.97603,DUSP6,2.23E-05,0.023943,KNOWN,FALSE,TRUE,FALSE
168,0.99967,DYRK1A,5.23E-12,0.00032999,KNOWN,TRUE,FALSE,FALSE
169,0.99751,DYRK2,8.69E-08,0.0024881,NEW,TRUE,TRUE,TRUE
170,0.9877,E2F1,4.32E-06,0.012295,KNOWN,TRUE,TRUE,TRUE
171,0.9458,E2F3,6.98E-06,0.054195,KNOWN,TRUE,TRUE,TRUE
172,0.99317,E2F7,3.48E-10,0.0068333,NEW,TRUE,FALSE,FALSE
173,0.95987,ECE1,1.11E-09,0.040127,KNOWN,TRUE,FALSE,FALSE
174,0.97863,EEF1A1,3.40E-06,0.021367,NEW,TRUE,FALSE,FALSE
175,0.96051,EFNA5,7.67E-05,0.039412,KNOWN,TRUE,FALSE,FALSE
176,0.98342,EHD1,1.82E-06,0.016581,NEW,TRUE,FALSE,FALSE
177,0.97031,EIF2S1,7.67E-06,0.029682,NEW,TRUE,TRUE,TRUE
178,0.99999,EIF4B,5.09E-15,5.16E-06,KNOWN,FALSE,TRUE,FALSE
179,0.94133,EIF4E,8.52E-06,0.058663,KNOWN,TRUE,TRUE,TRUE
180,1,EIF4G2,8.73E-22,8.61E-09,NEW,FALSE,TRUE,FALSE
181,0.98849,ELAVL1,3.67E-06,0.011506,NEW,TRUE,TRUE,TRUE
182,0.98323,ELF3,3.79E-07,0.016765,KNOWN,TRUE,TRUE,TRUE
183,0.93711,ELK1,0.00024583,0.062646,KNOWN,FALSE,TRUE,FALSE
184,0.98542,ELL,1.10E-08,0.014575,NEW,TRUE,FALSE,FALSE
185,1,ELMSAN1,4.72E-17,1.45E-06,NEW,TRUE,FALSE,FALSE
186,0.99994,ENAH,3.69E-13,5.77E-05,NEW,TRUE,FALSE,FALSE
187,1,EP300,4.88E-42,1.11E-15,KNOWN,TRUE,TRUE,TRUE
188,1,EP400,1.10E-38,1.84E-09,KNOWN,FALSE,TRUE,FALSE
189,0.99318,EPB41L2,2.87E-12,0.0068228,NEW,TRUE,FALSE,FALSE
190,1,EPHA4,2.84E-17,4.38E-06,KNOWN,FALSE,TRUE,FALSE
191,0.99997,EPHB2,2.18E-14,3.47E-05,KNOWN,TRUE,TRUE,TRUE
192,0.97308,EPS8,8.36E-11,0.02692,KNOWN,TRUE,FALSE,FALSE
193,0.99912,ERBB4,3.28E-17,0.00088401,KNOWN,TRUE,TRUE,TRUE
194,0.98931,ERC2,1.74E-12,0.010688,NEW,TRUE,FALSE,FALSE
195,0.96413,ERG,5.03E-07,0.035865,KNOWN,TRUE,TRUE,TRUE
196,0.99027,ERN1,6.84E-12,0.009732,KNOWN,TRUE,TRUE,TRUE
197,0.9992,ESR1,1.11E-09,0.00080059,KNOWN,TRUE,TRUE,TRUE
198,0.99888,ETS2,2.52E-09,0.0011212,KNOWN,TRUE,TRUE,TRUE
199,0.97596,ETV3,4.55E-06,0.024039,NEW,TRUE,FALSE,FALSE
200,0.9735,ETV6,2.37E-07,0.026497,NEW,TRUE,FALSE,FALSE
201,0.99761,EVL,3.22E-09,0.0023882,NEW,TRUE,FALSE,FALSE
202,0.99732,EXT1,1.75E-10,0.002683,NEW,TRUE,FALSE,FALSE
203,1,EZH2,8.04E-16,4.66E-06,KNOWN,TRUE,TRUE,TRUE
204,1,F8,1.41E-26,1.79E-10,KNOWN,TRUE,FALSE,FALSE
205,0.99895,FAF1,3.56E-12,0.0010455,KNOWN,TRUE,FALSE,FALSE
206,0.98528,FAM171A1,2.28E-09,0.01472,NEW,TRUE,FALSE,FALSE
207,0.97612,FAM49B,9.06E-07,0.023875,NEW,TRUE,FALSE,FALSE
208,0.91878,FBLN1,6.61E-09,0.081222,NEW,TRUE,FALSE,FALSE
209,0.99901,FBXL17,9.15E-09,0.00098821,NEW,TRUE,FALSE,FALSE
210,1,FBXO11,4.05E-19,1.07E-07,NEW,TRUE,FALSE,FALSE
211,0.96995,FBXO5,1.60E-06,0.030047,NEW,TRUE,TRUE,TRUE
212,0.97611,FBXW11,7.51E-09,0.023891,KNOWN,TRUE,FALSE,FALSE
213,0.99949,FBXW7,3.02E-12,0.00050762,KNOWN,TRUE,TRUE,TRUE
214,0.90887,FGF14,0.00012905,0.091,NEW,FALSE,TRUE,FALSE
215,0.99984,FGFR1,1.85E-13,0.00016128,KNOWN,FALSE,TRUE,FALSE
216,0.99731,FGFR2,7.24E-12,0.0026932,KNOWN,TRUE,TRUE,TRUE
217,0.99825,FKBP8,3.70E-08,0.0017538,KNOWN,FALSE,TRUE,FALSE
218,0.9894,FLI1,1.23E-07,0.010596,KNOWN,TRUE,TRUE,TRUE
219,1,FLNA,5.31E-29,1.81E-11,KNOWN,FALSE,TRUE,FALSE
220,0.99983,FLT1,1.40E-17,0.00016792,KNOWN,TRUE,TRUE,TRUE
221,1,FLT4,7.88E-24,1.72E-08,KNOWN,FALSE,TRUE,FALSE
222,1,FNDC3B,1.88E-28,8.18E-12,NEW,TRUE,FALSE,FALSE
223,1,FNIP2,6.70E-18,6.53E-07,NEW,TRUE,FALSE,FALSE
224,0.94721,FNTA,1.32E-06,0.052786,NEW,FALSE,TRUE,FALSE
225,0.98293,FOSL2,9.66E-06,0.017063,KNOWN,TRUE,FALSE,FALSE
226,0.95337,FOXC1,0.00011615,0.046517,NEW,FALSE,TRUE,FALSE
227,0.99598,FOXJ3,4.69E-10,0.0040168,NEW,TRUE,FALSE,FALSE
228,0.93167,FOXN3,1.25E-05,0.068314,NEW,TRUE,FALSE,FALSE
229,0.99725,FOXO1,1.11E-07,0.0027479,KNOWN,TRUE,FALSE,FALSE
230,0.98806,FOXO3,8.13E-07,0.011938,KNOWN,TRUE,TRUE,TRUE
231,0.99998,FOXP1,3.39E-15,1.62E-05,KNOWN,TRUE,FALSE,FALSE
232,0.99724,FRMD5,9.30E-10,0.0027633,NEW,TRUE,FALSE,FALSE
233,0.99721,FRS2,2.32E-08,0.002786,KNOWN,FALSE,TRUE,FALSE
234,1,FRY,1.37E-38,3.88E-09,NEW,TRUE,FALSE,FALSE
235,0.99727,FRYL,3.36E-29,0.0027296,NEW,TRUE,FALSE,FALSE
236,0.98014,FST,2.84E-06,0.019854,KNOWN,TRUE,FALSE,FALSE
237,0.99994,FURIN,9.16E-14,6.27E-05,NEW,FALSE,TRUE,FALSE
238,0.9993,FUS,6.51E-12,0.00069526,KNOWN,FALSE,TRUE,FALSE
239,0.99406,FYN,1.22E-09,0.0059367,KNOWN,TRUE,TRUE,TRUE
240,0.99969,FZR1,1.08E-10,0.00030806,KNOWN,FALSE,TRUE,FALSE
241,0.98325,GAB2,1.55E-08,0.016751,KNOWN,TRUE,TRUE,TRUE
242,0.99999,GABBR2,4.69E-16,7.19E-06,NEW,TRUE,FALSE,FALSE
243,0.99812,GABPA,1.81E-09,0.0018841,KNOWN,TRUE,FALSE,FALSE
244,0.94798,GATA1,0.00015264,0.051865,KNOWN,TRUE,TRUE,TRUE
245,0.99957,GATAD2A,4.94E-11,0.00043027,KNOWN,TRUE,FALSE,FALSE
246,0.99978,GIT1,4.06E-13,0.0002227,NEW,FALSE,TRUE,FALSE
247,0.97303,GLI2,1.70E-11,0.026972,KNOWN,TRUE,FALSE,FALSE
248,0.99999,GLI3,7.03E-17,1.23E-05,KNOWN,TRUE,FALSE,FALSE
249,0.96154,GLS,4.95E-09,0.038457,NEW,TRUE,FALSE,FALSE
250,0.99132,GMDS,7.53E-08,0.0086776,NEW,TRUE,FALSE,FALSE
251,0.96994,GNA12,3.90E-05,0.030021,KNOWN,TRUE,TRUE,TRUE
252,0.91125,GNAI1,2.45E-05,0.088723,KNOWN,TRUE,TRUE,TRUE
253,0.98069,GNAQ,5.36E-07,0.019305,KNOWN,TRUE,TRUE,TRUE
254,0.96272,GNAZ,6.65E-05,0.037213,NEW,TRUE,FALSE,FALSE
255,0.98876,GNB2,7.00E-07,0.011235,NEW,FALSE,TRUE,FALSE
256,0.9982,GPC3,3.96E-08,0.0018024,KNOWN,FALSE,TRUE,FALSE
257,0.99929,GRAMD1B,1.40E-12,0.00071312,NEW,TRUE,FALSE,FALSE
258,0.93945,GRB10,1.55E-08,0.06055,KNOWN,TRUE,TRUE,TRUE
259,0.93934,GRB2,4.58E-05,0.060616,KNOWN,TRUE,TRUE,TRUE
260,0.99869,GRIA1,1.26E-12,0.0013147,NEW,FALSE,TRUE,FALSE
261,0.99841,GRIK2,1.99E-12,0.0015857,KNOWN,TRUE,FALSE,FALSE
262,0.99872,GRM5,5.85E-12,0.0012821,NEW,TRUE,TRUE,TRUE
263,0.99896,GRM7,1.74E-11,0.0010396,NEW,TRUE,TRUE,TRUE
264,1,GSE1,3.53E-18,5.02E-07,NEW,TRUE,FALSE,FALSE
265,0.9997,GSK3A,4.88E-10,0.00029685,KNOWN,TRUE,TRUE,TRUE
266,0.95571,GSK3B,1.72E-07,0.044292,KNOWN,TRUE,TRUE,TRUE
267,0.98982,GTF2H1,4.56E-09,0.01018,KNOWN,FALSE,TRUE,FALSE
268,0.99592,GTF2I,4.87E-10,0.0040811,KNOWN,TRUE,TRUE,TRUE
269,1,HCFC1,2.81E-20,1.86E-08,KNOWN,TRUE,FALSE,FALSE
270,0.99997,HDAC2,1.40E-12,2.68E-05,KNOWN,FALSE,TRUE,FALSE
271,1,HDAC4,1.52E-23,8.46E-10,KNOWN,TRUE,TRUE,TRUE
272,1,HDAC6,4.07E-17,3.68E-07,KNOWN,FALSE,TRUE,FALSE
273,0.99969,HDAC7,3.72E-14,0.00030993,KNOWN,TRUE,TRUE,TRUE
274,0.99973,HDAC9,2.16E-16,0.00026801,KNOWN,TRUE,FALSE,FALSE
275,1,HERC1,1.41E-49,2.21E-07,NEW,TRUE,FALSE,FALSE
276,1,HERC2,1.67E-56,4.49E-13,KNOWN,FALSE,TRUE,FALSE
277,0.99947,HGF,2.80E-14,0.00053107,NEW,TRUE,TRUE,TRUE
278,0.9777,HIF1A,2.59E-10,0.022298,KNOWN,TRUE,TRUE,TRUE
279,1,HIPK2,2.38E-17,2.12E-06,KNOWN,TRUE,TRUE,TRUE
280,1,HIVEP1,1.66E-25,2.52E-08,NEW,TRUE,FALSE,FALSE
281,1,HIVEP2,6.43E-30,7.60E-12,NEW,TRUE,FALSE,FALSE
282,0.90584,HIVEP3,2.72E-14,0.094164,KNOWN,TRUE,FALSE,FALSE
283,0.91459,HK1,1.52E-09,0.085407,NEW,TRUE,FALSE,FALSE
284,0.95087,HMGB2,0.0001323,0.048996,KNOWN,FALSE,TRUE,FALSE
285,0.96115,HNF1A,1.24E-07,0.038851,NEW,TRUE,TRUE,TRUE
286,0.99998,HNRNPK,4.69E-13,1.71E-05,NEW,TRUE,TRUE,TRUE
287,0.99685,HNRNPL,6.33E-09,0.0031508,NEW,TRUE,FALSE,FALSE
288,0.99999,HNRNPM,1.73E-13,1.14E-05,NEW,FALSE,TRUE,FALSE
289,0.99935,HNRNPR,1.34E-10,0.00064739,NEW,TRUE,FALSE,FALSE
290,1,HNRNPU,2.82E-16,1.57E-06,NEW,TRUE,TRUE,TRUE
291,0.99999,HNRNPUL1,4.17E-16,1.32E-05,KNOWN,TRUE,FALSE,FALSE
292,0.99923,HSP90AB1,2.01E-10,0.00076508,KNOWN,TRUE,TRUE,TRUE
293,0.9972,HSP90B1,7.95E-12,0.0027998,KNOWN,FALSE,TRUE,FALSE
294,0.99257,HSPD1,5.15E-08,0.0074325,KNOWN,FALSE,TRUE,FALSE
295,1,HTT,1.33E-43,1.28E-12,NEW,TRUE,TRUE,TRUE
296,0.96799,IGF1R,2.15E-13,0.032008,KNOWN,TRUE,TRUE,TRUE
297,1,IGF2R,1.83E-30,8.50E-08,KNOWN,TRUE,FALSE,FALSE
298,0.91029,IGFBP3,0.00060458,0.089105,KNOWN,TRUE,TRUE,TRUE
299,0.96333,IL13RA1,1.30E-05,0.036656,KNOWN,FALSE,TRUE,FALSE
300,0.99952,INPP4A,2.24E-14,0.00048478,NEW,TRUE,FALSE,FALSE
301,0.97198,INPP5D,7.65E-13,0.028025,NEW,TRUE,FALSE,FALSE
302,0.99754,IQGAP1,2.73E-20,0.0024603,KNOWN,FALSE,TRUE,FALSE
303,0.99969,IQSEC1,8.95E-13,0.00030798,NEW,TRUE,FALSE,FALSE
304,0.9909,IRF1,4.18E-07,0.009099,KNOWN,TRUE,TRUE,TRUE
305,0.99032,IRS2,1.99E-08,0.0096801,KNOWN,FALSE,TRUE,FALSE
306,0.98208,ITGB1,7.48E-10,0.017918,KNOWN,FALSE,TRUE,FALSE
307,0.99767,ITGB8,2.52E-11,0.0023321,NEW,FALSE,TRUE,FALSE
308,1,ITPR1,4.39E-43,1.10E-14,KNOWN,TRUE,FALSE,FALSE
309,1,ITSN1,1.67E-27,7.25E-07,KNOWN,TRUE,TRUE,TRUE
310,0.99994,JADE2,4.92E-13,6.49E-05,NEW,TRUE,FALSE,FALSE
311,1,JAG1,1.79E-21,8.28E-08,KNOWN,FALSE,TRUE,FALSE
312,1,JAG2,6.31E-22,5.39E-08,NEW,FALSE,TRUE,FALSE
313,1,JMJD1C,2.62E-40,7.95E-16,NEW,TRUE,FALSE,FALSE
314,1,KALRN,6.88E-30,4.00E-10,NEW,TRUE,FALSE,FALSE
315,0.98975,KAT2B,7.78E-12,0.010254,KNOWN,TRUE,TRUE,TRUE
316,1,KAT6A,5.85E-35,6.47E-14,NEW,TRUE,TRUE,TRUE
317,1,KAT6B,4.27E-28,3.04E-10,NEW,TRUE,FALSE,FALSE
318,0.99731,KCNMA1,1.21E-14,0.002694,NEW,TRUE,FALSE,FALSE
319,0.97227,KCNN3,5.37E-08,0.027735,NEW,TRUE,FALSE,FALSE
320,0.99667,KDM1A,2.46E-12,0.0033338,KNOWN,FALSE,TRUE,FALSE
321,1,KDM2A,9.15E-27,4.03E-11,NEW,TRUE,TRUE,TRUE
322,1,KDM2B,8.59E-21,5.84E-07,KNOWN,TRUE,FALSE,FALSE
323,1,KDM5A,1.63E-27,3.78E-09,KNOWN,FALSE,TRUE,FALSE
324,1,KDM6B,1.96E-22,3.34E-08,KNOWN,TRUE,FALSE,FALSE
325,0.99982,KDR,3.58E-18,0.00018468,KNOWN,FALSE,TRUE,FALSE
326,0.99423,KHDRBS1,1.37E-07,0.0057738,KNOWN,FALSE,TRUE,FALSE
327,1,KHSRP,6.07E-16,1.12E-06,NEW,TRUE,FALSE,FALSE
328,0.99998,KIF2A,4.27E-14,2.38E-05,NEW,TRUE,FALSE,FALSE
329,0.98087,KIT,3.60E-11,0.019126,KNOWN,TRUE,TRUE,TRUE
330,0.99714,KLF4,1.22E-07,0.0028555,KNOWN,TRUE,FALSE,FALSE
331,0.97946,KLF6,1.52E-05,0.020527,KNOWN,TRUE,FALSE,FALSE
332,0.98178,KLF7,1.13E-05,0.01821,NEW,TRUE,FALSE,FALSE
333,1,KMT2B,8.85E-42,1.98E-16,NEW,FALSE,TRUE,FALSE
334,1,KPNB1,2.83E-20,3.59E-08,KNOWN,FALSE,TRUE,FALSE
335,1,KSR2,1.05E-17,7.85E-07,NEW,FALSE,TRUE,FALSE
336,1,LAMC1,8.09E-23,6.16E-07,KNOWN,FALSE,TRUE,FALSE
337,0.90044,LAPTM5,0.00016218,0.0994,NEW,TRUE,FALSE,FALSE
338,0.9827,LASP1,2.02E-06,0.017298,NEW,FALSE,TRUE,FALSE
339,0.99987,LATS1,4.56E-15,0.00013094,NEW,TRUE,TRUE,TRUE
340,0.98807,LATS2,1.36E-09,0.011927,NEW,TRUE,TRUE,TRUE
341,0.92466,LCP2,2.70E-08,0.075337,KNOWN,TRUE,TRUE,TRUE
342,0.9546,LDB2,4.47E-06,0.045399,NEW,TRUE,FALSE,FALSE
343,0.99789,LEF1,1.18E-08,0.0021106,KNOWN,TRUE,FALSE,FALSE
344,0.99475,LEPR,3.06E-13,0.0052486,KNOWN,FALSE,TRUE,FALSE
345,0.94734,LIMCH1,7.47E-13,0.052664,NEW,TRUE,FALSE,FALSE
346,0.99937,LIMK1,2.52E-11,0.00062909,KNOWN,FALSE,TRUE,FALSE
347,0.9994,LMNA,1.13E-10,0.00060471,NEW,TRUE,FALSE,FALSE
348,0.99978,LMTK2,3.17E-15,0.00021722,KNOWN,FALSE,TRUE,FALSE
349,0.99552,LRCH1,2.51E-11,0.0044802,NEW,TRUE,FALSE,FALSE
350,1,LRP1,3.99E-90,7.45E-35,NEW,TRUE,TRUE,TRUE
351,0.99999,LRP2,1.13E-46,6.63E-06,NEW,FALSE,TRUE,FALSE
352,0.98742,LSAMP,9.25E-07,0.012582,NEW,TRUE,FALSE,FALSE
353,0.99886,LYN,5.28E-10,0.0011377,KNOWN,TRUE,TRUE,TRUE
354,1,MACF1,4.82E-108,2.32E-39,KNOWN,TRUE,FALSE,FALSE
355,0.94812,MAF1,3.09E-05,0.05185,NEW,FALSE,TRUE,FALSE
356,0.99943,MAGI2,1.34E-15,0.00056641,KNOWN,TRUE,FALSE,FALSE
357,0.99984,MAML3,3.41E-14,0.00015514,KNOWN,TRUE,FALSE,FALSE
358,1,MAP1B,7.33E-27,9.78E-10,NEW,FALSE,TRUE,FALSE
359,1,MAP2,1.62E-22,8.30E-09,KNOWN,TRUE,FALSE,FALSE
360,0.96673,MAP2K2,2.06E-06,0.033269,KNOWN,FALSE,TRUE,FALSE
361,0.99709,MAP2K4,2.58E-08,0.0029132,KNOWN,FALSE,TRUE,FALSE
362,0.91334,MAP2K6,9.42E-07,0.086656,NEW,FALSE,TRUE,FALSE
363,0.99552,MAP2K7,7.37E-08,0.0044754,KNOWN,TRUE,TRUE,TRUE
364,0.99998,MAP3K1,8.29E-18,1.89E-05,KNOWN,TRUE,TRUE,TRUE
365,1,MAP3K12,3.47E-17,3.45E-07,KNOWN,FALSE,TRUE,FALSE
366,0.99999,MAP3K2,7.79E-14,8.20E-06,KNOWN,FALSE,TRUE,FALSE
367,0.98535,MAP3K3,4.56E-10,0.014653,KNOWN,FALSE,TRUE,FALSE
368,1,MAP3K4,4.41E-25,7.25E-08,KNOWN,FALSE,TRUE,FALSE
369,0.99971,MAP3K7,3.87E-12,0.00029137,KNOWN,TRUE,TRUE,TRUE
370,0.96825,MAP3K8,1.83E-06,0.031747,KNOWN,TRUE,TRUE,TRUE
371,0.98919,MAP4K1,1.79E-12,0.010815,KNOWN,FALSE,TRUE,FALSE
372,1,MAP4K4,2.97E-23,1.10E-07,KNOWN,TRUE,TRUE,TRUE
373,0.99469,MAP4K5,1.55E-12,0.0053087,KNOWN,FALSE,TRUE,FALSE
374,0.99698,MAPK1,1.39E-07,0.00302,KNOWN,TRUE,TRUE,TRUE
375,0.99823,MAPK8,7.70E-09,0.0017736,KNOWN,TRUE,TRUE,TRUE
376,0.99983,MAPK8IP1,2.52E-11,0.00016937,KNOWN,FALSE,TRUE,FALSE
377,0.99997,MAPK8IP2,1.34E-12,2.64E-05,KNOWN,FALSE,TRUE,FALSE
378,1,MAPK8IP3,3.04E-23,2.99E-08,KNOWN,FALSE,TRUE,FALSE
379,0.99991,MAPKAP1,4.87E-12,8.63E-05,NEW,TRUE,TRUE,TRUE
380,0.99957,MAPKAPK2,1.19E-09,0.00042787,KNOWN,TRUE,TRUE,TRUE
381,0.99999,MARK2,1.08E-14,1.35E-05,KNOWN,FALSE,TRUE,FALSE
382,0.99846,MAT2A,2.70E-08,0.0015394,NEW,TRUE,FALSE,FALSE
383,0.96349,MCL1,6.32E-05,0.036451,KNOWN,TRUE,FALSE,FALSE
384,0.99981,MDM2,3.26E-11,0.0001884,KNOWN,TRUE,TRUE,TRUE
385,0.99992,MDM4,2.08E-11,8.12E-05,KNOWN,TRUE,TRUE,TRUE
386,1,MECOM,5.50E-17,1.55E-06,KNOWN,TRUE,FALSE,FALSE
387,1,MED14,3.00E-20,3.68E-08,KNOWN,FALSE,TRUE,FALSE
388,0.99974,MED15,4.69E-15,0.00025526,KNOWN,TRUE,FALSE,FALSE
389,0.99705,MEF2D,5.41E-09,0.0029539,KNOWN,TRUE,FALSE,FALSE
390,0.99951,MEIS1,1.64E-09,0.00048825,NEW,TRUE,FALSE,FALSE
391,0.99971,MEN1,9.15E-11,0.0002876,KNOWN,FALSE,TRUE,FALSE
392,0.96998,MET,1.84E-13,0.030022,KNOWN,TRUE,TRUE,TRUE
393,0.98879,MGAT1,3.44E-06,0.011202,NEW,TRUE,FALSE,FALSE
394,0.97967,MID1,6.09E-07,0.020332,KNOWN,TRUE,FALSE,FALSE
395,1,MINK1,3.87E-27,7.52E-10,NEW,FALSE,TRUE,FALSE
396,0.98119,MITF,2.06E-08,0.018805,KNOWN,TRUE,FALSE,FALSE
397,0.99421,MKRN1,2.80E-08,0.0057926,NEW,FALSE,TRUE,FALSE
398,0.99964,MLLT3,7.86E-10,0.00036098,NEW,TRUE,FALSE,FALSE
399,0.99522,MMP14,3.54E-09,0.0047784,KNOWN,TRUE,TRUE,TRUE
400,0.99739,MNT,9.76E-08,0.0026091,KNOWN,TRUE,FALSE,FALSE
401,0.95091,MOB1A,0.00013203,0.048956,NEW,TRUE,FALSE,FALSE
402,0.98078,MPRIP,1.49E-12,0.019221,NEW,FALSE,TRUE,FALSE
403,0.94335,MRC1,7.80E-06,0.056645,NEW,FALSE,TRUE,FALSE
404,0.99478,MSI2,1.08E-07,0.0052238,NEW,TRUE,FALSE,FALSE
405,1,MTA1,1.12E-16,1.08E-06,NEW,FALSE,TRUE,FALSE
406,1,MTOR,1.54E-40,2.31E-11,KNOWN,TRUE,TRUE,TRUE
407,0.9997,MTSS1,4.00E-12,0.00029562,KNOWN,TRUE,FALSE,FALSE
408,0.99801,MYC,5.07E-08,0.0019941,KNOWN,TRUE,TRUE,TRUE
409,1,MYCBP2,4.81E-74,2.11E-25,NEW,TRUE,TRUE,TRUE
410,1,MYH9,6.16E-38,1.44E-14,NEW,TRUE,FALSE,FALSE
411,0.98723,MYO18A,6.28E-20,0.012774,NEW,TRUE,FALSE,FALSE
412,1,MYO9B,2.50E-28,6.49E-09,KNOWN,TRUE,FALSE,FALSE
413,0.97791,MYT1,2.10E-12,0.022087,NEW,FALSE,TRUE,FALSE
414,1,NAA35,5.57E-17,1.56E-06,NEW,TRUE,FALSE,FALSE
415,0.99995,NAV2,8.04E-24,4.54E-05,NEW,TRUE,FALSE,FALSE
416,1,NAV3,7.45E-30,5.70E-09,NEW,TRUE,FALSE,FALSE
417,0.99999,NCAM1,3.63E-16,1.25E-05,KNOWN,TRUE,FALSE,FALSE
418,1,NCBP1,1.10E-19,6.26E-08,KNOWN,FALSE,TRUE,FALSE
419,0.99992,NCL,7.90E-13,7.88E-05,NEW,FALSE,TRUE,FALSE
420,0.99981,NCOA1,1.81E-17,0.00018657,KNOWN,TRUE,TRUE,TRUE
421,1,NCOA2,5.68E-23,1.04E-08,KNOWN,FALSE,TRUE,FALSE
422,1,NCOR2,8.28E-32,4.66E-10,KNOWN,TRUE,TRUE,TRUE
423,0.99995,NDST1,4.12E-14,4.51E-05,NEW,TRUE,FALSE,FALSE
424,1,NEDD4L,1.05E-19,3.15E-06,KNOWN,TRUE,TRUE,TRUE
425,0.90175,NF1,2.40E-25,0.09825,KNOWN,TRUE,FALSE,FALSE
426,1,NF2,1.74E-14,4.43E-06,KNOWN,FALSE,TRUE,FALSE
427,0.99999,NFASC,5.52E-19,1.20E-05,KNOWN,TRUE,FALSE,FALSE
428,0.99995,NFATC2,4.78E-14,4.80E-05,KNOWN,TRUE,TRUE,TRUE
429,0.99813,NFATC3,2.98E-12,0.0018719,KNOWN,FALSE,TRUE,FALSE
430,0.99959,NFIA,4.31E-11,0.00040701,NEW,TRUE,FALSE,FALSE
431,0.99861,NFIB,8.65E-10,0.0013934,KNOWN,TRUE,FALSE,FALSE
432,0.99981,NFKBIZ,7.00E-12,0.000193,KNOWN,TRUE,FALSE,FALSE
433,0.99991,NLK,2.58E-11,8.87E-05,KNOWN,TRUE,FALSE,FALSE
434,1,NOS1,1.62E-22,4.25E-07,KNOWN,TRUE,TRUE,TRUE
435,1,NOTCH1,1.93E-38,1.72E-14,KNOWN,FALSE,TRUE,FALSE
436,1,NOTCH2,5.03E-35,8.39E-13,KNOWN,FALSE,TRUE,FALSE
437,0.99974,NPAS3,3.02E-12,0.0002633,NEW,TRUE,FALSE,FALSE
438,0.99816,NPM1,4.18E-08,0.0018439,KNOWN,FALSE,TRUE,FALSE
439,0.99892,NR2C2,4.63E-10,0.0010785,KNOWN,FALSE,TRUE,FALSE
440,0.99864,NR2E1,1.99E-08,0.0013603,KNOWN,TRUE,FALSE,FALSE
441,0.98972,NR2F2,2.78E-06,0.010278,KNOWN,FALSE,TRUE,FALSE
442,0.96958,NR3C1,1.37E-08,0.030417,KNOWN,TRUE,TRUE,TRUE
443,0.99959,NR4A2,1.06E-09,0.00040733,KNOWN,TRUE,FALSE,FALSE
444,0.9126,NR4A3,9.63E-07,0.087399,NEW,FALSE,TRUE,FALSE
445,0.99665,NRG1,1.49E-09,0.0033492,NEW,TRUE,TRUE,TRUE
446,0.99394,NRIP1,1.28E-09,0.0060618,KNOWN,FALSE,TRUE,FALSE
447,0.98584,NRP1,1.72E-11,0.014159,KNOWN,TRUE,TRUE,TRUE
448,0.99964,NRXN1,9.05E-17,0.00036103,NEW,TRUE,FALSE,FALSE
449,1,NRXN3,1.31E-16,1.15E-06,NEW,TRUE,FALSE,FALSE
450,1,NSD1,2.39E-39,7.31E-15,NEW,TRUE,FALSE,FALSE
451,1,NTRK2,1.46E-16,1.20E-06,KNOWN,FALSE,TRUE,FALSE
452,0.9983,NTRK3,1.16E-11,0.0016962,NEW,FALSE,TRUE,FALSE
453,0.99902,NUMBL,3.67E-10,0.00097969,KNOWN,FALSE,TRUE,FALSE
454,1,NUP153,1.53E-19,9.89E-07,NEW,FALSE,TRUE,FALSE
455,0.99725,NXN,2.24E-08,0.0027452,NEW,TRUE,FALSE,FALSE
456,1,OGT,1.80E-15,1.74E-06,NEW,FALSE,TRUE,FALSE
457,0.97558,OSBPL9,6.57E-11,0.024416,NEW,TRUE,FALSE,FALSE
458,0.97107,OTUB1,7.20E-06,0.028927,KNOWN,FALSE,TRUE,FALSE
459,0.99876,PA2G4,3.22E-09,0.0012406,KNOWN,TRUE,TRUE,TRUE
460,0.97169,PAK2,5.65E-08,0.028308,KNOWN,FALSE,TRUE,FALSE
461,0.98716,PAK3,1.97E-07,0.012838,KNOWN,FALSE,TRUE,FALSE
