Table S2: IEI Candidate Genes with high (>.9) pLI Filter,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways
736,0.97567,WASF2,9.49E-07,0.024329,NEW,FALSE,TRUE,FALSE
737,1,WDFY3,2.23E-66,2.17E-25,NEW,TRUE,FALSE,FALSE
738,0.99973,WEE1,7.82E-11,0.0002697,NEW,FALSE,TRUE,FALSE
739,1,WNK1,1.09E-34,2.22E-12,NEW,FALSE,TRUE,FALSE
740,0.96491,WNT3A,1.16E-05,0.035081,NEW,FALSE,TRUE,FALSE
741,0.98732,WNT5A,9.42E-07,0.012675,NEW,FALSE,TRUE,FALSE
742,0.99648,WT1,8.30E-09,0.0035204,NEW,TRUE,TRUE,TRUE
743,0.93914,WWTR1,9.35E-06,0.060851,NEW,FALSE,TRUE,FALSE
744,1,XPO1,4.81E-24,5.28E-10,KNOWN,FALSE,TRUE,FALSE
745,0.99999,XRCC5,9.93E-16,5.08E-06,KNOWN,FALSE,TRUE,FALSE
746,0.99904,XRCC6,3.52E-10,0.00096318,KNOWN,FALSE,TRUE,FALSE
747,0.92418,XYLT1,5.54E-09,0.075821,NEW,TRUE,FALSE,FALSE
748,0.99918,YAP1,1.18E-09,0.00082253,KNOWN,FALSE,TRUE,FALSE
749,0.98314,YWHAB,9.36E-06,0.016848,KNOWN,TRUE,TRUE,TRUE
750,0.98479,YWHAE,7.27E-06,0.0152,KNOWN,FALSE,TRUE,FALSE
751,0.964,YWHAG,6.10E-05,0.035935,KNOWN,FALSE,TRUE,FALSE
752,0.93965,YWHAZ,4.52E-05,0.060303,KNOWN,TRUE,TRUE,TRUE
753,0.9938,YY1,8.07E-07,0.0061988,KNOWN,TRUE,TRUE,TRUE
754,0.99907,ZBTB16,1.60E-09,0.00093147,KNOWN,TRUE,TRUE,TRUE
755,0.97382,ZBTB20,2.30E-07,0.026176,NEW,TRUE,FALSE,FALSE
756,0.99376,ZCCHC2,5.63E-11,0.0062391,NEW,TRUE,FALSE,FALSE
757,1,ZEB2,2.69E-17,5.99E-07,KNOWN,TRUE,FALSE,FALSE
