Table S7: IEI Candidate Genes with Average in NK Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
81,NK cell,ASH2L,29.8,KNOWN,FALSE,TRUE,FALSE,,
82,NK cell,ATF1,21,NEW,TRUE,TRUE,TRUE,,
83,NK cell,ATF2,20.1,NEW,TRUE,TRUE,TRUE,,
84,NK cell,ATF4,29,KNOWN,FALSE,TRUE,FALSE,,
85,NK cell,ATG4C,13.2,NEW,TRUE,FALSE,FALSE,,
86,NK cell,ATG7,22.9,KNOWN,FALSE,TRUE,FALSE,,
87,NK cell,ATP11C,1.3,NEW,TRUE,FALSE,FALSE,,
88,NK cell,ATP13A1,1.6,NEW,TRUE,FALSE,FALSE,,
89,NK cell,ATP8B4,10,NEW,TRUE,FALSE,FALSE,,
90,NK cell,ATR,3.7,KNOWN,TRUE,TRUE,TRUE,,
91,NK cell,AURKA,1.5,KNOWN,TRUE,TRUE,TRUE,,
92,NK cell,AUTS2,1.6,NEW,TRUE,FALSE,FALSE,,
93,NK cell,AXIN1,3.5,KNOWN,TRUE,TRUE,TRUE,,
94,NK cell,AXL,13.7,KNOWN,TRUE,TRUE,TRUE,,
95,NK cell,B3GAT3,39.5,NEW,TRUE,FALSE,FALSE,,
96,NK cell,BACE1,1.4,KNOWN,FALSE,TRUE,FALSE,,
97,NK cell,BACH1,7.8,NEW,TRUE,FALSE,FALSE,,
98,NK cell,BAD,60.2,KNOWN,FALSE,TRUE,FALSE,,
99,NK cell,BAG1,16.6,KNOWN,FALSE,TRUE,FALSE,,
100,NK cell,BAK1,23.8,KNOWN,TRUE,TRUE,TRUE,,
101,NK cell,BANP,25.9,KNOWN,TRUE,FALSE,FALSE,,
102,NK cell,BARD1,7.6,NEW,FALSE,TRUE,FALSE,,
103,NK cell,BAX,12.1,KNOWN,TRUE,TRUE,TRUE,,
104,NK cell,BCAP31,449,KNOWN,FALSE,TRUE,FALSE,,
105,NK cell,BCAS3,19.4,NEW,TRUE,FALSE,FALSE,,
106,NK cell,BCL11A,9.9,NEW,TRUE,FALSE,FALSE,,
107,NK cell,BCL2A1,18.7,NEW,TRUE,FALSE,FALSE,,
108,NK cell,BCL2L1,26.8,KNOWN,TRUE,TRUE,TRUE,,
109,NK cell,BCL2L11,2,KNOWN,FALSE,TRUE,FALSE,,
110,NK cell,BCL3,2.3,KNOWN,TRUE,TRUE,TRUE,,
111,NK cell,BCL6,4.5,KNOWN,TRUE,TRUE,TRUE,,
112,NK cell,BCOR,6.4,KNOWN,TRUE,FALSE,FALSE,,
113,NK cell,BCR,1.5,KNOWN,FALSE,TRUE,FALSE,,
114,NK cell,BECN1,115,KNOWN,FALSE,TRUE,FALSE,,
115,NK cell,BHLHE40,52.6,KNOWN,TRUE,FALSE,FALSE,,
116,NK cell,BID,125.2,KNOWN,TRUE,TRUE,TRUE,,
117,NK cell,BIN1,188,KNOWN,TRUE,FALSE,FALSE,,
118,NK cell,BIRC2,36.6,KNOWN,TRUE,TRUE,TRUE,,
119,NK cell,BIRC3,8.8,KNOWN,TRUE,TRUE,TRUE,,
120,NK cell,BIRC5,2.5,KNOWN,TRUE,TRUE,TRUE,,
121,NK cell,BLVRA,22.8,NEW,TRUE,TRUE,TRUE,,
122,NK cell,BMI1,6.4,KNOWN,FALSE,TRUE,FALSE,,
123,NK cell,BNIP3,4.5,NEW,TRUE,FALSE,FALSE,,
124,NK cell,BNIP3L,48.9,NEW,TRUE,FALSE,FALSE,,
125,NK cell,BORA,3,NEW,FALSE,TRUE,FALSE,,
126,NK cell,BRAF,4.2,KNOWN,FALSE,TRUE,FALSE,,
127,NK cell,BRD8,26.6,KNOWN,TRUE,FALSE,FALSE,,
128,NK cell,BST2,357.3,NEW,TRUE,FALSE,FALSE,,
129,NK cell,BTBD1,2.5,NEW,TRUE,FALSE,FALSE,,
130,NK cell,BTG1,422.9,NEW,TRUE,FALSE,FALSE,,
131,NK cell,BTG2,14.1,NEW,TRUE,TRUE,TRUE,,
132,NK cell,BTG3,6.5,NEW,TRUE,FALSE,FALSE,,
133,NK cell,BTN2A1,10.5,NEW,TRUE,FALSE,FALSE,,
134,NK cell,BTN2A2,9.1,NEW,TRUE,FALSE,FALSE,,
135,NK cell,BTN3A1,41.2,NEW,TRUE,FALSE,FALSE,,
136,NK cell,BTN3A2,115,NEW,TRUE,FALSE,FALSE,,
137,NK cell,BTRC,2.7,KNOWN,FALSE,TRUE,FALSE,,
138,NK cell,CAB39,10.8,NEW,TRUE,FALSE,FALSE,,
139,NK cell,CABLES1,1.3,NEW,TRUE,TRUE,TRUE,,
140,NK cell,CALM1,898.6,KNOWN,FALSE,TRUE,FALSE,,
141,NK cell,CALM2,649.3,KNOWN,FALSE,TRUE,FALSE,,
142,NK cell,CALR,116.2,KNOWN,FALSE,TRUE,FALSE,,
143,NK cell,CAMK2D,10.2,KNOWN,TRUE,TRUE,TRUE,,
144,NK cell,CAMK2G,34.7,KNOWN,TRUE,TRUE,TRUE,,
145,NK cell,CAMK4,1.4,KNOWN,TRUE,FALSE,FALSE,,
146,NK cell,CANX,49.8,NEW,FALSE,TRUE,FALSE,,
147,NK cell,CAPN1,37.6,KNOWN,FALSE,TRUE,FALSE,,
148,NK cell,CAPN2,25,KNOWN,TRUE,FALSE,FALSE,,
149,NK cell,CASP1,69.4,KNOWN,TRUE,TRUE,TRUE,,
150,NK cell,CASP2,26.4,KNOWN,TRUE,TRUE,TRUE,,
151,NK cell,CASP3,65,KNOWN,TRUE,TRUE,TRUE,,
152,NK cell,CASP4,175.7,KNOWN,TRUE,FALSE,FALSE,,
153,NK cell,CASP6,10,NEW,TRUE,TRUE,TRUE,,
154,NK cell,CASP7,7.4,NEW,TRUE,TRUE,TRUE,,
155,NK cell,CASP8AP2,27.5,KNOWN,FALSE,TRUE,FALSE,,
156,NK cell,CASP9,28.8,KNOWN,FALSE,TRUE,FALSE,,
157,NK cell,CAST,67.3,NEW,TRUE,FALSE,FALSE,,
158,NK cell,CAT,109.9,NEW,FALSE,TRUE,FALSE,,
159,NK cell,CBLB,11.2,KNOWN,TRUE,TRUE,TRUE,,
160,NK cell,CCAR2,21.2,NEW,FALSE,TRUE,FALSE,,
161,NK cell,CCDC12,127.4,NEW,TRUE,FALSE,FALSE,,
162,NK cell,CCDC88C,3.3,NEW,TRUE,FALSE,FALSE,,
163,NK cell,CCDC91,7.9,NEW,TRUE,FALSE,FALSE,,
164,NK cell,CCL4,19.4,NEW,TRUE,FALSE,FALSE,,
165,NK cell,CCL5,809.2,KNOWN,TRUE,TRUE,TRUE,,
166,NK cell,CCM2,63.9,KNOWN,TRUE,FALSE,FALSE,,
167,NK cell,CCNB1,8.6,KNOWN,TRUE,TRUE,TRUE,,
168,NK cell,CCND2,15.4,KNOWN,TRUE,FALSE,FALSE,,
169,NK cell,CCND3,347.2,KNOWN,TRUE,TRUE,TRUE,,
170,NK cell,CCNE2,1.4,KNOWN,FALSE,TRUE,FALSE,,
171,NK cell,CCNG1,44.5,KNOWN,TRUE,FALSE,FALSE,,
172,NK cell,CCNG2,2.2,NEW,TRUE,FALSE,FALSE,,
173,NK cell,CCNH,25.1,KNOWN,FALSE,TRUE,FALSE,,
174,NK cell,CCNK,5.7,KNOWN,TRUE,FALSE,FALSE,,
175,NK cell,CCNY,3.2,NEW,TRUE,FALSE,FALSE,,
176,NK cell,CCR1,85.2,NEW,TRUE,FALSE,FALSE,,
177,NK cell,CCR2,19.7,NEW,FALSE,TRUE,FALSE,,
178,NK cell,CCR5,6.4,KNOWN,TRUE,TRUE,TRUE,,
179,NK cell,CCR7,981.1,NEW,TRUE,FALSE,FALSE,,
180,NK cell,CCRL2,7.6,NEW,TRUE,FALSE,FALSE,,
181,NK cell,CD14,3.5,KNOWN,FALSE,TRUE,FALSE,,
182,NK cell,CD180,2.2,NEW,TRUE,FALSE,FALSE,,
183,NK cell,CD2,1128.5,KNOWN,FALSE,TRUE,FALSE,,
184,NK cell,CD226,30.4,KNOWN,FALSE,TRUE,FALSE,,
185,NK cell,CD244,81.9,NEW,FALSE,TRUE,FALSE,,
186,NK cell,CD247,236.3,KNOWN,FALSE,TRUE,FALSE,,
187,NK cell,CD33,16.6,NEW,TRUE,FALSE,FALSE,,
188,NK cell,CD36,7,KNOWN,FALSE,TRUE,FALSE,,
189,NK cell,CD4,2.3,KNOWN,FALSE,TRUE,FALSE,,
190,NK cell,CD44,329.3,KNOWN,TRUE,TRUE,TRUE,,
191,NK cell,CD47,168.8,KNOWN,FALSE,TRUE,FALSE,,
192,NK cell,CD48,168.2,KNOWN,FALSE,TRUE,FALSE,,
193,NK cell,CD58,19,NEW,TRUE,FALSE,FALSE,,
194,NK cell,CD68,21.6,NEW,TRUE,FALSE,FALSE,,
195,NK cell,CD69,30.2,NEW,TRUE,FALSE,FALSE,,
196,NK cell,CD74,2525.9,KNOWN,TRUE,TRUE,TRUE,,
197,NK cell,CD82,51.9,NEW,TRUE,TRUE,TRUE,,
198,NK cell,CD83,4.9,NEW,TRUE,FALSE,FALSE,,
199,NK cell,CD86,4.6,KNOWN,TRUE,TRUE,TRUE,,
200,NK cell,CDC14A,4.4,NEW,TRUE,FALSE,FALSE,,
