Table S7: IEI Candidate Genes with Average in NK Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
354,NK cell,ELL,2.6,NEW,TRUE,FALSE,FALSE,,
355,NK cell,ELMO1,30.7,KNOWN,TRUE,TRUE,TRUE,,
356,NK cell,ELP1,7.8,NEW,FALSE,TRUE,FALSE,,
357,NK cell,ELP3,23.7,KNOWN,TRUE,FALSE,FALSE,,
358,NK cell,EMC2,19.7,NEW,TRUE,FALSE,FALSE,,
359,NK cell,EML2,3,NEW,TRUE,FALSE,FALSE,,
360,NK cell,ENC1,1.6,NEW,FALSE,TRUE,FALSE,,
361,NK cell,ENOX2,12.8,NEW,TRUE,FALSE,FALSE,,
362,NK cell,ENTPD1,1.7,NEW,TRUE,FALSE,FALSE,,
363,NK cell,EP300,3.3,KNOWN,TRUE,TRUE,TRUE,,
364,NK cell,EPB41L2,1.1,NEW,TRUE,FALSE,FALSE,,
365,NK cell,EPHA4,3.8,KNOWN,FALSE,TRUE,FALSE,,
366,NK cell,EPS15,11.9,KNOWN,FALSE,TRUE,FALSE,,
367,NK cell,EPSTI1,24.8,NEW,TRUE,FALSE,FALSE,,
368,NK cell,ERAP1,25.1,NEW,TRUE,FALSE,FALSE,,
369,NK cell,ERBIN,4.4,NEW,FALSE,TRUE,FALSE,,
370,NK cell,ERCC1,65,KNOWN,TRUE,FALSE,FALSE,,
371,NK cell,ERCC5,26,KNOWN,FALSE,TRUE,FALSE,,
372,NK cell,ERCC6,1.6,NEW,FALSE,TRUE,FALSE,,
373,NK cell,ERGIC1,14.6,NEW,TRUE,FALSE,FALSE,,
374,NK cell,ERN1,4,KNOWN,TRUE,TRUE,TRUE,,
375,NK cell,ESYT2,5.8,NEW,TRUE,FALSE,FALSE,,
376,NK cell,ETS1,29.4,KNOWN,TRUE,TRUE,TRUE,,
377,NK cell,ETV3,4.6,NEW,TRUE,FALSE,FALSE,,
378,NK cell,ETV6,2.4,NEW,TRUE,FALSE,FALSE,,
379,NK cell,EVL,18.7,NEW,TRUE,FALSE,FALSE,,
380,NK cell,EXOC4,21.1,KNOWN,TRUE,FALSE,FALSE,,
381,NK cell,EXOC6,2.9,NEW,TRUE,FALSE,FALSE,,
382,NK cell,EZH2,7.8,KNOWN,TRUE,TRUE,TRUE,,
383,NK cell,EZR,139.3,NEW,TRUE,TRUE,TRUE,,
384,NK cell,F2R,7.1,KNOWN,FALSE,TRUE,FALSE,,
385,NK cell,F8,3.9,KNOWN,TRUE,FALSE,FALSE,,
386,NK cell,FAF1,4.5,KNOWN,TRUE,FALSE,FALSE,,
387,NK cell,FAM111A,4.3,NEW,TRUE,FALSE,FALSE,,
388,NK cell,FAM129A,6.6,NEW,TRUE,FALSE,FALSE,,
389,NK cell,FAM172A,10.6,NEW,TRUE,FALSE,FALSE,,
390,NK cell,FAM49B,204.8,NEW,TRUE,FALSE,FALSE,,
391,NK cell,FAM78A,3.3,NEW,TRUE,FALSE,FALSE,,
392,NK cell,FANCG,7.9,KNOWN,FALSE,TRUE,FALSE,,
393,NK cell,FAS,4.5,NEW,TRUE,TRUE,TRUE,,
394,NK cell,FASLG,42.4,NEW,TRUE,TRUE,TRUE,,
395,NK cell,FBP1,17.2,KNOWN,TRUE,FALSE,FALSE,,
396,NK cell,FBXO11,2.4,NEW,TRUE,FALSE,FALSE,,
397,NK cell,FBXO5,7.9,NEW,TRUE,TRUE,TRUE,,
398,NK cell,FBXW11,15.4,KNOWN,TRUE,FALSE,FALSE,,
399,NK cell,FBXW7,9.1,KNOWN,TRUE,TRUE,TRUE,,
400,NK cell,FCER1A,16.7,KNOWN,TRUE,FALSE,FALSE,,
401,NK cell,FCER1G,1833.9,KNOWN,FALSE,TRUE,FALSE,,
402,NK cell,FCGRT,31.7,KNOWN,TRUE,FALSE,FALSE,,
403,NK cell,FCHSD2,2.3,NEW,TRUE,FALSE,FALSE,,
404,NK cell,FDPS,122.3,NEW,TRUE,FALSE,FALSE,,
405,NK cell,FDXR,10.9,NEW,TRUE,FALSE,FALSE,,
406,NK cell,FEN1,18.4,KNOWN,FALSE,TRUE,FALSE,,
407,NK cell,FER,1.1,KNOWN,FALSE,TRUE,FALSE,,
408,NK cell,FES,50.8,KNOWN,FALSE,TRUE,FALSE,,
409,NK cell,FGGY,3.2,NEW,TRUE,FALSE,FALSE,,
410,NK cell,FGR,278.5,KNOWN,FALSE,TRUE,FALSE,,
411,NK cell,FHIT,7.8,NEW,TRUE,FALSE,FALSE,,
412,NK cell,FKBP1A,169.6,KNOWN,FALSE,TRUE,FALSE,,
413,NK cell,FKBP5,46,NEW,TRUE,FALSE,FALSE,,
414,NK cell,FKBP8,9.1,KNOWN,FALSE,TRUE,FALSE,,
415,NK cell,FLI1,12.3,KNOWN,TRUE,TRUE,TRUE,,
416,NK cell,FLNA,14.2,KNOWN,FALSE,TRUE,FALSE,,
417,NK cell,FLNB,7.5,NEW,TRUE,FALSE,FALSE,,
418,NK cell,FLT3,2.1,KNOWN,FALSE,TRUE,FALSE,,
419,NK cell,FMR1,2.7,NEW,FALSE,TRUE,FALSE,,
420,NK cell,FNBP1,6.3,NEW,TRUE,FALSE,FALSE,,
421,NK cell,FNDC3B,4.5,NEW,TRUE,FALSE,FALSE,,
422,NK cell,FNTA,16,NEW,FALSE,TRUE,FALSE,,
423,NK cell,FOCAD,2.9,NEW,TRUE,FALSE,FALSE,,
424,NK cell,FOS,4.8,KNOWN,TRUE,TRUE,TRUE,,
425,NK cell,FOSL2,4.8,KNOWN,TRUE,FALSE,FALSE,,
426,NK cell,FOXJ3,11.3,NEW,TRUE,FALSE,FALSE,,
427,NK cell,FOXK1,1.7,NEW,TRUE,FALSE,FALSE,,
428,NK cell,FOXN3,35.5,NEW,TRUE,FALSE,FALSE,,
429,NK cell,FOXO3,3.9,KNOWN,TRUE,TRUE,TRUE,,
430,NK cell,FOXP1,25.1,KNOWN,TRUE,FALSE,FALSE,,
431,NK cell,FRMD4B,4.1,NEW,TRUE,FALSE,FALSE,,
432,NK cell,FRS2,2.8,KNOWN,FALSE,TRUE,FALSE,,
433,NK cell,FRYL,2.8,NEW,TRUE,FALSE,FALSE,,
434,NK cell,FTO,28.4,NEW,TRUE,FALSE,FALSE,,
435,NK cell,FURIN,2.9,NEW,FALSE,TRUE,FALSE,,
436,NK cell,FUS,29,KNOWN,FALSE,TRUE,FALSE,,
437,NK cell,FYB1,100.1,NEW,TRUE,FALSE,FALSE,,
438,NK cell,FYN,73.9,KNOWN,TRUE,TRUE,TRUE,,
439,NK cell,FZR1,1.2,KNOWN,FALSE,TRUE,FALSE,,
440,NK cell,G3BP1,90.9,KNOWN,FALSE,TRUE,FALSE,,
441,NK cell,GAB1,5.5,KNOWN,FALSE,TRUE,FALSE,,
442,NK cell,GABPA,7.7,KNOWN,TRUE,FALSE,FALSE,,
443,NK cell,GADD45A,5.9,KNOWN,TRUE,TRUE,TRUE,,
444,NK cell,GADD45B,46.3,KNOWN,TRUE,FALSE,FALSE,,
445,NK cell,GALNT10,1.9,NEW,TRUE,FALSE,FALSE,,
446,NK cell,GALNT2,3.1,KNOWN,TRUE,FALSE,FALSE,,
447,NK cell,GAPDH,1304.4,NEW,FALSE,TRUE,FALSE,,
448,NK cell,GAS7,4.6,KNOWN,TRUE,FALSE,FALSE,,
449,NK cell,GATA3,41.6,KNOWN,TRUE,TRUE,TRUE,,
450,NK cell,GATAD2A,2.9,KNOWN,TRUE,FALSE,FALSE,,
451,NK cell,GBP1,56.3,NEW,TRUE,FALSE,FALSE,,
452,NK cell,GCLC,4.8,NEW,TRUE,FALSE,FALSE,,
453,NK cell,GFAP,2.1,NEW,TRUE,FALSE,FALSE,,
454,NK cell,GIT1,2.9,NEW,FALSE,TRUE,FALSE,,
455,NK cell,GLIPR2,130.8,NEW,TRUE,FALSE,FALSE,,
456,NK cell,GLRX,106.2,KNOWN,FALSE,TRUE,FALSE,,
457,NK cell,GLS,3.2,NEW,TRUE,FALSE,FALSE,,
458,NK cell,GM2A,4.3,NEW,TRUE,FALSE,FALSE,,
459,NK cell,GMDS,13.3,NEW,TRUE,FALSE,FALSE,,
460,NK cell,GNA13,8.5,NEW,FALSE,TRUE,FALSE,,
461,NK cell,GNA15,5.6,KNOWN,FALSE,TRUE,FALSE,,
462,NK cell,GNAI1,31.2,KNOWN,TRUE,TRUE,TRUE,,
463,NK cell,GNAI2,17.5,KNOWN,TRUE,TRUE,TRUE,,
464,NK cell,GNAI3,7.4,NEW,FALSE,TRUE,FALSE,,
465,NK cell,GNAQ,4.6,KNOWN,TRUE,TRUE,TRUE,,
466,NK cell,GNAS,53.6,NEW,FALSE,TRUE,FALSE,,
467,NK cell,GNB2,16.6,NEW,FALSE,TRUE,FALSE,,
468,NK cell,GNB5,25.4,NEW,FALSE,TRUE,FALSE,,
469,NK cell,GNG2,26.6,KNOWN,FALSE,TRUE,FALSE,,
470,NK cell,GOLPH3,9,NEW,TRUE,FALSE,FALSE,,
471,NK cell,GORASP1,1.2,NEW,FALSE,TRUE,FALSE,,
472,NK cell,GPATCH2,3,NEW,TRUE,FALSE,FALSE,,
473,NK cell,GPCPD1,4,NEW,TRUE,FALSE,FALSE,,
474,NK cell,GPR132,6.7,NEW,TRUE,FALSE,FALSE,,
475,NK cell,GPR146,1.4,NEW,TRUE,FALSE,FALSE,,
476,NK cell,GRAMD1A,5.1,NEW,TRUE,FALSE,FALSE,,
477,NK cell,GRAMD1B,2.3,NEW,TRUE,FALSE,FALSE,,
478,NK cell,GRAP2,5.5,KNOWN,FALSE,TRUE,FALSE,,
479,NK cell,GRB2,59,KNOWN,TRUE,TRUE,TRUE,,
480,NK cell,GRK2,7.2,NEW,TRUE,TRUE,TRUE,,
481,NK cell,GRK6,42.1,NEW,FALSE,TRUE,FALSE,,
482,NK cell,GRN,33.2,KNOWN,FALSE,TRUE,FALSE,,
483,NK cell,GSAP,17.4,NEW,TRUE,FALSE,FALSE,,
484,NK cell,GSK3B,1.2,KNOWN,TRUE,TRUE,TRUE,,
485,NK cell,GSN,265.1,KNOWN,TRUE,TRUE,TRUE,,
486,NK cell,GSTK1,193.6,NEW,TRUE,FALSE,FALSE,,
487,NK cell,GSTP1,1464.9,KNOWN,TRUE,FALSE,FALSE,,
488,NK cell,GTDC1,9.3,NEW,TRUE,FALSE,FALSE,,
489,NK cell,GTF2H1,16.3,KNOWN,FALSE,TRUE,FALSE,,
490,NK cell,GTF2I,21,KNOWN,TRUE,TRUE,TRUE,,
491,NK cell,GZMB,471.8,NEW,FALSE,TRUE,FALSE,,
492,NK cell,H2AFX,2.2,KNOWN,FALSE,TRUE,FALSE,,
493,NK cell,HBP1,58.4,NEW,TRUE,FALSE,FALSE,,
494,NK cell,HCFC1,1.7,KNOWN,TRUE,FALSE,FALSE,,
495,NK cell,HCK,14.1,KNOWN,TRUE,TRUE,TRUE,,
496,NK cell,HDAC1,152,KNOWN,TRUE,TRUE,TRUE,,
497,NK cell,HDAC2,41.6,KNOWN,FALSE,TRUE,FALSE,,
498,NK cell,HDAC3,36.3,KNOWN,FALSE,TRUE,FALSE,,
499,NK cell,HDAC4,4.7,KNOWN,TRUE,TRUE,TRUE,,
500,NK cell,HDAC6,4,KNOWN,FALSE,TRUE,FALSE,,
501,NK cell,HDAC7,1.3,KNOWN,TRUE,TRUE,TRUE,,
502,NK cell,HDAC9,5.6,KNOWN,TRUE,FALSE,FALSE,,
503,NK cell,HERC1,3.7,NEW,TRUE,FALSE,FALSE,,
504,NK cell,HIF1A,21.5,KNOWN,TRUE,TRUE,TRUE,,
505,NK cell,HIPK3,4.6,KNOWN,TRUE,FALSE,FALSE,,
506,NK cell,HIST1H2AM,10,NEW,FALSE,TRUE,FALSE,,
507,NK cell,HIST1H3C,1.3,NEW,TRUE,FALSE,FALSE,,
508,NK cell,HIST2H2AC,25.1,KNOWN,FALSE,TRUE,FALSE,,
509,NK cell,HIVEP1,3.9,NEW,TRUE,FALSE,FALSE,,
510,NK cell,HK1,31.7,NEW,TRUE,FALSE,FALSE,,
511,NK cell,HLA-A,131.9,NEW,FALSE,TRUE,FALSE,,
512,NK cell,HLA-B,336.1,NEW,FALSE,TRUE,FALSE,,
513,NK cell,HLA-DMB,4.9,NEW,TRUE,FALSE,FALSE,,
514,NK cell,HLA-DPA1,22.4,NEW,TRUE,FALSE,FALSE,,
515,NK cell,HLA-DPB1,24.4,KNOWN,TRUE,FALSE,FALSE,,
516,NK cell,HLA-DQA1,8.7,NEW,TRUE,FALSE,FALSE,,
517,NK cell,HLA-DQB1,9.9,NEW,TRUE,FALSE,FALSE,,
518,NK cell,HLA-DRA,13.9,KNOWN,TRUE,FALSE,FALSE,,
519,NK cell,HLA-DRB1,23.8,NEW,TRUE,FALSE,FALSE,,
520,NK cell,HLA-DRB5,2.4,NEW,TRUE,FALSE,FALSE,,
521,NK cell,HLA-E,157.6,KNOWN,TRUE,TRUE,TRUE,,
522,NK cell,HLA-F,32.1,KNOWN,TRUE,FALSE,FALSE,,
523,NK cell,HM13,123.4,NEW,TRUE,FALSE,FALSE,,
524,NK cell,HMGA1,21.1,KNOWN,TRUE,FALSE,FALSE,,
525,NK cell,HMGB1,651.2,KNOWN,TRUE,TRUE,TRUE,,
526,NK cell,HMGB2,92.4,KNOWN,FALSE,TRUE,FALSE,,
527,NK cell,HMGN1,170.6,NEW,FALSE,TRUE,FALSE,,
528,NK cell,HMOX1,5.6,KNOWN,TRUE,TRUE,TRUE,,
529,NK cell,HNRNPK,509.8,NEW,TRUE,TRUE,TRUE,,
530,NK cell,HNRNPM,92.9,NEW,FALSE,TRUE,FALSE,,
531,NK cell,HNRNPR,53.7,NEW,TRUE,FALSE,FALSE,,
532,NK cell,HNRNPU,21.6,NEW,TRUE,TRUE,TRUE,,
533,NK cell,HNRNPUL1,14.2,KNOWN,TRUE,FALSE,FALSE,,
534,NK cell,HOOK2,1.4,NEW,TRUE,FALSE,FALSE,,
535,NK cell,HOXA7,4.7,NEW,TRUE,FALSE,FALSE,,
536,NK cell,HOXA9,12,NEW,TRUE,FALSE,FALSE,,
537,NK cell,HPCAL1,25.9,NEW,TRUE,FALSE,FALSE,,
538,NK cell,HS1BP3,4.1,NEW,TRUE,FALSE,FALSE,,
539,NK cell,HSF1,17.6,KNOWN,FALSE,TRUE,FALSE,,
540,NK cell,HSP90AA1,265,NEW,TRUE,TRUE,TRUE,,
541,NK cell,HSP90AB1,461.3,KNOWN,TRUE,TRUE,TRUE,,
542,NK cell,HSP90B1,244.7,KNOWN,FALSE,TRUE,FALSE,,
543,NK cell,HSPB1,84.9,KNOWN,TRUE,TRUE,TRUE,,
544,NK cell,HSPD1,67.1,KNOWN,FALSE,TRUE,FALSE,,
545,NK cell,HTRA2,4.3,KNOWN,FALSE,TRUE,FALSE,,
546,NK cell,HTT,1.1,NEW,TRUE,TRUE,TRUE,,
547,NK cell,ICAM1,15.7,KNOWN,TRUE,TRUE,TRUE,,
548,NK cell,ID2,916.1,KNOWN,FALSE,TRUE,FALSE,,
549,NK cell,IER5,1.1,NEW,TRUE,FALSE,FALSE,,
550,NK cell,IFI16,102.6,KNOWN,TRUE,TRUE,TRUE,,
551,NK cell,IFI35,59.7,NEW,TRUE,FALSE,FALSE,,
552,NK cell,IFI6,104.6,NEW,TRUE,FALSE,FALSE,,
553,NK cell,IFIT1,4.8,NEW,TRUE,FALSE,FALSE,,
554,NK cell,IFIT3,2.1,NEW,TRUE,FALSE,FALSE,,
555,NK cell,IFITM1,3279.8,KNOWN,TRUE,TRUE,TRUE,,
556,NK cell,IFITM3,785.1,NEW,TRUE,FALSE,FALSE,,
557,NK cell,IFNG,1.1,KNOWN,TRUE,TRUE,TRUE,,
558,NK cell,IKBKE,23.2,KNOWN,TRUE,TRUE,TRUE,,
559,NK cell,IL15,3.8,KNOWN,TRUE,FALSE,FALSE,,
560,NK cell,IL15RA,12.5,KNOWN,TRUE,TRUE,TRUE,,
561,NK cell,IL16,225.6,NEW,TRUE,TRUE,TRUE,,
562,NK cell,IL18,24.4,KNOWN,TRUE,TRUE,TRUE,,
563,NK cell,IL23A,2,KNOWN,TRUE,FALSE,FALSE,,
564,NK cell,IL27,1.9,NEW,TRUE,FALSE,FALSE,,
565,NK cell,IL3RA,14.9,NEW,FALSE,TRUE,FALSE,,
566,NK cell,IL4R,8.8,NEW,TRUE,TRUE,TRUE,,
567,NK cell,ILK,272.3,KNOWN,FALSE,TRUE,FALSE,,
568,NK cell,IMMP2L,49.1,NEW,TRUE,FALSE,FALSE,,
569,NK cell,ING1,21.5,KNOWN,TRUE,FALSE,FALSE,,
570,NK cell,INPP4A,3.7,NEW,TRUE,FALSE,FALSE,,
571,NK cell,INPP4B,17.4,NEW,TRUE,FALSE,FALSE,,
572,NK cell,INPP5D,13.8,NEW,TRUE,FALSE,FALSE,,
573,NK cell,INSR,1.1,KNOWN,TRUE,TRUE,TRUE,,
574,NK cell,INTS7,24,NEW,TRUE,FALSE,FALSE,,
575,NK cell,IPCEF1,15.3,NEW,TRUE,FALSE,FALSE,,
576,NK cell,IQGAP1,29.9,KNOWN,FALSE,TRUE,FALSE,,
577,NK cell,IQGAP2,4.6,KNOWN,TRUE,FALSE,FALSE,,
578,NK cell,IQSEC1,1.6,NEW,TRUE,FALSE,FALSE,,
579,NK cell,IRAK2,7.8,KNOWN,FALSE,TRUE,FALSE,,
580,NK cell,IRF1,154.2,KNOWN,TRUE,TRUE,TRUE,,
581,NK cell,IRF2,100.2,KNOWN,TRUE,FALSE,FALSE,,
582,NK cell,IRF5,5.5,NEW,TRUE,TRUE,TRUE,,
583,NK cell,ISG20,400.7,NEW,TRUE,FALSE,FALSE,,
584,NK cell,ITGA4,34,KNOWN,FALSE,TRUE,FALSE,,
585,NK cell,ITGA5,27.6,KNOWN,FALSE,TRUE,FALSE,,
586,NK cell,ITGA6,8.3,KNOWN,FALSE,TRUE,FALSE,,
587,NK cell,ITGAL,27.6,KNOWN,FALSE,TRUE,FALSE,,
588,NK cell,ITGAM,61.5,KNOWN,TRUE,TRUE,TRUE,,
589,NK cell,ITGAX,46.9,NEW,FALSE,TRUE,FALSE,,
590,NK cell,ITGB1,137.5,KNOWN,FALSE,TRUE,FALSE,,
591,NK cell,ITGB7,23.8,NEW,TRUE,TRUE,TRUE,,
592,NK cell,ITPR2,5.5,NEW,TRUE,FALSE,FALSE,,
593,NK cell,JADE2,2.3,NEW,TRUE,FALSE,FALSE,,
594,NK cell,JAK2,10.6,KNOWN,TRUE,TRUE,TRUE,,
595,NK cell,JMJD1C,1.8,NEW,TRUE,FALSE,FALSE,,
596,NK cell,JUN,2.1,KNOWN,TRUE,TRUE,TRUE,,
597,NK cell,JUNB,20.2,KNOWN,TRUE,TRUE,TRUE,,
598,NK cell,JUND,5.6,KNOWN,TRUE,TRUE,TRUE,,
599,NK cell,KAT5,41.1,KNOWN,FALSE,TRUE,FALSE,,
600,NK cell,KAT6A,2.3,NEW,TRUE,TRUE,TRUE,,
601,NK cell,KAT6B,2.2,NEW,TRUE,FALSE,FALSE,,
602,NK cell,KAT8,2.9,NEW,FALSE,TRUE,FALSE,,
603,NK cell,KDM1A,3,KNOWN,FALSE,TRUE,FALSE,,
604,NK cell,KDM2A,3.1,NEW,TRUE,TRUE,TRUE,,
605,NK cell,KDM2B,2.5,KNOWN,TRUE,FALSE,FALSE,,
606,NK cell,KDM4C,11.8,NEW,TRUE,FALSE,FALSE,,
607,NK cell,KDM5A,40.1,KNOWN,FALSE,TRUE,FALSE,,
608,NK cell,KEAP1,45.9,KNOWN,FALSE,TRUE,FALSE,,
609,NK cell,KHDRBS1,7.9,KNOWN,FALSE,TRUE,FALSE,,
610,NK cell,KHSRP,2.2,NEW,TRUE,FALSE,FALSE,,
611,NK cell,KIAA1324L,2.7,NEW,TRUE,FALSE,FALSE,,
612,NK cell,KIF2A,43.1,NEW,TRUE,FALSE,FALSE,,
613,NK cell,KIT,13.3,KNOWN,TRUE,TRUE,TRUE,,
614,NK cell,KLF11,6.7,KNOWN,TRUE,FALSE,FALSE,,
615,NK cell,KLF2,30.7,NEW,TRUE,FALSE,FALSE,,
616,NK cell,KLF6,74.8,KNOWN,TRUE,FALSE,FALSE,,
617,NK cell,KLF7,25.3,NEW,TRUE,FALSE,FALSE,,
618,NK cell,KLHL6,2.6,NEW,TRUE,FALSE,FALSE,,
619,NK cell,KLRC1,384.7,NEW,FALSE,TRUE,FALSE,,
620,NK cell,KLRD1,724.8,NEW,FALSE,TRUE,FALSE,,
621,NK cell,KLRK1,341,KNOWN,FALSE,TRUE,FALSE,,
622,NK cell,KMT5A,2.1,NEW,FALSE,TRUE,FALSE,,
623,NK cell,KPNA2,46.3,KNOWN,FALSE,TRUE,FALSE,,
624,NK cell,KPNB1,7.1,KNOWN,FALSE,TRUE,FALSE,,
625,NK cell,KRAS,14.6,KNOWN,FALSE,TRUE,FALSE,,
626,NK cell,KTN1,77.7,NEW,FALSE,TRUE,FALSE,,
627,NK cell,KYNU,1.9,NEW,TRUE,FALSE,FALSE,,
628,NK cell,LAP3,59.1,NEW,TRUE,FALSE,FALSE,,
629,NK cell,LAPTM5,344.6,NEW,TRUE,FALSE,FALSE,,
630,NK cell,LASP1,37.9,NEW,FALSE,TRUE,FALSE,,
631,NK cell,LATS1,3.3,NEW,TRUE,TRUE,TRUE,,
632,NK cell,LCP2,54.7,KNOWN,TRUE,TRUE,TRUE,,
633,NK cell,LDB2,2,NEW,TRUE,FALSE,FALSE,,
634,NK cell,LDLR,2.9,KNOWN,TRUE,FALSE,FALSE,,
635,NK cell,LEF1,38.2,KNOWN,TRUE,FALSE,FALSE,,
636,NK cell,LGALS3,19.3,NEW,TRUE,FALSE,FALSE,,
637,NK cell,LIMK1,6.5,KNOWN,FALSE,TRUE,FALSE,,
638,NK cell,LIMK2,7.2,NEW,TRUE,TRUE,TRUE,,
639,NK cell,LIMS1,41.6,NEW,TRUE,TRUE,TRUE,,
640,NK cell,LIPA,31.4,NEW,TRUE,FALSE,FALSE,,
641,NK cell,LITAF,296,NEW,TRUE,FALSE,FALSE,,
642,NK cell,LMNA,6.6,NEW,TRUE,FALSE,FALSE,,
643,NK cell,LPP,5.4,NEW,TRUE,FALSE,FALSE,,
644,NK cell,LRCH1,2.6,NEW,TRUE,FALSE,FALSE,,
645,NK cell,LRRFIP1,50,NEW,TRUE,FALSE,FALSE,,
646,NK cell,LTB,26.4,KNOWN,FALSE,TRUE,FALSE,,
647,NK cell,LTBR,1.8,KNOWN,FALSE,TRUE,FALSE,,
648,NK cell,LYN,6.7,KNOWN,TRUE,TRUE,TRUE,,
649,NK cell,MACF1,6.8,KNOWN,TRUE,FALSE,FALSE,,
650,NK cell,MAD1L1,25.1,NEW,TRUE,FALSE,FALSE,,
651,NK cell,MAF1,102.8,NEW,FALSE,TRUE,FALSE,,
652,NK cell,MAML3,3.5,KNOWN,TRUE,FALSE,FALSE,,
653,NK cell,MAN1A1,1.1,NEW,TRUE,FALSE,FALSE,,
654,NK cell,MAP1LC3A,2.5,KNOWN,FALSE,TRUE,FALSE,,
655,NK cell,MAP2K1,8.8,KNOWN,FALSE,TRUE,FALSE,,
656,NK cell,MAP2K2,18.9,KNOWN,FALSE,TRUE,FALSE,,
657,NK cell,MAP2K3,19.3,NEW,FALSE,TRUE,FALSE,,
658,NK cell,MAP2K4,3.1,KNOWN,FALSE,TRUE,FALSE,,
659,NK cell,MAP2K5,10.4,NEW,FALSE,TRUE,FALSE,,
660,NK cell,MAP2K6,5,NEW,FALSE,TRUE,FALSE,,
661,NK cell,MAP2K7,1.2,KNOWN,TRUE,TRUE,TRUE,,
662,NK cell,MAP3K1,2.1,KNOWN,TRUE,TRUE,TRUE,,
663,NK cell,MAP3K11,2.6,KNOWN,FALSE,TRUE,FALSE,,
664,NK cell,MAP3K2,2.2,KNOWN,FALSE,TRUE,FALSE,,
665,NK cell,MAP3K3,1.8,KNOWN,FALSE,TRUE,FALSE,,
666,NK cell,MAP3K4,4.5,KNOWN,FALSE,TRUE,FALSE,,
667,NK cell,MAP3K5,2.8,KNOWN,TRUE,TRUE,TRUE,,
668,NK cell,MAP3K7,18.7,KNOWN,TRUE,TRUE,TRUE,,
669,NK cell,MAP3K8,30,KNOWN,TRUE,TRUE,TRUE,,
670,NK cell,MAP4,14.9,NEW,TRUE,FALSE,FALSE,,
671,NK cell,MAP4K1,7,KNOWN,FALSE,TRUE,FALSE,,
672,NK cell,MAP4K2,2.6,KNOWN,FALSE,TRUE,FALSE,,
673,NK cell,MAP4K4,1.2,KNOWN,TRUE,TRUE,TRUE,,
674,NK cell,MAP4K5,11.3,KNOWN,FALSE,TRUE,FALSE,,
675,NK cell,MAPK1,8.3,KNOWN,TRUE,TRUE,TRUE,,
676,NK cell,MAPK10,1.6,NEW,FALSE,TRUE,FALSE,,
677,NK cell,MAPK13,7.1,NEW,TRUE,TRUE,TRUE,,
678,NK cell,MAPK14,7.2,KNOWN,TRUE,TRUE,TRUE,,
679,NK cell,MAPK3,1.7,KNOWN,TRUE,TRUE,TRUE,,
680,NK cell,MAPK7,5.1,KNOWN,FALSE,TRUE,FALSE,,
681,NK cell,MAPK8,2.1,KNOWN,TRUE,TRUE,TRUE,,
682,NK cell,MAPK9,1.2,KNOWN,TRUE,TRUE,TRUE,,
683,NK cell,MAPKAP1,6.2,NEW,TRUE,TRUE,TRUE,,
684,NK cell,MAPKAPK2,3.2,KNOWN,TRUE,TRUE,TRUE,,
685,NK cell,MAPKAPK3,42.1,KNOWN,TRUE,FALSE,FALSE,,
686,NK cell,MAPKAPK5,2.9,NEW,TRUE,TRUE,TRUE,,
687,NK cell,MARCH3,2.3,NEW,TRUE,FALSE,FALSE,,
688,NK cell,MARK2,2.2,KNOWN,FALSE,TRUE,FALSE,,
689,NK cell,MARK3,2.6,KNOWN,TRUE,TRUE,TRUE,,
690,NK cell,MAST4,2.5,NEW,TRUE,FALSE,FALSE,,
691,NK cell,MAT2A,29.4,NEW,TRUE,FALSE,FALSE,,
692,NK cell,MATK,83,NEW,FALSE,TRUE,FALSE,,
693,NK cell,MAVS,2.1,NEW,TRUE,TRUE,TRUE,,
694,NK cell,MAX,137.1,NEW,FALSE,TRUE,FALSE,,
695,NK cell,MBNL1,86.2,NEW,TRUE,FALSE,FALSE,,
696,NK cell,MBP,30.4,NEW,TRUE,FALSE,FALSE,,
697,NK cell,MCL1,11.5,KNOWN,TRUE,FALSE,FALSE,,
698,NK cell,MCM3,57.2,KNOWN,TRUE,FALSE,FALSE,,
699,NK cell,MCM7,5.7,KNOWN,TRUE,FALSE,FALSE,,
700,NK cell,MCPH1,4.7,NEW,FALSE,TRUE,FALSE,,
701,NK cell,MDC1,1.2,NEW,FALSE,TRUE,FALSE,,
702,NK cell,MDM2,4.4,KNOWN,TRUE,TRUE,TRUE,,
703,NK cell,MDM4,4.8,KNOWN,TRUE,TRUE,TRUE,,
704,NK cell,MED14,3.9,KNOWN,FALSE,TRUE,FALSE,,
705,NK cell,MED15,22.9,KNOWN,TRUE,FALSE,FALSE,,
706,NK cell,MED16,43,KNOWN,TRUE,FALSE,FALSE,,
707,NK cell,MED28,6,NEW,TRUE,FALSE,FALSE,,
708,NK cell,MED4,91.3,KNOWN,TRUE,FALSE,FALSE,,
709,NK cell,MEF2C,19.1,KNOWN,TRUE,TRUE,TRUE,,
710,NK cell,MEF2D,1.1,KNOWN,TRUE,FALSE,FALSE,,
711,NK cell,MEIS1,1.6,NEW,TRUE,FALSE,FALSE,,
712,NK cell,METTL8,6,NEW,TRUE,FALSE,FALSE,,
713,NK cell,METTL9,14.2,NEW,TRUE,FALSE,FALSE,,
714,NK cell,MGAT1,75.8,NEW,TRUE,FALSE,FALSE,,
