Table S1: IEI Candidate Genes without Filter,,,,
,pLI,AssociatedGene,pNull,pRec
548,0.0098017,DNAJA3,0.00040062,0.9898
549,0.44012,DNAJB12,0.00025279,0.55963
550,0.81216,DNAJC5,0.00087627,0.18696
551,0.00056753,DNM1L,1.68E-06,0.99943
552,0.99998,DNM2,9.57E-15,2.48E-05
553,1,DNMT1,7.69E-30,2.17E-10
554,0.0068117,DOCK1,1.82E-18,0.99319
555,2.55E-06,DOCK10,5.23E-17,1
556,0.82562,DOCK4,1.60E-20,0.17438
557,2.90E-09,DOCK5,3.62E-14,1
558,0.029002,DOK1,0.0019573,0.96904
559,0.091531,DOK4,0.0015804,0.90689
560,0.00016237,DPM1,0.027953,0.97188
561,7.28E-09,DPP4,1.01E-05,0.99999
562,3.37E-22,DPYD,0.89681,0.10319
563,0.99375,DPYSL2,6.83E-09,0.0062522
564,0.6331,DSE,8.99E-08,0.3669
565,1,DST,1.21E-70,2.61E-18
