Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean
233,CAT,345.5055556
234,CAV1,0.694444444
235,CBL,1.488888889
236,CBLB,3.838888889
237,CBS,0.172222222
238,CCAR2,21.09444444
239,CCDC12,110.9444444
240,CCDC57,0.966666667
241,CCDC6,1.427777778
242,CCDC88C,3.766666667
243,CCDC91,5.422222222
244,CCL17,0.016666667
245,CCL19,0.016666667
246,CCL2,0.566666667
247,CCL20,0.316666667
248,CCL22,0.333333333
249,CCL3,1.277777778
250,CCL4,55.42222222
251,CCL5,595.2388889
252,CCM2,52.80555556
253,CCNA1,2.161111111
254,CCNA2,0.35
255,CCNB1,5.088888889
256,CCND1,0.161111111
257,CCND2,8.272222222
258,CCND3,309.5944444
259,CCNE1,0.144444444
260,CCNE2,0.688888889
261,CCNG1,42
262,CCNG2,3.666666667
263,CCNH,24.23333333
264,CCNK,5.727777778
265,CCNY,5.122222222
266,CCR1,31.92777778
267,CCR2,75.64444444
268,CCR3,261.4333333
269,CCR4,3.977777778
270,CCR5,6.711111111
271,CCR7,598.4888889
272,CCRL2,5.061111111
273,CCSER1,0.005555556
274,CD14,212.6611111
275,CD180,11.86111111
276,CD2,257.4333333
277,CD22,9.655555556
278,CD226,9.866666667
279,CD244,50.46111111
280,CD247,104.7555556
281,CD274,0.811111111
282,CD28,15.63888889
283,CD33,29.54444444
284,CD34,0.033333333
285,CD36,89.85
286,CD4,74.3
287,CD44,161.9388889
288,CD47,118.5055556
289,CD48,221.7166667
290,CD5,29.60555556
291,CD58,37.47777778
292,CD68,606.7833333
293,CD69,9.644444444
294,CD74,6294.172222
295,CD80,0.161111111
296,CD82,98.15
297,CD83,6.638888889
298,CD86,19.84444444
299,CD93,3.772222222
300,CDC14A,5.816666667
301,CDC14B,0.994444444
302,CDC20,1.866666667
303,CDC25A,0.016666667
304,CDC25B,10.72777778
305,CDC25C,0.077777778
306,CDC34,2.077777778
307,CDC37,82.88333333
308,CDC42,149.8222222
309,CDC42BPA,0.011111111
310,CDC42BPB,0.027777778
311,CDC42EP3,44.43333333
312,CDC42SE2,93.01666667
313,CDC6,0.527777778
314,CDC7,1.633333333
315,CDH1,0.377777778
316,CDH13,0.572222222
317,CDH2,0.183333333
318,CDH23,4.161111111
319,CDK1,0.65
320,CDK11B,4.55
321,CDK12,2.672222222
322,CDK14,1.2
323,CDK16,5.327777778
324,CDK19,0.683333333
325,CDK2,3.327777778
326,CDK4,49.46666667
327,CDK5,15.86666667
328,CDK5R1,0.394444444
329,CDK5RAP2,3.144444444
330,CDK6,1.955555556
331,CDK7,11.71111111
332,CDK9,6.844444444
333,CDKAL1,5.383333333
334,CDKN1A,10.53333333
335,CDKN1B,5.972222222
336,CDKN1C,20.48888889
337,CDKN2A,7.05
338,CDKN2C,5.877777778
339,CDKN3,2.705555556
340,CDYL,1.488888889
341,CEBPA,2.744444444
342,CEBPB,2.438888889
343,CEBPD,2.9
344,CELF1,11.66666667
345,CEP128,1.672222222
346,CEP85L,5.977777778
347,CFAP46,0.027777778
348,CFL1,1911.4
349,CFLAR,55.24444444
350,CGN,0.138888889
351,CHD2,28.04444444
352,CHD9,27.48888889
353,CHEK1,1.327777778
354,CHEK2,3.622222222
355,CHI3L1,16.75555556
356,CHKA,0.722222222
357,CHMP4C,0.194444444
358,CHN1,1.105555556
359,CHN2,3.561111111
360,CHST15,8.272222222
361,CHUK,1.233333333
362,CIC,0.472222222
363,CISH,19.18888889
364,CKM,0.061111111
365,CKS1B,32.8
366,CLC,2091.861111
367,CLEC16A,1.7
368,CLIC2,4.083333333
369,CLIP2,0.144444444
370,CLSPN,0.144444444
371,CMIP,0.427777778
372,CMKLR1,3.216666667
373,CMTM7,66.71666667
374,CMTR1,4.244444444
375,CNIH3,0.022222222
376,CNKSR1,0.1
377,CNR1,0.038888889
378,COBL,0.072222222
379,COL18A1,0.255555556
380,COL27A1,0.005555556
381,COP1,2.744444444
382,COPS5,33.52777778
383,COPS6,151.0444444
384,CPEB4,0.772222222
385,CPQ,34.46666667
386,CR2,2.016666667
387,CRADD,18.85555556
388,CREB1,27.23333333
389,CREB5,10.01666667
390,CREBBP,1.427777778
391,CREM,8.177777778
392,CRK,3.638888889
393,CRKL,14.57777778
394,CRLF2,0.066666667
395,CRMP1,0.016666667
396,CSF1,1.605555556
397,CSF1R,61.45
398,CSF2,0.433333333
399,CSGALNACT1,13.08888889
400,CSK,77.33888889
401,CSMD1,0.005555556
402,CSN1S1,0.061111111
403,CSNK1A1,57.21111111
404,CSNK1A1L,0.344444444
405,CSNK1D,13.47777778
406,CSNK1E,3.238888889
407,CSNK2A1,21.11666667
408,CSNK2A2,9.888888889
409,CSNK2B,15.98888889
410,CSRP1,30.84444444
411,CTBP1,19.73333333
