Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean
1023,KLRC1,41.16666667
1024,KLRD1,95.3
1025,KLRK1,69.25
1026,KMT2B,0.088888889
1027,KMT5A,1.405555556
1028,KNG1,0.033333333
1029,KPNA2,27.98333333
1030,KPNB1,8.316666667
1031,KRAS,13.90555556
1032,KRT1,0.2
1033,KRT8,0.316666667
1034,KSR1,0.594444444
1035,KTN1,67.19444444
1036,KYNU,32.22777778
1037,LAMA2,0.116666667
1038,LAMA3,0.005555556
1039,LAMB2,0.044444444
1040,LAMC1,0.05
1041,LAP3,64.38333333
1042,LAPTM4B,0.394444444
1043,LAPTM5,677.6777778
1044,LASP1,22.63888889
1045,LATS1,4.05
1046,LATS2,0.233333333
1047,LCP2,37.68888889
1048,LDB2,0.111111111
1049,LDLR,3.494444444
1050,LEF1,26.09444444
1051,LEPR,0.594444444
1052,LGALS3,87
1053,LHFPL2,1.211111111
1054,LIF,0.005555556
1055,LIMCH1,0.072222222
1056,LIMD1,1.544444444
1057,LIMK1,2.194444444
1058,LIMK2,9.261111111
1059,LIMS1,54.02777778
1060,LIPA,58.94444444
1061,LITAF,328.9444444
1062,LMBR1,0.655555556
1063,LMNA,16.9
1064,LMO2,0.377777778
1065,LMTK2,0.2
1066,LPL,0.338888889
1067,LPP,3.922222222
1068,LRCH1,0.988888889
1069,LRIG1,0.088888889
1070,LRP1,0.527777778
1071,LRP1B,0.011111111
1072,LRP6,0.011111111
1073,LRRFIP1,84.01111111
1074,LRRK2,6.233333333
1075,LSAMP,0.161111111
1076,LTB,62.75
1077,LTBP1,0.2
1078,LTBR,12.71666667
1079,LTF,1.127777778
1080,LTK,0.694444444
1081,LUZP2,0.016666667
1082,LY96,40.36111111
1083,LYL1,1.033333333
1084,LYN,18.62222222
1085,MACF1,4.094444444
1086,MACROD2,1.477777778
1087,MAD1L1,62.60555556
1088,MADCAM1,0.516666667
1089,MAF,2.816666667
1090,MAF1,82.36666667
1091,MAFG,1.294444444
1092,MAGI2,0.211111111
1093,MAML3,1.255555556
1094,MAN1A1,0.95
1095,MAP1LC3A,5.227777778
1096,MAP2,0.066666667
1097,MAP2K1,5.561111111
1098,MAP2K2,14.81111111
1099,MAP2K3,44.91111111
1100,MAP2K4,2.011111111
1101,MAP2K5,5.394444444
1102,MAP2K6,9.55
1103,MAP2K7,0.555555556
1104,MAP3K1,2.033333333
1105,MAP3K11,5.194444444
1106,MAP3K12,0.255555556
1107,MAP3K2,2.072222222
1108,MAP3K20,2.538888889
1109,MAP3K3,5.544444444
1110,MAP3K4,5.355555556
1111,MAP3K5,1.85
1112,MAP3K7,12.37222222
1113,MAP3K8,18.18333333
1114,MAP4,9.15
1115,MAP4K1,12.57222222
1116,MAP4K2,5.788888889
1117,MAP4K3,0.127777778
1118,MAP4K4,2.855555556
1119,MAP4K5,7.311111111
1120,MAPK1,4.477777778
1121,MAPK10,1.088888889
1122,MAPK12,0.038888889
1123,MAPK13,15.98333333
1124,MAPK14,9.322222222
1125,MAPK3,5.105555556
1126,MAPK7,2.55
1127,MAPK8,1.327777778
1128,MAPK8IP1,0.077777778
1129,MAPK8IP3,0.111111111
1130,MAPK9,1.644444444
1131,MAPKAP1,5.45
1132,MAPKAPK2,2.527777778
1133,MAPKAPK3,69.18333333
1134,MAPKAPK5,2.716666667
1135,MAPT,0.038888889
1136,MARCKS,2.094444444
1137,MARK2,1.472222222
1138,MARK3,8.761111111
1139,MAST2,0.25
1140,MAST4,2.277777778
1141,MAT2A,18.56666667
1142,MATK,12.21111111
1143,MAVS,1.288888889
1144,MAX,164.4388889
1145,MBNL1,59.74444444
1146,MBP,14.73888889
1147,MCC,0.272222222
1148,MCF2L,0.083333333
1149,MCF2L2,0.138888889
1150,MCL1,20.40555556
1151,MCM3,33.88888889
1152,MCM7,3.205555556
1153,MCPH1,2.972222222
1154,MCTP1,10.22222222
1155,MDC1,0.2
1156,MDK,0.227777778
1157,MDM2,4.633333333
1158,MDM4,4.872222222
1159,MECOM,0.033333333
1160,MED14,1.783333333
1161,MED15,13.49444444
1162,MED16,40.93333333
1163,MED28,4.738888889
1164,MED4,68.26111111
1165,MEF2C,35.72222222
1166,MEF2D,1.3
1167,MEIS1,0.272222222
1168,MELK,0.138888889
1169,MEN1,1.061111111
1170,MERTK,0.688888889
1171,MET,0.005555556
1172,METTL8,3.016666667
1173,METTL9,17.06111111
1174,MGAT1,92.08333333
1175,MGLL,14.81666667
1176,MGMT,23.50555556
1177,MGRN1,2.827777778
1178,MICA,0.444444444
1179,MICAL2,1.922222222
1180,MICALL1,0.438888889
1181,MID1,0.044444444
1182,MINK1,0.666666667
1183,MIPOL1,0.083333333
1184,MITF,1.55
1185,MKI67,0.027777778
1186,MKL1,34.77222222
1187,MKNK1,17.56666667
1188,MKNK2,9.7
1189,MKRN1,26.35
1190,MLH1,13.42777778
1191,MLLT3,3.444444444
1192,MMP13,0.122222222
1193,MMP9,10.21111111
1194,MNT,0.25
1195,MOB1A,50.83333333
1196,MOB1B,0.505555556
1197,MOV10,6.594444444
1198,MPG,52.86111111
1199,MPL,0.016666667
1200,MPRIP,11.02777778
1201,MPZ,0.016666667
1202,MPZL1,18.49444444
1203,MR1,15.72777778
1204,MRC1,0.255555556
1205,MRE11,6.627777778
1206,MRPL27,114.8888889
1207,MRPS27,24.82777778
1208,MS4A1,46.67777778
1209,MS4A2,18.46666667
1210,MSC,4.383333333
1211,MSGN1,0.005555556
1212,MSH2,6.633333333
1213,MSI2,0.677777778
1214,MST1,0.016666667
1215,MST1R,0.027777778
1216,MTA1,0.272222222
1217,MTHFD1L,0.405555556
1218,MTHFR,1.522222222
1219,MTMR9,0.644444444
1220,MTOR,1.194444444
1221,MTSS1,20.15
1222,MUC1,0.133333333
1223,MVP,77.71666667
1224,MX1,35.29444444
1225,MYB,0.716666667
1226,MYBL2,4.927777778
1227,MYBPC3,0.005555556
1228,MYC,73.39444444
1229,MYCBP2,2.527777778
1230,MYEOV,0.005555556
1231,MYH9,22.62222222
1232,MYLK,0.911111111
1233,MYO18A,0.283333333
1234,MYO1B,0.044444444
1235,MYO3B,0.011111111
1236,MYO9B,2.811111111
1237,MYOF,3.683333333
1238,MZF1,2.011111111
1239,N4BP1,1.2
1240,NAA35,5.227777778
1241,NAALADL2,0.011111111
1242,NABP1,6.838888889
1243,NAIP,0.894444444
1244,NAV2,0.011111111
1245,NAV3,0.066666667
1246,NBN,14.12777778
1247,NCAM1,3.661111111
1248,NCBP1,8.555555556
1249,NCK1,23.78333333
1250,NCK2,8.611111111
1251,NCL,125.9611111
1252,NCOA1,3.805555556
1253,NCOA2,1.822222222
1254,NCOA3,3.577777778
1255,NCOA7,13.16111111
1256,NCOR2,0.672222222
1257,NDRG1,4.383333333
1258,NDRG2,15.8
1259,NDST1,1.216666667
1260,NEDD4,0.233333333
1261,NEDD4L,0.683333333
1262,NEDD9,17.51111111
1263,NEK2,0.388888889
1264,NEK6,21.46111111
1265,NEK7,3.005555556
1266,NEK9,1.938888889
1267,NEO1,0.127777778
1268,NF1,1.405555556
1269,NF2,9.9
1270,NFAM1,9.338888889
1271,NFASC,0.005555556
1272,NFATC1,4.644444444
1273,NFATC2,1.877777778
1274,NFATC3,10.61666667
1275,NFIA,1.6
1276,NFIB,0.033333333
1277,NFIC,2.338888889
1278,NFKBIZ,5.688888889
1279,NFYA,4.555555556
1280,NFYB,18.91111111
1281,NFYC,42.7
1282,NGFR,0.072222222
1283,NIN,5.8
1284,NINJ1,173.3944444
1285,NKIRAS1,4.655555556
1286,NKX3-1,5.322222222
1287,NLK,1.366666667
1288,NLRC5,3.638888889
1289,NLRP2,0.361111111
1290,NME1,34.76111111
1291,NME7,6.322222222
1292,NMI,71.85555556
1293,NOD1,6.111111111
1294,NOL3,0.433333333
1295,NOLC1,13.58888889
1296,NOS1,0.033333333
1297,NOS3,0.605555556
1298,NOTCH1,0.672222222
1299,NOTCH2,2.677777778
1300,NOTCH3,0.027777778
1301,NOXA1,0.266666667
1302,NPM1,502.1277778
1303,NQO1,4.694444444
1304,NQO2,40.86666667
1305,NR1D1,3.338888889
1306,NR1H2,90.2
1307,NR2C2,1.061111111
1308,NR2F6,1.266666667
1309,NR3C1,22.05
1310,NR3C2,0.327777778
1311,NR4A1,4.627777778
1312,NR4A2,0.9
1313,NR4A3,0.011111111
1314,NRAS,11.43333333
1315,NRCAM,0.127777778
1316,NRG1,2.277777778
1317,NRIP1,0.4
1318,NRP1,2.711111111
1319,NRP2,0.016666667
1320,NRXN1,0.061111111
1321,NRXN3,0.022222222
1322,NSD1,7.477777778
1323,NSMAF,5.844444444
1324,NTM,0.894444444
1325,NTRK1,3.738888889
1326,NTRK2,0.005555556
1327,NTRK3,0.005555556
1328,NUAK1,0.011111111
1329,NUAK2,18.67777778
1330,NUMB,42.40555556
1331,NUMBL,0.194444444
1332,NUP153,2.15
1333,NUP210,3.855555556
1334,NXN,0.072222222
1335,OAS2,24.45555556
1336,OAS3,4.061111111
1337,OASL,31.83333333
1338,OCLN,0.077777778
1339,OGG1,12.61111111
1340,OGT,5.405555556
1341,OLR1,0.355555556
1342,OPRD1,0.138888889
1343,OPRM1,0.022222222
1344,OPTN,28.51666667
1345,OSBPL10,0.661111111
1346,OSBPL3,3.766666667
1347,OSBPL8,43.00555556
1348,OSBPL9,22.99444444
1349,OSM,5.35
1350,OTUB1,147.8555556
1351,OXSR1,2.094444444
1352,P2RY6,7.027777778
1353,PA2G4,94.82777778
1354,PACRG,0.633333333
1355,PACSIN2,16.63333333
1356,PAG1,4.161111111
1357,PAK1,74.82777778
1358,PAK2,16.62777778
1359,PAK3,0.077777778
1360,PAK4,0.633333333
1361,PAK6,0.55
1362,PALLD,1.7
1363,PANK2,5.016666667
1364,PAPD7,0.3
1365,PARD3,0.3
1366,PARD6A,3.227777778
1367,PARK7,407.7666667
1368,PARP1,59.06666667
1369,PARP10,2.833333333
1370,PARP14,9.111111111
1371,PARP9,23.85
1372,PAX5,3.288888889
1373,PAX6,0.005555556
1374,PAX8,0.416666667
1375,PBK,0.05
1376,PBX1,0.044444444
1377,PCBP2,32.86111111
1378,PCBP3,0.511111111
1379,PCBP4,4.083333333
1380,PCK2,6
1381,PCNA,27.23888889
1382,PDE4B,16.96666667
1383,PDE4D,4.472222222
1384,PDE7A,3.683333333
1385,PDGFA,2.316666667
1386,PDGFB,1.983333333
1387,PDGFC,0.033333333
1388,PDGFRA,0.061111111
1389,PDGFRB,0.161111111
1390,PDIA3,9.683333333
1391,PDK1,7.05
1392,PDK2,13.5
1393,PDLIM5,22.06666667
1394,PDPK1,4.866666667
1395,PDZRN3,0.1
1396,PEA15,15.16111111
1397,PEBP1,111.8222222
1398,PECAM1,116.4388889
1399,PEG3,0.011111111
1400,PELI1,8.888888889
1401,PELI3,0.838888889
1402,PER1,0.505555556
1403,PER2,1.272222222
1404,PERP,3.466666667
1405,PFKFB3,4.433333333
1406,PFN1,5444.261111
1407,PGF,0.055555556
1408,PGK1,179.8555556
1409,PGPEP1,4.405555556
1410,PGS1,12.43333333
1411,PHACTR1,7.838888889
1412,PHACTR2,3.366666667
1413,PHACTR4,1.888888889
1414,PHB,133.1055556
1415,PHF2,0.672222222
1416,PHLDA3,0.122222222
1417,PHLDB2,0.727777778
1418,PHLPP1,0.3
1419,PHLPP2,0.216666667
1420,PIAS1,22.23888889
1421,PIAS3,7.694444444
1422,PIAS4,11.44444444
1423,PIDD1,0.316666667
1424,PIEZO1,4.25
1425,PIGR,0.155555556
1426,PIK3AP1,16.8
1427,PIK3C2B,0.477777778
1428,PIK3C3,10.43333333
1429,PIK3CA,1.605555556
1430,PIK3CB,3.811111111
1431,PIK3CG,9.916666667
1432,PIK3R2,0.316666667
1433,PIK3R4,5.538888889
1434,PIK3R5,10.8
1435,PIM1,46.75555556
1436,PIM2,94
1437,PIM3,3.411111111
1438,PIN1,171.0555556
1439,PINK1,1.416666667
1440,PIP4K2A,75.90555556
1441,PIP5K1C,0.45
1442,PKD2,0.216666667
1443,PKIA,2.588888889
1444,PKIG,31.13333333
1445,PKM,237.6777778
1446,PKMYT1,0.105555556
1447,PKN1,23.31666667
1448,PKN2,9.027777778
1449,PLA2G4A,1.844444444
1450,PLAC8,365.7555556
1451,PLAGL1,5.383333333
1452,PLAT,0.077777778
1453,PLAU,0.233333333
1454,PLAUR,160.8611111
1455,PLB1,1.311111111
1456,PLCB1,0.538888889
1457,PLCB2,1.605555556
1458,PLCB4,0.161111111
1459,PLCE1,0.216666667
1460,PLCG1,1.933333333
1461,PLD1,1.127777778
1462,PLD2,1.7
1463,PLEC,0.627777778
1464,PLEKHA2,3.272222222
1465,PLEKHA7,0.422222222
1466,PLEKHG3,5.605555556
1467,PLEKHO1,11.38888889
1468,PLK1,0.466666667
1469,PLK2,1.111111111
1470,PLK3,3.394444444
1471,PLN,0.011111111
1472,PLSCR1,42.99444444
1473,PLSCR2,0.077777778
1474,PLSCR3,31.06666667
1475,PLXNA1,0.005555556
1476,PLXNA2,0.005555556
1477,PLXNB2,3.666666667
1478,PLXNC1,3.15
1479,PMAIP1,24.47222222
1480,PML,11.74444444
1481,PMP22,5.383333333
1482,PNKP,7.766666667
1483,PNPLA8,19.56111111
1484,POLA2,4.394444444
1485,POLD4,138.2055556
1486,POLE,0.2
1487,POLR1A,0.416666667
1488,PON2,4.433333333
1489,POU2F1,2.105555556
1490,POU2F2,13.35555556
1491,PPARA,1.255555556
1492,PPARG,0.038888889
1493,PPFIA2,0.022222222
1494,PPFIBP2,4.444444444
1495,PPIA,998.6055556
1496,PPL,0.005555556
1497,PPM1A,1.622222222
1498,PPM1B,3.783333333
1499,PPM1D,8.9
1500,PPM1G,48.12222222
1501,PPM1H,0.327777778
1502,PPM1J,4.127777778
1503,PPM1M,14.22222222
1504,PPP1CA,652.8833333
1505,PPP1CB,55.84444444
1506,PPP1CC,21.46666667
1507,PPP1R12A,66.05555556
1508,PPP1R13L,0.077777778
1509,PPP1R14A,29.29444444
1510,PPP1R15A,46.31111111
1511,PPP1R1B,0.038888889
1512,PPP1R2,98.32222222
1513,PPP1R9B,1.488888889
1514,PPP2CA,53.52222222
1515,PPP2CB,1.938888889
1516,PPP2R1A,142.0777778
1517,PPP2R2A,3.077777778
1518,PPP2R2B,8.111111111
1519,PPP2R5A,3.938888889
1520,PPP2R5C,101.1444444
1521,PPP2R5D,13.8
1522,PPP3CA,41.81111111
1523,PPP3CC,11.3
1524,PPP3R1,0.522222222
1525,PPP4C,81.58333333
1526,PPP5C,13.41666667
1527,PPP6C,24.93888889
1528,PRDM1,9.166666667
1529,PRDM14,0.111111111
1530,PRDM16,0.138888889
1531,PRDX1,198.9666667
1532,PREX1,2.483333333
1533,PRKAA1,8.216666667
1534,PRKAB1,28.35555556
1535,PRKACA,1.088888889
1536,PRKAG2,6.727777778
1537,PRKAR1A,67.33333333
1538,PRKAR1B,4.916666667
1539,PRKAR2A,5.638888889
1540,PRKAR2B,0.122222222
1541,PRKCA,0.3
1542,PRKCB,22.68888889
1543,PRKCE,0.4
1544,PRKCH,47.36666667
1545,PRKCI,0.927777778
1546,PRKCQ,9.816666667
1547,PRKCZ,1.261111111
1548,PRKD1,0.005555556
1549,PRKD2,2.288888889
1550,PRKG1,0.238888889
1551,PRKN,0.816666667
1552,PRKRA,23.23333333
1553,PRLR,0.066666667
1554,PRMT5,18.53888889
1555,PROC,3.388888889
1556,PRODH,0.005555556
1557,PROS1,0.094444444
1558,PROX1,0.005555556
1559,PRPF40A,68.03888889
1560,PRPF4B,5.95
1561,PRR5,7.694444444
1562,PRUNE2,0.155555556
1563,PSD3,0.188888889
1564,PSD4,3.555555556
1565,PSEN1,48.36111111
1566,PSEN2,9.455555556
1567,PSMB9,89.04444444
1568,PSMD1,24.16666667
1569,PSTPIP2,17.07222222
1570,PTAFR,93.48888889
1571,PTGFR,0.005555556
1572,PTGS2,0.511111111
1573,PTHLH,0.027777778
1574,PTK2,2.061111111
1575,PTK2B,28.92222222
1576,PTK6,0.266666667
1577,PTK7,0.844444444
1578,PTMA,1561.2
1579,PTP4A1,41.56666667
1580,PTP4A2,65.22222222
1581,PTPA,14.69444444
1582,PTPN1,10.57777778
1583,PTPN11,12.71666667
1584,PTPN12,3.211111111
1585,PTPN13,0.261111111
1586,PTPN18,5.6
1587,PTPN2,39.13333333
1588,PTPN22,9.261111111
1589,PTPN3,0.027777778
1590,PTPN5,0.005555556
1591,PTPN6,328.1722222
1592,PTPN7,8.127777778
1593,PTPRA,3.577777778
1594,PTPRE,91.33888889
1595,PTPRG,0.005555556
1596,PTPRH,0.005555556
1597,PTPRJ,1.488888889
1598,PTPRM,0.977777778
1599,PTTG1,26.52222222
1600,PTTG1IP,88.3
1601,PTX3,0.077777778
1602,PURA,0.55
1603,PWP2,2.061111111
1604,PXDN,0.022222222
1605,PXN,35.48888889
1606,PYCARD,398.1166667
1607,RAB31,19.00555556
1608,RAB3GAP2,4
1609,RABGGTA,6.677777778
1610,RAC1,46.25555556
1611,RACGAP1,6.455555556
1612,RACK1,440.8888889
1613,RAD1,3.972222222
1614,RAD17,3.438888889
1615,RAD18,2.194444444
1616,RAD50,3.455555556
1617,RAD51B,6.905555556
1618,RAD9A,2.955555556
1619,RAF1,30.19444444
1620,RALBP1,17.02777778
1621,RALGAPA2,1.144444444
1622,RALGDS,6.122222222
1623,RAN,453.9
1624,RANGAP1,7.427777778
1625,RAP1A,19.34444444
1626,RAP1B,230.0944444
1627,RAP1GAP2,1.422222222
1628,RAP2A,0.822222222
1629,RAPGEF1,1.838888889
1630,RAPGEF2,0.938888889
1631,RAPGEF4,0.005555556
1632,RARA,8.566666667
1633,RARG,3.644444444
1634,RASA1,1.016666667
1635,RASA3,9.844444444
1636,RASAL2,0.022222222
1637,RASGEF1B,4.983333333
1638,RASGRF1,0.005555556
1639,RASGRP3,2.266666667
1640,RASSF1,45.10555556
1641,RASSF2,30.56666667
1642,RASSF4,14.33888889
1643,RASSF5,86.4
1644,RB1,11.05555556
1645,RB1CC1,13.85
1646,RBAK,0.283333333
1647,RBBP8,6.372222222
1648,RBFOX3,0.011111111
1649,RBL1,1.916666667
1650,RBM19,4.877777778
1651,RBM47,12.44444444
1652,RBMS1,12.29444444
1653,RBMS3,0.233333333
1654,RBP1,0.038888889
1655,RBPJ,84.44444444
1656,RBPMS,0.066666667
1657,RBX1,102.2611111
1658,RCAN1,1.072222222
1659,RCC2,1.294444444
1660,RCHY1,5.794444444
1661,RCN1,6.816666667
1662,RDX,10.96111111
1663,RECQL5,3.588888889
1664,RERE,4.588888889
1665,RET,0.266666667
1666,REV3L,0.927777778
1667,RFTN1,31.32222222
1668,RFX3,3.588888889
1669,RGCC,17.98888889
1670,RGS12,0.272222222
1671,RGS16,1.75
1672,RGS19,183.7888889
1673,RHBDD2,76.31111111
1674,RHBDF2,6.305555556
1675,RHEB,28.73333333
1676,RHEBL1,2.844444444
1677,RHOA,653.3
1678,RHOF,44.41666667
1679,RHOG,220.6777778
1680,RICTOR,4.9
1681,RIN1,2.894444444
1682,RIN2,0.183333333
1683,RIN3,17.96666667
1684,RIPK2,6.833333333
1685,RIPK3,2.788888889
1686,RIPOR2,169.9
1687,RNF11,3.461111111
1688,RNF144B,10.27222222
1689,RNF213,19.03888889
1690,RNF216,10.43888889
1691,RNF8,5.644444444
1692,RNLS,1.827777778
1693,ROBO1,0.044444444
1694,ROCK1,4.155555556
1695,ROCK2,0.433333333
1696,ROR1,0.055555556
1697,ROR2,0.066666667
1698,RORA,6.905555556
1699,RPA1,40.1
1700,RPA2,165.1944444
1701,RPGRIP1L,0.855555556
1702,RPL10,4534.188889
1703,RPL13,3992.338889
1704,RPL39L,15
1705,RPS19,9015.133333
1706,RPS24,1744.061111
1707,RPS27A,2506.916667
1708,RPS27L,122.8111111
1709,RPS3,1021.316667
1710,RPS6,3431.738889
1711,RPS6KA1,33.36111111
1712,RPS6KA2,1.933333333
1713,RPS6KA3,4.944444444
1714,RPS6KA4,1.272222222
1715,RPS6KA5,6.294444444
1716,RPS6KB1,12.12777778
1717,RPS6KB2,24.31111111
1718,RPTOR,0.5
1719,RRAS,2.805555556
1720,RRAS2,1.877777778
1721,RREB1,1.927777778
1722,RRM1,11.60555556
1723,RRM2B,5.183333333
1724,RSAD2,7.705555556
1725,RSF1,22.27777778
1726,RTN4,17.07222222
1727,RTTN,0.244444444
1728,RUNX1,3.65
1729,RUNX2,4.65
1730,RUNX3,8.472222222
1731,RUVBL1,12.92777778
1732,RXRA,3.233333333
1733,RXYLT1,2.227777778
1734,RYK,1.055555556
1735,S100A10,398.4888889
1736,S100A11,2347.988889
1737,S100A2,1.333333333
1738,S100A4,3671.322222
1739,S100A6,1579.416667
1740,S100A9,2628.088889
1741,S100B,52.92222222
1742,SAA1,0.055555556
1743,SAA2,0.183333333
1744,SAMD4A,0.25
1745,SAMSN1,47.77222222
1746,SASH1,0.222222222
1747,SBF2,0.244444444
1748,SBNO2,0.183333333
1749,SCAF11,21.74444444
1750,SCAPER,10.98888889
1751,SCARB1,4.455555556
1752,SCHIP1,0.544444444
1753,SCMH1,1.266666667
1754,SCN3B,0.066666667
1755,SDC2,0.661111111
1756,SDC4,1.016666667
1757,SDK1,0.016666667
1758,SEC14L1,22.83888889
1759,SELP,0.9
1760,SELPLG,450.5
1761,SEMA3C,3.272222222
1762,SEMA4B,2.055555556
1763,SEMA4D,13.2
1764,SEMA6A,0.027777778
1765,SERPINB1,71.31111111
1766,SERPINB5,0.005555556
1767,SERPIND1,0.122222222
1768,SERPINE1,0.583333333
1769,SERTAD1,12.88333333
1770,SERTAD2,1.5
1771,SESN1,21.58888889
1772,SESN2,1.877777778
1773,SFN,0.188888889
1774,SFSWAP,3.105555556
1775,SGK1,16.43888889
1776,SGK3,10.73888889
1777,SGMS1,7.3
1778,SH2B1,1.461111111
1779,SH2B2,0.316666667
1780,SH2B3,2.122222222
1781,SH2D2A,16.50555556
1782,SH3BP1,1.094444444
1783,SH3BP4,0.311111111
1784,SH3BP5,16.87222222
1785,SH3RF1,0.694444444
1786,SH3TC1,3.583333333
1787,SHANK2,0.016666667
1788,SHB,0.233333333
1789,SHC1,28.79444444
1790,SHH,0.011111111
1791,SIAH1,8.05
1792,SIGLEC10,89.83333333
1793,SIK1,0.027777778
1794,SIK2,0.4
1795,SIK3,0.372222222
1796,SIL1,20.02222222
1797,SIPA1L1,3.4
1798,SIPA1L2,0.205555556
1799,SIRPA,6.111111111
1800,SIRT1,1.122222222
1801,SIRT2,33.48888889
1802,SIRT6,8.5
1803,SIVA1,150.3555556
1804,SKAP1,69.66666667
1805,SKI,0.05
1806,SKP2,6.733333333
1807,SLA,85.03888889
1808,SLC12A4,1.15
1809,SLC12A8,0.011111111
1810,SLC1A2,0.161111111
1811,SLC1A3,0.172222222
1812,SLC22A23,0.027777778
1813,SLC25A37,3.405555556
1814,SLC2A1,4.161111111
1815,SLC2A4,0.005555556
1816,SLC37A1,8.45
1817,SLC44A3,0.133333333
1818,SLC6A6,6.938888889
1819,SLC8A1,3.216666667
1820,SLC9A1,0.494444444
1821,SLC9A3R1,216.6611111
1822,SLCO3A1,1.666666667
1823,SLIT3,0.077777778
1824,SLK,0.75
1825,SLPI,12.45555556
1826,SLX4IP,0.977777778
1827,SMAD1,4.127777778
1828,SMAD2,27.78888889
1829,SMAD3,1.533333333
1830,SMAD4,0.833333333
1831,SMAD7,0.872222222
1832,SMARCA4,6.344444444
1833,SMC1A,12.21111111
1834,SMC3,13.35555556
1835,SMCO4,74.58333333
1836,SMCR8,0.355555556
1837,SMG1,5.172222222
1838,SMG6,0.927777778
1839,SMOC1,0.094444444
1840,SMPD3,8.711111111
1841,SMURF1,0.144444444
1842,SMURF2,1.133333333
1843,SMYD3,11.01666667
1844,SNAI1,0.083333333
1845,SNAP47,23.71666667
1846,SNCA,16.17222222
1847,SNCB,0.027777778
1848,SND1,50.57777778
1849,SNRK,7.816666667
1850,SNRNP27,20.73333333
1851,SNTA1,1.122222222
1852,SNX25,0.166666667
1853,SNX30,0.444444444
1854,SNX8,7.566666667
1855,SOCS1,2.627777778
1856,SOCS2,19.36666667
1857,SOCS3,1.083333333
1858,SOCS4,1.2
1859,SOCS5,0.972222222
1860,SOCS6,0.688888889
1861,SOCS7,0.088888889
1862,SOD2,123.925
1863,SORBS1,0.383333333
1864,SORBS2,0.005555556
1865,SORBS3,5.861111111
1866,SOS1,1.038888889
1867,SOX6,0.072222222
1868,SP1,1.655555556
1869,SP140L,12.46111111
1870,SP2,6.377777778
1871,SP3,17.18888889
1872,SPAG9,1.5
1873,SPATS2L,9
1874,SPECC1L,2.322222222
1875,SPI1,15.98888889
1876,SPIB,54.34444444
1877,SPIDR,5.327777778
1878,SPIRE1,0.033333333
1879,SPOCK1,0.038888889
1880,SPP1,1.044444444
1881,SPRY1,8.088888889
1882,SPTBN1,3.072222222
1883,SQOR,77.58888889
1884,SQSTM1,235.8444444
1885,SRC,0.411111111
1886,SRF,0.516666667
1887,SRGN,635.3444444
1888,SRPK1,12.28888889
1889,SSBP2,20.83888889
1890,SSBP3,0.766666667
1891,SSH1,0.833333333
1892,SSTR2,0.305555556
1893,ST3GAL1,23.16111111
1894,ST3GAL2,3.344444444
1895,ST6GAL1,34.82777778
1896,ST7,3.533333333
1897,STAG1,3.833333333
1898,STAM,12.52777778
1899,STAM2,3.072222222
1900,STARD13,0.061111111
1901,STAT4,28.78333333
1902,STAT5A,12.55555556
1903,STAT6,11.7
1904,STEAP3,0.561111111
1905,STK10,22.15
1906,STK11,1.95
1907,STK17A,7.166666667
1908,STK24,7.15
1909,STK3,2.683333333
1910,STK38,40.52222222
1911,STK39,0.338888889
1912,STK40,3.922222222
1913,STOML2,69.81111111
1914,STRADB,12.77777778
1915,STX1A,0.1
1916,STXBP1,0.138888889
1917,STXBP5,1.177777778
1918,STXBP6,0.133333333
1919,SUB1,205.2611111
1920,SUGCT,0.244444444
1921,SUGT1,28.41666667
1922,SULF2,7.011111111
1923,SUMO1,194.5833333
1924,SUSD1,4.255555556
1925,SVIL,1.883333333
1926,SYK,31.54444444
1927,SYNE1,9.716666667
1928,SYNE2,14.33333333
1929,SYT1,0.127777778
1930,TAB1,3.05
1931,TAB2,1.977777778
1932,TAB3,0.161111111
1933,TACC1,8.55
1934,TAF1,1.138888889
1935,TAF1B,8.016666667
1936,TAGLN,5.688888889
1937,TAL1,0.055555556
1938,TANC1,0.016666667
1939,TAOK1,0.638888889
1940,TAOK2,0.527777778
1941,TAOK3,54.39444444
1942,TAX1BP1,80.89444444
1943,TBC1D1,8.055555556
1944,TBC1D14,8.816666667
1945,TBC1D2B,0.694444444
1946,TBC1D31,4.688888889
1947,TBC1D4,3.561111111
1948,TBC1D5,6.155555556
1949,TBCA,135.5777778
1950,TBL1XR1,5.372222222
1951,TBP,35.31111111
1952,TBX21,3.222222222
1953,TBXAS1,104.2333333
1954,TCEAL1,14.21666667
1955,TCF12,13.72222222
1956,TCF4,43.58888889
1957,TCF7,18.2
1958,TCF7L2,6.161111111
1959,TDGF1,0.138888889
1960,TDP1,16.28333333
1961,TEAD2,0.161111111
1962,TEAD3,0.016666667
1963,TEC,1.9
1964,TEK,0.011111111
1965,TENM4,0.005555556
1966,TERF1,11.41111111
1967,TERF2,4.95
1968,TESK1,0.527777778
1969,TFDP1,4.555555556
1970,TFEB,12.32222222
1971,TFF3,0.305555556
1972,TG,0.088888889
1973,TGFA,2.572222222
1974,TGFB1I1,0.511111111
1975,TGFB2,0.027777778
1976,TGFBI,48.26666667
1977,TGFBR3,6.988888889
1978,TGIF1,30.16666667
1979,TGM2,0.072222222
1980,THADA,3.616666667
1981,THAP12,2.938888889
1982,THBS1,2.25
