Table S6: IEI Candidate Genes with Average in Myeloid Cells > 1 TPM Filter,CellType,Gene,mean
165,Myeloid,CASP9,24.16666667
166,Myeloid,CAST,58.53333333
167,Myeloid,CAT,827.85
168,Myeloid,CAV1,1.333333333
169,Myeloid,CBL,2.333333333
170,Myeloid,CBLB,1.183333333
171,Myeloid,CCAR2,17.38333333
172,Myeloid,CCDC12,85.18333333
173,Myeloid,CCDC88C,2.133333333
174,Myeloid,CCDC91,4.666666667
175,Myeloid,CCL2,1.55
176,Myeloid,CCL4,6.4
177,Myeloid,CCL5,41.2
178,Myeloid,CCM2,55.38333333
179,Myeloid,CCNA1,6.45
180,Myeloid,CCNB1,2.033333333
181,Myeloid,CCND2,2.45
182,Myeloid,CCND3,413.3833333
183,Myeloid,CCNG1,25.13333333
184,Myeloid,CCNG2,6.833333333
185,Myeloid,CCNH,26.66666667
186,Myeloid,CCNK,6.233333333
187,Myeloid,CCNY,8.583333333
188,Myeloid,CCR1,59.03333333
189,Myeloid,CCR2,131.5666667
190,Myeloid,CCR3,777.7333333
191,Myeloid,CCR5,2.3
192,Myeloid,CCR7,11.21666667
193,Myeloid,CCRL2,8.183333333
194,Myeloid,CD14,575.1666667
195,Myeloid,CD180,9.4
196,Myeloid,CD2,4.483333333
197,Myeloid,CD244,98.43333333
198,Myeloid,CD247,2.45
199,Myeloid,CD274,1.283333333
200,Myeloid,CD28,2.133333333
201,Myeloid,CD33,52.9
202,Myeloid,CD36,174.3333333
203,Myeloid,CD4,92.81666667
204,Myeloid,CD44,157.3333333
205,Myeloid,CD47,112.3
206,Myeloid,CD48,233
207,Myeloid,CD58,65.81666667
208,Myeloid,CD68,1465.55
209,Myeloid,CD69,1.066666667
210,Myeloid,CD74,5413.95
211,Myeloid,CD82,132.15
212,Myeloid,CD83,6.983333333
213,Myeloid,CD86,36.51666667
214,Myeloid,CD93,9.633333333
215,Myeloid,CDC14A,4.866666667
216,Myeloid,CDC14B,1.35
217,Myeloid,CDC25B,1.466666667
218,Myeloid,CDC34,3.1
219,Myeloid,CDC37,75.23333333
220,Myeloid,CDC42,205.1333333
221,Myeloid,CDC42EP3,62.21666667
222,Myeloid,CDC42SE2,77.01666667
223,Myeloid,CDH13,1.466666667
224,Myeloid,CDH23,10.11666667
225,Myeloid,CDK11B,5.133333333
226,Myeloid,CDK12,3.25
227,Myeloid,CDK14,1.833333333
228,Myeloid,CDK16,5.183333333
229,Myeloid,CDK19,1.183333333
230,Myeloid,CDK2,2.016666667
231,Myeloid,CDK4,21.08333333
232,Myeloid,CDK5,18.93333333
233,Myeloid,CDK5RAP2,3.483333333
234,Myeloid,CDK6,1.65
235,Myeloid,CDK7,10.33333333
236,Myeloid,CDK9,4.3
237,Myeloid,CDKAL1,3.45
238,Myeloid,CDKN1A,20.41666667
239,Myeloid,CDKN1B,5.9
240,Myeloid,CDKN1C,57.36666667
241,Myeloid,CDKN2A,1.25
242,Myeloid,CDKN2C,4.716666667
243,Myeloid,CDYL,1.15
244,Myeloid,CEBPA,7.016666667
245,Myeloid,CEBPB,6.583333333
246,Myeloid,CEBPD,6.783333333
247,Myeloid,CELF1,11.85
248,Myeloid,CEP85L,7.766666667
249,Myeloid,CFL1,1986.45
250,Myeloid,CFLAR,90.51666667
251,Myeloid,CHD2,25.3
252,Myeloid,CHD9,27.8
253,Myeloid,CHEK2,3.316666667
254,Myeloid,CHI3L1,50.26666667
255,Myeloid,CHKA,1.383333333
256,Myeloid,CHN2,5.35
257,Myeloid,CHST15,22.21666667
258,Myeloid,CHUK,1.35
259,Myeloid,CISH,8.183333333
260,Myeloid,CKS1B,28.51666667
261,Myeloid,CLC,6266.383333
262,Myeloid,CLEC16A,1.716666667
263,Myeloid,CLIC2,4.666666667
264,Myeloid,CMKLR1,3.116666667
265,Myeloid,CMTM7,100.55
266,Myeloid,CMTR1,3.883333333
267,Myeloid,COP1,5.316666667
268,Myeloid,COPS5,36.43333333
269,Myeloid,COPS6,138.1333333
270,Myeloid,CPEB4,1.333333333
271,Myeloid,CPQ,59.76666667
272,Myeloid,CRADD,23.53333333
