Table S6: IEI Candidate Genes with Average in Myeloid Cells > 1 TPM Filter,CellType,Gene,mean
722,Myeloid,LTF,3.316666667
723,Myeloid,LY96,97.58333333
724,Myeloid,LYL1,2.2
725,Myeloid,LYN,40.28333333
726,Myeloid,MACF1,2.3
727,Myeloid,MACROD2,1.133333333
728,Myeloid,MAD1L1,42.83333333
729,Myeloid,MAF,4.866666667
730,Myeloid,MAF1,64
731,Myeloid,MAFG,2.816666667
732,Myeloid,MAML3,2.6
733,Myeloid,MAP1LC3A,9.283333333
734,Myeloid,MAP2K1,4.616666667
735,Myeloid,MAP2K2,17.56666667
736,Myeloid,MAP2K3,67.1
737,Myeloid,MAP2K4,2.35
738,Myeloid,MAP2K5,4.2
739,Myeloid,MAP2K6,9.433333333
740,Myeloid,MAP3K1,2.716666667
741,Myeloid,MAP3K11,9.7
742,Myeloid,MAP3K2,2.783333333
743,Myeloid,MAP3K20,3.766666667
744,Myeloid,MAP3K3,11.43333333
745,Myeloid,MAP3K4,4.733333333
746,Myeloid,MAP3K5,2
747,Myeloid,MAP3K7,12
748,Myeloid,MAP3K8,27.81666667
749,Myeloid,MAP4,7.9
750,Myeloid,MAP4K1,3.616666667
751,Myeloid,MAP4K2,6.433333333
752,Myeloid,MAP4K4,3.783333333
753,Myeloid,MAP4K5,12.05
754,Myeloid,MAPK1,4.566666667
755,Myeloid,MAPK10,1.2
756,Myeloid,MAPK13,4.35
757,Myeloid,MAPK14,18.13333333
758,Myeloid,MAPK3,10.45
759,Myeloid,MAPK7,3.566666667
760,Myeloid,MAPK9,2.583333333
761,Myeloid,MAPKAP1,5.816666667
762,Myeloid,MAPKAPK2,1.366666667
763,Myeloid,MAPKAPK3,134.1
764,Myeloid,MAPKAPK5,2.466666667
765,Myeloid,MARCKS,5.333333333
766,Myeloid,MARK2,1.633333333
767,Myeloid,MARK3,19.58333333
768,Myeloid,MAST4,2.383333333
769,Myeloid,MAT2A,12.43333333
770,Myeloid,MAVS,1.433333333
771,Myeloid,MAX,243.8166667
772,Myeloid,MBNL1,55.55
773,Myeloid,MBP,15.18333333
774,Myeloid,MCL1,29.86666667
775,Myeloid,MCM3,16.98333333
776,Myeloid,MCM7,1.616666667
777,Myeloid,MCPH1,2.483333333
778,Myeloid,MCTP1,25.35
779,Myeloid,MDM2,6.25
780,Myeloid,MDM4,4.216666667
781,Myeloid,MED14,1.666666667
782,Myeloid,MED15,10.1
783,Myeloid,MED16,31.41666667
784,Myeloid,MED28,4.783333333
785,Myeloid,MED4,63.78333333
786,Myeloid,MEF2C,33.95
787,Myeloid,MEF2D,1.366666667
788,Myeloid,MERTK,2.033333333
789,Myeloid,METTL8,1.25
790,Myeloid,METTL9,26.6
791,Myeloid,MGAT1,120.5
792,Myeloid,MGLL,27.4
793,Myeloid,MGMT,13.28333333
794,Myeloid,MGRN1,4.383333333
795,Myeloid,MICAL2,2.383333333
796,Myeloid,MITF,3.366666667
797,Myeloid,MKL1,57.95
798,Myeloid,MKNK1,24
799,Myeloid,MKNK2,11.28333333
800,Myeloid,MKRN1,34.4
801,Myeloid,MLH1,15.76666667
802,Myeloid,MMP9,30.63333333
803,Myeloid,MOB1A,72.75
804,Myeloid,MOV10,3.883333333
805,Myeloid,MPG,39.58333333
806,Myeloid,MPRIP,1.75
807,Myeloid,MPZL1,34.93333333
808,Myeloid,MR1,19.23333333
809,Myeloid,MRE11,5.533333333
810,Myeloid,MRPL27,114.5333333
811,Myeloid,MRPS27,13.16666667
812,Myeloid,MS4A2,55.3
813,Myeloid,MSH2,2.616666667
814,Myeloid,MTHFR,1.933333333
815,Myeloid,MTSS1,37.88333333
816,Myeloid,MVP,106.0833333
817,Myeloid,MX1,40.43333333
818,Myeloid,MYB,1.85
819,Myeloid,MYC,17.98333333
820,Myeloid,MYCBP2,1.45
821,Myeloid,MYH9,30.71666667
822,Myeloid,MYLK,1.583333333
823,Myeloid,MYO9B,4.016666667
824,Myeloid,MYOF,9
825,Myeloid,N4BP1,1.733333333
826,Myeloid,NAA35,3.25
827,Myeloid,NABP1,7.533333333
828,Myeloid,NAIP,1.733333333
829,Myeloid,NBN,21.28333333
830,Myeloid,NCBP1,9.166666667
831,Myeloid,NCK1,25.86666667
832,Myeloid,NCK2,6.5
833,Myeloid,NCL,73.41666667
834,Myeloid,NCOA1,5.25
835,Myeloid,NCOA2,2.55
836,Myeloid,NCOA3,3.633333333
837,Myeloid,NCOA7,8.783333333
838,Myeloid,NCOR2,1.316666667
839,Myeloid,NDRG1,3.3
840,Myeloid,NDRG2,1.4
841,Myeloid,NDST1,2.816666667
842,Myeloid,NEDD9,29.23333333
843,Myeloid,NEK6,36.66666667
844,Myeloid,NEK7,2.05
845,Myeloid,NEK9,2.033333333
846,Myeloid,NF2,8.216666667
847,Myeloid,NFAM1,25.46666667
848,Myeloid,NFATC1,5.066666667
849,Myeloid,NFATC3,6.8
850,Myeloid,NFIA,1.666666667
851,Myeloid,NFIC,2.683333333
852,Myeloid,NFKBIZ,11.53333333
853,Myeloid,NFYA,3.283333333
854,Myeloid,NFYB,16.16666667
855,Myeloid,NFYC,55.6
856,Myeloid,NIN,8.333333333
857,Myeloid,NINJ1,422.5666667
858,Myeloid,NKIRAS1,3.566666667
859,Myeloid,NKX3-1,14.28333333
860,Myeloid,NLK,3.433333333
861,Myeloid,NLRC5,4.666666667
862,Myeloid,NME1,17.33333333
863,Myeloid,NME7,2.833333333
864,Myeloid,NMI,122.3166667
865,Myeloid,NOD1,6.15
866,Myeloid,NOLC1,7.883333333
867,Myeloid,NOTCH2,4.75
868,Myeloid,NPM1,151.4
869,Myeloid,NQO2,70.21666667
870,Myeloid,NR1D1,1.066666667
871,Myeloid,NR1H2,113.4833333
872,Myeloid,NR3C1,30.23333333
873,Myeloid,NR4A1,12.81666667
874,Myeloid,NR4A2,1.75
875,Myeloid,NRAS,12.98333333
876,Myeloid,NRG1,5.616666667
877,Myeloid,NSD1,8.766666667
878,Myeloid,NSMAF,5.633333333
879,Myeloid,NTRK1,11.21666667
880,Myeloid,NUAK2,25.16666667
881,Myeloid,NUMB,92.33333333
882,Myeloid,NUP153,1.65
883,Myeloid,NUP210,1.216666667
884,Myeloid,OAS2,22.2
885,Myeloid,OAS3,6.583333333
886,Myeloid,OASL,41.58333333
887,Myeloid,OGG1,8.783333333
888,Myeloid,OGT,3.05
889,Myeloid,OPTN,6.9
890,Myeloid,OSBPL3,1.8
891,Myeloid,OSBPL8,64.8
892,Myeloid,OSBPL9,21.8
893,Myeloid,OSM,11.81666667
894,Myeloid,OTUB1,160.65
895,Myeloid,OXSR1,2.683333333
896,Myeloid,P2RY6,1.35
897,Myeloid,PA2G4,48.5
898,Myeloid,PACSIN2,31.28333333
899,Myeloid,PAG1,5.266666667
900,Myeloid,PAK1,163.5
901,Myeloid,PAK2,25.01666667
902,Myeloid,PALLD,2.883333333
903,Myeloid,PANK2,6.233333333
904,Myeloid,PARK7,278.55
905,Myeloid,PARP1,28.98333333
906,Myeloid,PARP10,1.666666667
907,Myeloid,PARP14,11.8
908,Myeloid,PARP9,35.28333333
909,Myeloid,PCBP2,23.23333333
910,Myeloid,PCBP4,1.333333333
911,Myeloid,PCK2,7.816666667
912,Myeloid,PCNA,13.28333333
913,Myeloid,PDE4B,16.45
914,Myeloid,PDE4D,9.1
915,Myeloid,PDE7A,1.3
916,Myeloid,PDGFA,3.05
917,Myeloid,PDIA3,8.816666667
918,Myeloid,PDK1,8.533333333
919,Myeloid,PDK2,8.783333333
920,Myeloid,PDLIM5,46.13333333
921,Myeloid,PDPK1,6.266666667
922,Myeloid,PEA15,21.7
923,Myeloid,PEBP1,25.95
924,Myeloid,PECAM1,266.9833333
925,Myeloid,PELI1,19.16666667
926,Myeloid,PER2,1.166666667
927,Myeloid,PERP,4.9
928,Myeloid,PFKFB3,7.466666667
929,Myeloid,PFN1,5788.05
930,Myeloid,PGK1,264.65
931,Myeloid,PGPEP1,6.533333333
932,Myeloid,PGS1,13.11666667
933,Myeloid,PHACTR1,3.466666667
934,Myeloid,PHACTR2,2.933333333
935,Myeloid,PHACTR4,1.55
936,Myeloid,PHB,64.96666667
937,Myeloid,PIAS1,28.91666667
938,Myeloid,PIAS3,7.033333333
939,Myeloid,PIAS4,11.86666667
940,Myeloid,PIEZO1,4.483333333
941,Myeloid,PIK3AP1,28.4
942,Myeloid,PIK3C3,11.83333333
943,Myeloid,PIK3CA,1.366666667
944,Myeloid,PIK3CB,5.316666667
945,Myeloid,PIK3CG,16.35
946,Myeloid,PIK3R4,5.166666667
947,Myeloid,PIK3R5,12.13333333
948,Myeloid,PIM1,68.81666667
949,Myeloid,PIM2,73.91666667
950,Myeloid,PIM3,3.616666667
951,Myeloid,PIN1,179.65
952,Myeloid,PINK1,2.766666667
953,Myeloid,PIP4K2A,49.36666667
954,Myeloid,PKIG,1.433333333
955,Myeloid,PKM,274.3166667
956,Myeloid,PKN1,28.93333333
957,Myeloid,PKN2,16.31666667
958,Myeloid,PLA2G4A,3.733333333
959,Myeloid,PLAC8,169.5333333
960,Myeloid,PLAGL1,9.633333333
961,Myeloid,PLAUR,433.2
962,Myeloid,PLB1,3.016666667
963,Myeloid,PLCB2,2.55
964,Myeloid,PLD1,2.05
965,Myeloid,PLD2,2.683333333
966,Myeloid,PLEKHA2,3.016666667
967,Myeloid,PLEKHG3,6.916666667
968,Myeloid,PLEKHO1,14.55
969,Myeloid,PLK3,2.266666667
970,Myeloid,PLSCR1,76.18333333
971,Myeloid,PLSCR3,14.7
972,Myeloid,PLXNB2,8.15
973,Myeloid,PLXNC1,6.333333333
974,Myeloid,PMAIP1,51.18333333
975,Myeloid,PML,13.16666667
976,Myeloid,PMP22,11.01666667
977,Myeloid,PNKP,10.26666667
978,Myeloid,PNPLA8,23.93333333
979,Myeloid,POLA2,4.266666667
980,Myeloid,POLD4,176.9333333
981,Myeloid,PON2,1.95
982,Myeloid,POU2F1,2.3
983,Myeloid,POU2F2,24.28333333
984,Myeloid,PPARA,2.016666667
985,Myeloid,PPFIBP2,5.883333333
986,Myeloid,PPIA,551.0166667
987,Myeloid,PPM1A,1.85
988,Myeloid,PPM1B,3.783333333
989,Myeloid,PPM1D,11.61666667
990,Myeloid,PPM1G,38.45
991,Myeloid,PPM1M,15.03333333
992,Myeloid,PPP1CA,738.2333333
993,Myeloid,PPP1CB,69.43333333
994,Myeloid,PPP1CC,27.96666667
995,Myeloid,PPP1R12A,88.66666667
996,Myeloid,PPP1R14A,1.3
997,Myeloid,PPP1R15A,84.38333333
998,Myeloid,PPP1R2,92.95
999,Myeloid,PPP1R9B,2.1
1000,Myeloid,PPP2CA,50.28333333
1001,Myeloid,PPP2CB,1.783333333
1002,Myeloid,PPP2R1A,138.8833333
1003,Myeloid,PPP2R2A,2.183333333
1004,Myeloid,PPP2R5A,5.966666667
1005,Myeloid,PPP2R5C,73.66666667
1006,Myeloid,PPP2R5D,11.26666667
1007,Myeloid,PPP3CA,49.13333333
1008,Myeloid,PPP3CC,3.816666667
1009,Myeloid,PPP4C,111.9666667
1010,Myeloid,PPP5C,7.633333333
1011,Myeloid,PPP6C,28.16666667
1012,Myeloid,PRDM1,3.483333333
1013,Myeloid,PRDX1,213.4333333
1014,Myeloid,PREX1,2.9
1015,Myeloid,PRKAA1,8.733333333
1016,Myeloid,PRKAB1,30.05
1017,Myeloid,PRKACA,1.833333333
1018,Myeloid,PRKAG2,9.933333333
1019,Myeloid,PRKAR1A,111.2166667
1020,Myeloid,PRKAR1B,1.25
1021,Myeloid,PRKAR2A,6.533333333
1022,Myeloid,PRKCB,21.48333333
1023,Myeloid,PRKCH,1.9
1024,Myeloid,PRKCZ,2.416666667
1025,Myeloid,PRKD2,1.266666667
1026,Myeloid,PRKRA,14.96666667
1027,Myeloid,PRMT5,13.11666667
1028,Myeloid,PRPF40A,71.11666667
1029,Myeloid,PRPF4B,5.033333333
1030,Myeloid,PRR5,3.233333333
1031,Myeloid,PSD4,3.016666667
1032,Myeloid,PSEN1,86.1
1033,Myeloid,PSEN2,16.5
1034,Myeloid,PSMB9,106.7
1035,Myeloid,PSMD1,25
1036,Myeloid,PSTPIP2,39.08333333
1037,Myeloid,PTAFR,260.2833333
1038,Myeloid,PTGS2,1.466666667
1039,Myeloid,PTK2,1.116666667
1040,Myeloid,PTK2B,35.86666667
1041,Myeloid,PTMA,1146.25
1042,Myeloid,PTP4A1,53.2
1043,Myeloid,PTP4A2,86.33333333
1044,Myeloid,PTPA,10.91666667
1045,Myeloid,PTPN1,12.68333333
1046,Myeloid,PTPN11,11.93333333
1047,Myeloid,PTPN12,4.116666667
1048,Myeloid,PTPN18,7.366666667
1049,Myeloid,PTPN2,30.68333333
1050,Myeloid,PTPN22,6.883333333
1051,Myeloid,PTPN6,558.3166667
1052,Myeloid,PTPN7,7.416666667
1053,Myeloid,PTPRA,3.033333333
1054,Myeloid,PTPRE,152.15
1055,Myeloid,PTPRJ,2.6
1056,Myeloid,PTTG1,4.916666667
1057,Myeloid,PTTG1IP,142.85
1058,Myeloid,PWP2,1.133333333
1059,Myeloid,PXN,38.1
1060,Myeloid,PYCARD,748.5333333
1061,Myeloid,RAB31,47.45
1062,Myeloid,RAB3GAP2,3.7
1063,Myeloid,RABGGTA,8.05
1064,Myeloid,RAC1,68.18333333
1065,Myeloid,RACGAP1,5.366666667
1066,Myeloid,RACK1,228.1833333
1067,Myeloid,RAD1,2.666666667
1068,Myeloid,RAD17,1.683333333
1069,Myeloid,RAD18,2.066666667
1070,Myeloid,RAD50,2.233333333
1071,Myeloid,RAD51B,5.05
1072,Myeloid,RAD9A,2.7
1073,Myeloid,RAF1,46.96666667
1074,Myeloid,RALBP1,31.15
1075,Myeloid,RALGAPA2,1.75
1076,Myeloid,RAN,267.45
1077,Myeloid,RANGAP1,6.4
1078,Myeloid,RAP1A,19.15
1079,Myeloid,RAP1B,239.2166667
1080,Myeloid,RAP1GAP2,1.966666667
1081,Myeloid,RAPGEF1,1.6
1082,Myeloid,RAPGEF2,1.333333333
1083,Myeloid,RARA,18.5
1084,Myeloid,RASA3,7.083333333
1085,Myeloid,RASGEF1B,4.966666667
1086,Myeloid,RASGRP3,2.3
1087,Myeloid,RASSF1,60.48333333
1088,Myeloid,RASSF2,62.23333333
1089,Myeloid,RASSF4,26.05
1090,Myeloid,RASSF5,103.8333333
1091,Myeloid,RB1,13.55
1092,Myeloid,RB1CC1,19.7
1093,Myeloid,RBBP8,11.76666667
1094,Myeloid,RBM19,3.5
1095,Myeloid,RBM47,28.51666667
1096,Myeloid,RBMS1,14.31666667
1097,Myeloid,RBPJ,113.4333333
1098,Myeloid,RBX1,98.16666667
1099,Myeloid,RCAN1,1.466666667
1100,Myeloid,RCC2,1.083333333
1101,Myeloid,RCHY1,7.716666667
1102,Myeloid,RCN1,4.983333333
1103,Myeloid,RDX,11.56666667
1104,Myeloid,RECQL5,2.883333333
1105,Myeloid,RERE,5.266666667
1106,Myeloid,RFTN1,28.71666667
1107,Myeloid,RFX3,2.55
1108,Myeloid,RGS19,356.75
1109,Myeloid,RHBDD2,97.76666667
1110,Myeloid,RHBDF2,7.833333333
1111,Myeloid,RHEB,28.21666667
1112,Myeloid,RHEBL1,2.183333333
1113,Myeloid,RHOA,990.4666667
1114,Myeloid,RHOF,23.21666667
1115,Myeloid,RHOG,435.65
1116,Myeloid,RICTOR,6.716666667
1117,Myeloid,RIN1,6.866666667
1118,Myeloid,RIN3,35.16666667
1119,Myeloid,RIPK2,10.61666667
1120,Myeloid,RIPK3,2.85
1121,Myeloid,RIPOR2,260.3666667
1122,Myeloid,RNF11,4.7
1123,Myeloid,RNF144B,23.83333333
1124,Myeloid,RNF213,21.26666667
1125,Myeloid,RNF216,11.53333333
1126,Myeloid,RNF8,3.033333333
1127,Myeloid,RNLS,1.4
1128,Myeloid,ROCK1,5.05
1129,Myeloid,RPA1,28.38333333
1130,Myeloid,RPA2,107.2833333
1131,Myeloid,RPL10,1889.916667
1132,Myeloid,RPL13,1214.016667
1133,Myeloid,RPL39L,4.983333333
1134,Myeloid,RPS19,3884.65
1135,Myeloid,RPS24,986.4166667
1136,Myeloid,RPS27A,833.2333333
1137,Myeloid,RPS27L,122.1
1138,Myeloid,RPS3,340.1166667
1139,Myeloid,RPS6,1117.866667
1140,Myeloid,RPS6KA1,56.53333333
1141,Myeloid,RPS6KA2,3.583333333
1142,Myeloid,RPS6KA3,5.35
1143,Myeloid,RPS6KA4,1.116666667
1144,Myeloid,RPS6KA5,7.883333333
1145,Myeloid,RPS6KB1,12.88333333
1146,Myeloid,RPS6KB2,25.65
1147,Myeloid,RRAS,6.583333333
1148,Myeloid,RREB1,2.533333333
1149,Myeloid,RRM1,5.766666667
1150,Myeloid,RRM2B,8.383333333
1151,Myeloid,RSAD2,17.45
1152,Myeloid,RSF1,24.03333333
1153,Myeloid,RTN4,22.18333333
1154,Myeloid,RUNX1,5.233333333
1155,Myeloid,RUNX2,2.583333333
1156,Myeloid,RUNX3,3.1
1157,Myeloid,RUVBL1,4.966666667
1158,Myeloid,RXRA,8.066666667
1159,Myeloid,RXYLT1,1.083333333
1160,Myeloid,RYK,1.066666667
1161,Myeloid,S100A10,354.1166667
1162,Myeloid,S100A11,5416.866667
1163,Myeloid,S100A2,2.116666667
1164,Myeloid,S100A4,5222.416667
1165,Myeloid,S100A6,2552.3
1166,Myeloid,S100A9,7144.866667
1167,Myeloid,S100B,3.7
1168,Myeloid,SAMSN1,97.11666667
1169,Myeloid,SCAF11,23.6
1170,Myeloid,SCAPER,9.9
1171,Myeloid,SCARB1,2.866666667
1172,Myeloid,SDC2,1.766666667
1173,Myeloid,SEC14L1,58.21666667
1174,Myeloid,SELP,1.2
1175,Myeloid,SELPLG,698.3166667
1176,Myeloid,SEMA3C,8.8
1177,Myeloid,SEMA4B,1.466666667
1178,Myeloid,SEMA4D,14.21666667
1179,Myeloid,SERPINB1,98.18333333
1180,Myeloid,SERTAD1,14.8
1181,Myeloid,SERTAD2,1.383333333
1182,Myeloid,SESN1,5.45
1183,Myeloid,SESN2,1.2
1184,Myeloid,SFSWAP,2.6
1185,Myeloid,SGK1,44.41666667
1186,Myeloid,SGK3,11.76666667
1187,Myeloid,SGMS1,8.416666667
1188,Myeloid,SH2B1,1.4
1189,Myeloid,SH2B3,3.2
1190,Myeloid,SH3BP1,1.7
1191,Myeloid,SH3BP5,6.4
1192,Myeloid,SH3RF1,1.616666667
1193,Myeloid,SH3TC1,4.066666667
1194,Myeloid,SHC1,33.55
1195,Myeloid,SIAH1,8.683333333
1196,Myeloid,SIGLEC10,253.2666667
1197,Myeloid,SIL1,24.35
1198,Myeloid,SIPA1L1,5.966666667
1199,Myeloid,SIRPA,16.15
1200,Myeloid,SIRT2,43.18333333
1201,Myeloid,SIRT6,9.35
1202,Myeloid,SIVA1,133.4166667
1203,Myeloid,SKAP1,2.5
1204,Myeloid,SKP2,6.85
1205,Myeloid,SLA,107.55
1206,Myeloid,SLC12A4,2.116666667
1207,Myeloid,SLC25A37,7.6
1208,Myeloid,SLC37A1,10.9
1209,Myeloid,SLC6A6,15.7
1210,Myeloid,SLC8A1,8.966666667
1211,Myeloid,SLC9A3R1,219.7333333
1212,Myeloid,SLCO3A1,3.233333333
1213,Myeloid,SLPI,37.25
1214,Myeloid,SMAD1,10.68333333
1215,Myeloid,SMAD2,29.78333333
1216,Myeloid,SMAD7,1.45
1217,Myeloid,SMARCA4,5.3
1218,Myeloid,SMC1A,11.11666667
1219,Myeloid,SMC3,11.68333333
1220,Myeloid,SMCO4,147.2833333
1221,Myeloid,SMG1,6.7
1222,Myeloid,SMPD3,3.25
1223,Myeloid,SMYD3,5.5
1224,Myeloid,SNAP47,17.1
1225,Myeloid,SNCA,18.7
1226,Myeloid,SND1,40.15
1227,Myeloid,SNRK,7.533333333
1228,Myeloid,SNRNP27,18.41666667
1229,Myeloid,SNX8,8.866666667
1230,Myeloid,SOCS1,3.3
1231,Myeloid,SOCS2,23.15
1232,Myeloid,SOCS3,1.2
1233,Myeloid,SOCS4,1.183333333
1234,Myeloid,SOD2,331.575
1235,Myeloid,SORBS3,1.233333333
1236,Myeloid,SP1,2.35
1237,Myeloid,SP140L,7.983333333
1238,Myeloid,SP2,6.683333333
1239,Myeloid,SP3,16.45
1240,Myeloid,SPAG9,2.666666667
1241,Myeloid,SPATS2L,9.766666667
1242,Myeloid,SPECC1L,2.5
1243,Myeloid,SPI1,44.73333333
1244,Myeloid,SPIB,1.016666667
1245,Myeloid,SPIDR,4.6
1246,Myeloid,SPP1,3.133333333
1247,Myeloid,SQOR,109.8833333
1248,Myeloid,SQSTM1,352.8833333
1249,Myeloid,SRGN,1318.733333
1250,Myeloid,SRPK1,19.61666667
1251,Myeloid,SSBP2,27.4
1252,Myeloid,SSH1,1.2
1253,Myeloid,ST3GAL1,19.03333333
1254,Myeloid,ST3GAL2,3.366666667
1255,Myeloid,ST6GAL1,11.71666667
1256,Myeloid,STAG1,3.416666667
1257,Myeloid,STAM,11.78333333
1258,Myeloid,STAM2,5.5
1259,Myeloid,STAT4,1.616666667
1260,Myeloid,STAT5A,12.03333333
1261,Myeloid,STAT6,18.23333333
1262,Myeloid,STK10,29.78333333
1263,Myeloid,STK11,3.966666667
1264,Myeloid,STK17A,3.633333333
1265,Myeloid,STK24,7.866666667
1266,Myeloid,STK3,4.733333333
1267,Myeloid,STK38,45.23333333
1268,Myeloid,STK40,7.116666667
1269,Myeloid,STOML2,43.48333333
1270,Myeloid,STRADB,8.583333333
1271,Myeloid,STXBP5,2.316666667
1272,Myeloid,SUB1,195.3833333
1273,Myeloid,SUGT1,28.11666667
1274,Myeloid,SULF2,13.6
1275,Myeloid,SUMO1,190.1
1276,Myeloid,SUSD1,3.866666667
1277,Myeloid,SVIL,4.083333333
1278,Myeloid,SYK,50.83333333
1279,Myeloid,SYNE1,13.06666667
1280,Myeloid,SYNE2,13.98333333
1281,Myeloid,TAB1,2.65
1282,Myeloid,TAB2,1.1
1283,Myeloid,TACC1,12.35
1284,Myeloid,TAF1B,5.733333333
1285,Myeloid,TAGLN,15
1286,Myeloid,TAOK3,62.06666667
1287,Myeloid,TAX1BP1,106.4166667
1288,Myeloid,TBC1D1,13.88333333
1289,Myeloid,TBC1D14,9.033333333
1290,Myeloid,TBC1D31,2.366666667
1291,Myeloid,TBC1D5,7.1
1292,Myeloid,TBCA,88.43333333
1293,Myeloid,TBL1XR1,4.866666667
1294,Myeloid,TBP,32.53333333
1295,Myeloid,TBXAS1,277.8166667
1296,Myeloid,TCEAL1,6.583333333
1297,Myeloid,TCF12,12.56666667
1298,Myeloid,TCF4,3.566666667
1299,Myeloid,TCF7,1.1
1300,Myeloid,TCF7L2,17
1301,Myeloid,TDP1,11.01666667
1302,Myeloid,TEC,4.35
1303,Myeloid,TERF1,8.15
1304,Myeloid,TERF2,4
1305,Myeloid,TFDP1,6.533333333
1306,Myeloid,TFEB,19.65
1307,Myeloid,TGFA,6.366666667
1308,Myeloid,TGFBI,68.28333333
1309,Myeloid,TGIF1,20.21666667
1310,Myeloid,THADA,3.516666667
1311,Myeloid,THAP12,1.033333333
1312,Myeloid,THBS1,4.033333333
1313,Myeloid,TIAM1,7.633333333
1314,Myeloid,TIAM2,3.216666667
1315,Myeloid,TICAM2,4.216666667
1316,Myeloid,TIMP1,372.7166667
1317,Myeloid,TKT,197.5
1318,Myeloid,TLE1,1.75
1319,Myeloid,TLE4,9.566666667
1320,Myeloid,TLK1,4.266666667
1321,Myeloid,TLN1,5.45
1322,Myeloid,TLR1,28.26666667
1323,Myeloid,TLR10,1.233333333
1324,Myeloid,TLR2,108.5
1325,Myeloid,TLR4,46.35
1326,Myeloid,TLR5,12.73333333
1327,Myeloid,TLR6,2.4
1328,Myeloid,TLR7,4.933333333
1329,Myeloid,TLR8,9.383333333
1330,Myeloid,TMEM2,1.15
1331,Myeloid,TMEM30A,52.23333333
1332,Myeloid,TMX3,2.083333333
1333,Myeloid,TNF,2.583333333
1334,Myeloid,TNFAIP8,144.55
1335,Myeloid,TNFAIP8L1,2.933333333
1336,Myeloid,TNFRSF10A,2.783333333
1337,Myeloid,TNFRSF10B,7.15
1338,Myeloid,TNFRSF10C,282.6833333
1339,Myeloid,TNFRSF10D,1.1
1340,Myeloid,TNFRSF1B,128.6166667
1341,Myeloid,TNFRSF8,25.7
1342,Myeloid,TNFSF10,133.95
1343,Myeloid,TNFSF13B,184.9166667
1344,Myeloid,TNFSF8,6.283333333
1345,Myeloid,TNIK,2.033333333
1346,Myeloid,TNIP1,16.48333333
1347,Myeloid,TNIP2,10.4
1348,Myeloid,TNK2,1.133333333
1349,Myeloid,TNRC6B,101.9666667
1350,Myeloid,TNS3,1.45
1351,Myeloid,TOLLIP,91.41666667
1352,Myeloid,TOP1,10.6
1353,Myeloid,TOX2,1.083333333
1354,Myeloid,TP53BP2,1.216666667
1355,Myeloid,TP53I3,8.783333333
1356,Myeloid,TP53INP1,11.8
1357,Myeloid,TP53RK,14.76666667
1358,Myeloid,TPCN1,3.333333333
1359,Myeloid,TRADD,40.23333333
1360,Myeloid,TRAF2,4.916666667
1361,Myeloid,TRAF4,1.4
1362,Myeloid,TRAF5,1.55
1363,Myeloid,TRAF6,19.35
1364,Myeloid,TRAPPC9,4
1365,Myeloid,TRIAP1,23.61666667
1366,Myeloid,TRIB3,2.6
1367,Myeloid,TRIM21,150.9
1368,Myeloid,TRIM25,4.65
1369,Myeloid,TRIM28,5.55
1370,Myeloid,TRIM56,1.283333333
1371,Myeloid,TRPM6,4.116666667
1372,Myeloid,TRPS1,1.183333333
1373,Myeloid,TSC1,1.883333333
1374,Myeloid,TSC2,2
1375,Myeloid,TSC22D3,806.15
1376,Myeloid,TSPAN14,61.91666667
1377,Myeloid,TSPAN3,29.41666667
1378,Myeloid,TTC1,70.73333333
1379,Myeloid,TTC7B,2.116666667
1380,Myeloid,TUBA1C,23.16666667
1381,Myeloid,TUBB,10.38333333
1382,Myeloid,TXK,1.066666667
1383,Myeloid,TXN,412.1
1384,Myeloid,TXNIP,643.8666667
1385,Myeloid,TXNRD1,50.68333333
1386,Myeloid,TYROBP,2686.6
1387,Myeloid,UBA52,1136.583333
1388,Myeloid,UBB,2454.25
1389,Myeloid,UBC,457.0833333
1390,Myeloid,UBE2F,53.11666667
1391,Myeloid,UBE2H,1.75
1392,Myeloid,UBE2I,193.1833333
1393,Myeloid,UBE2L3,66.15
1394,Myeloid,UBE2N,80.03333333
1395,Myeloid,UBR1,1.533333333
1396,Myeloid,UIMC1,18.15
1397,Myeloid,ULK2,1.2
1398,Myeloid,UPP1,25.05
1399,Myeloid,UQCC1,9.633333333
1400,Myeloid,USF1,1.916666667
1401,Myeloid,USF2,10.66666667
1402,Myeloid,USP1,12.78333333
1403,Myeloid,USP10,105.1166667
1404,Myeloid,USP34,1.383333333
1405,Myeloid,USP4,75.2
1406,Myeloid,USP7,2.7
1407,Myeloid,USP9X,3
1408,Myeloid,UTP14A,9.4
1409,Myeloid,UTRN,58.43333333
1410,Myeloid,UVRAG,7.416666667
1411,Myeloid,VAC14,2.2
1412,Myeloid,VASP,16.8
1413,Myeloid,VAV1,20.06666667
1414,Myeloid,VCAN,37.35
1415,Myeloid,VCL,15.13333333
1416,Myeloid,VCP,49.38333333
1417,Myeloid,VDR,3
1418,Myeloid,VGLL4,5.05
1419,Myeloid,VHL,1.3
1420,Myeloid,VIM,375.1666667
1421,Myeloid,VMP1,486.4333333
1422,Myeloid,VOPP1,15.4
1423,Myeloid,VPS33B,5.966666667
1424,Myeloid,VPS53,4.85
1425,Myeloid,VPS8,10.58333333
1426,Myeloid,VRK1,16.98333333
1427,Myeloid,VRK2,21.2
1428,Myeloid,VWA5A,9.766666667
