Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean
181,T cell,CCR4,9.685714286
182,T cell,CCR5,11.92857143
183,T cell,CCR7,1188.371429
184,T cell,CCRL2,2.828571429
185,T cell,CD14,4
186,T cell,CD2,482.1714286
187,T cell,CD226,19.95714286
188,T cell,CD244,28.2
189,T cell,CD247,231.6714286
190,T cell,CD28,38.27142857
191,T cell,CD36,1.057142857
192,T cell,CD4,56.35714286
193,T cell,CD44,176.3142857
194,T cell,CD47,130.9285714
195,T cell,CD48,261.5285714
196,T cell,CD5,73.8
197,T cell,CD58,28.68571429
198,T cell,CD68,6.628571429
199,T cell,CD69,18.24285714
200,T cell,CD74,958.9714286
201,T cell,CD82,72.24285714
202,T cell,CD83,3.828571429
203,T cell,CDC14A,8.128571429
204,T cell,CDC14B,1.228571429
205,T cell,CDC20,2.471428571
206,T cell,CDC25B,21.75714286
207,T cell,CDC34,1.757142857
208,T cell,CDC37,93.58571429
209,T cell,CDC42,133.4714286
210,T cell,CDC42EP3,47.35714286
211,T cell,CDC42SE2,126.4571429
212,T cell,CDC7,3.057142857
213,T cell,CDK11B,4.528571429
214,T cell,CDK12,2.028571429
215,T cell,CDK16,4.614285714
216,T cell,CDK2,3.785714286
217,T cell,CDK4,67.21428571
218,T cell,CDK5,11.95714286
219,T cell,CDK5RAP2,2.971428571
220,T cell,CDK6,2.385714286
221,T cell,CDK7,12.42857143
222,T cell,CDK9,7.528571429
223,T cell,CDKAL1,6.542857143
224,T cell,CDKN1B,6.985714286
225,T cell,CDKN2A,14.41428571
226,T cell,CDKN2C,7.285714286
227,T cell,CDKN3,4.542857143
228,T cell,CDYL,1.014285714
229,T cell,CELF1,12.75714286
230,T cell,CEP128,2.471428571
231,T cell,CEP85L,5.771428571
232,T cell,CFL1,1937.228571
233,T cell,CFLAR,45.65714286
234,T cell,CHD2,28.54285714
235,T cell,CHD9,13.4
236,T cell,CHEK1,2.371428571
237,T cell,CHEK2,2.157142857
238,T cell,CHN1,2.785714286
239,T cell,CHN2,1.371428571
240,T cell,CHUK,1.242857143
241,T cell,CISH,40.41428571
242,T cell,CKS1B,26.75714286
243,T cell,CLC,4.585714286
244,T cell,CLEC16A,1.657142857
245,T cell,CMKLR1,2.742857143
246,T cell,CMTM7,56.35714286
247,T cell,CMTR1,4.585714286
248,T cell,COP1,1.728571429
249,T cell,COPS5,31.58571429
250,T cell,COPS6,167.0428571
251,T cell,CPQ,23.34285714
252,T cell,CRADD,19.44285714
