Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean
152,Dendritic Cell,CASP6,10.05
153,Dendritic Cell,CASP7,5.25
154,Dendritic Cell,CASP8AP2,6.85
155,Dendritic Cell,CASP9,14.75
156,Dendritic Cell,CAST,60.2
157,Dendritic Cell,CAT,262.3
158,Dendritic Cell,CBL,1.75
159,Dendritic Cell,CBLB,1.95
160,Dendritic Cell,CCAR2,14.4
161,Dendritic Cell,CCDC12,148.7
162,Dendritic Cell,CCDC6,2.75
163,Dendritic Cell,CCDC88C,1.35
164,Dendritic Cell,CCDC91,3.4
165,Dendritic Cell,CCL4,1.5
166,Dendritic Cell,CCL5,16.6
167,Dendritic Cell,CCM2,21.25
168,Dendritic Cell,CCNB1,4.9
169,Dendritic Cell,CCND2,2.1
170,Dendritic Cell,CCND3,248.3
171,Dendritic Cell,CCNG1,36.85
172,Dendritic Cell,CCNG2,2.1
173,Dendritic Cell,CCNH,22
174,Dendritic Cell,CCNK,4.4
175,Dendritic Cell,CCNY,5.4
176,Dendritic Cell,CCR1,31.6
177,Dendritic Cell,CCR2,162.45
178,Dendritic Cell,CCR3,2.05
179,Dendritic Cell,CCR5,8.4
180,Dendritic Cell,CCR7,28.85
181,Dendritic Cell,CCRL2,5.55
182,Dendritic Cell,CD14,169.4
183,Dendritic Cell,CD180,20.7
184,Dendritic Cell,CD2,49.55
185,Dendritic Cell,CD22,3.8
186,Dendritic Cell,CD226,1.35
187,Dendritic Cell,CD244,19.05
188,Dendritic Cell,CD247,1.95
189,Dendritic Cell,CD33,97.2
190,Dendritic Cell,CD36,277.3
191,Dendritic Cell,CD4,191.5
192,Dendritic Cell,CD44,131.1
193,Dendritic Cell,CD47,94.5
194,Dendritic Cell,CD48,166.05
195,Dendritic Cell,CD5,3.5
196,Dendritic Cell,CD58,20.5
197,Dendritic Cell,CD68,990.7
198,Dendritic Cell,CD74,17627.75
199,Dendritic Cell,CD82,26.45
200,Dendritic Cell,CD83,5.1
201,Dendritic Cell,CD86,41.05
202,Dendritic Cell,CD93,4.5
203,Dendritic Cell,CDC14A,4.35
204,Dendritic Cell,CDC25B,1.65
205,Dendritic Cell,CDC34,1.6
206,Dendritic Cell,CDC37,88.3
207,Dendritic Cell,CDC42,117.05
208,Dendritic Cell,CDC42EP3,13.95
209,Dendritic Cell,CDC42SE2,53.55
210,Dendritic Cell,CDC6,1.55
211,Dendritic Cell,CDC7,1.65
212,Dendritic Cell,CDH1,3.2
213,Dendritic Cell,CDH23,6.35
214,Dendritic Cell,CDK11B,3.95
215,Dendritic Cell,CDK12,2.05
216,Dendritic Cell,CDK16,9.55
217,Dendritic Cell,CDK2,4.7
218,Dendritic Cell,CDK4,61.55
219,Dendritic Cell,CDK5,26.95
220,Dendritic Cell,CDK5RAP2,1.5
221,Dendritic Cell,CDK6,2.25
222,Dendritic Cell,CDK7,12.7
223,Dendritic Cell,CDK9,6.85
224,Dendritic Cell,CDKAL1,4.15
225,Dendritic Cell,CDKN1A,18.1
226,Dendritic Cell,CDKN1B,3.3
227,Dendritic Cell,CDKN1C,9.85
228,Dendritic Cell,CDKN2C,7.15
229,Dendritic Cell,CDKN3,1.35
230,Dendritic Cell,CDYL,4.65
231,Dendritic Cell,CEBPA,2.3
232,Dendritic Cell,CEBPD,1.85
233,Dendritic Cell,CELF1,9.5
234,Dendritic Cell,CEP128,4
235,Dendritic Cell,CEP85L,3.6
236,Dendritic Cell,CFL1,2490.3
237,Dendritic Cell,CFLAR,25.15
238,Dendritic Cell,CHD2,23.35
239,Dendritic Cell,CHD9,66.4
240,Dendritic Cell,CHEK2,6.75
241,Dendritic Cell,CHN2,4.9
242,Dendritic Cell,CHST15,4.15
243,Dendritic Cell,CISH,5.1
244,Dendritic Cell,CKS1B,51.95
245,Dendritic Cell,CLC,6
246,Dendritic Cell,CLEC16A,1.6
247,Dendritic Cell,CLIC2,21.3
248,Dendritic Cell,CMKLR1,9.75
249,Dendritic Cell,CMTM7,65.4
250,Dendritic Cell,CMTR1,4.2
251,Dendritic Cell,COP1,1.4
252,Dendritic Cell,COPS5,37.5
253,Dendritic Cell,COPS6,163.95
254,Dendritic Cell,CPQ,29.8
255,Dendritic Cell,CRADD,10.55
256,Dendritic Cell,CREB1,23.4
257,Dendritic Cell,CREB5,8
258,Dendritic Cell,CREM,7.45
259,Dendritic Cell,CRK,3.75
260,Dendritic Cell,CRKL,11.05
261,Dendritic Cell,CSF1R,62.65
262,Dendritic Cell,CSGALNACT1,3.15
263,Dendritic Cell,CSK,54.05
264,Dendritic Cell,CSNK1A1,54.6
265,Dendritic Cell,CSNK1D,13.3
266,Dendritic Cell,CSNK1E,8
267,Dendritic Cell,CSNK2A1,26.2
268,Dendritic Cell,CSNK2A2,7.4
269,Dendritic Cell,CSNK2B,21.15
270,Dendritic Cell,CSRP1,28.65
271,Dendritic Cell,CTBP1,25.15
272,Dendritic Cell,CTCF,3.45
273,Dendritic Cell,CTNNA1,17.85
274,Dendritic Cell,CTNNB1,10.05
275,Dendritic Cell,CTNND1,7.7
276,Dendritic Cell,CTSB,942.6
277,Dendritic Cell,CTSD,116.65
278,Dendritic Cell,CTSG,5.3
279,Dendritic Cell,CTSH,86.25
280,Dendritic Cell,CTSL,2.95
281,Dendritic Cell,CUEDC1,10.2
282,Dendritic Cell,CUL1,20.45
283,Dendritic Cell,CUX1,13.4
284,Dendritic Cell,CXCL10,1.5
285,Dendritic Cell,CYLD,13.65
286,Dendritic Cell,CYTH1,38.85
287,Dendritic Cell,CYTH4,64.1
288,Dendritic Cell,DAAM1,11.65
289,Dendritic Cell,DAB2,25.6
290,Dendritic Cell,DAP3,112.2
291,Dendritic Cell,DAPK1,5
292,Dendritic Cell,DAPK2,4.1
293,Dendritic Cell,DAPK3,15.85
294,Dendritic Cell,DAPP1,82.25
295,Dendritic Cell,DAXX,7.65
296,Dendritic Cell,DBI,688.3
297,Dendritic Cell,DBNL,334.9
298,Dendritic Cell,DCP1B,3.45
299,Dendritic Cell,DDB1,39.55
300,Dendritic Cell,DDB2,4.45
301,Dendritic Cell,DDIT4,141.9
302,Dendritic Cell,DDX50,13
303,Dendritic Cell,DDX58,1.4
304,Dendritic Cell,DDX60L,1.55
305,Dendritic Cell,DENND1A,6.15
306,Dendritic Cell,DENND3,1.85
307,Dendritic Cell,DEPTOR,9.2
308,Dendritic Cell,DERA,50.8
309,Dendritic Cell,DHRS3,14.85
310,Dendritic Cell,DHX58,3.45
311,Dendritic Cell,DIABLO,19.075
312,Dendritic Cell,DIAPH1,10.15
313,Dendritic Cell,DIS3L2,4.3
314,Dendritic Cell,DMAP1,19.5
315,Dendritic Cell,DNAJA3,5.05
316,Dendritic Cell,DNAJB12,17.8
317,Dendritic Cell,DNAJC5,3.6
318,Dendritic Cell,DNM1L,11.65
319,Dendritic Cell,DNM2,6.05
320,Dendritic Cell,DNMT1,22.7
321,Dendritic Cell,DOCK10,4.3
322,Dendritic Cell,DOCK5,1.35
323,Dendritic Cell,DOK1,11.15
324,Dendritic Cell,DPM1,20.5
325,Dendritic Cell,DPP4,2.35
326,Dendritic Cell,DPYD,15.35
327,Dendritic Cell,DPYSL2,50.65
328,Dendritic Cell,DSE,3.8
329,Dendritic Cell,DST,1.55
330,Dendritic Cell,DTNA,1.9
331,Dendritic Cell,DTNBP1,18.85
332,Dendritic Cell,DTWD1,18.3
333,Dendritic Cell,DTX3L,4.15
334,Dendritic Cell,DUSP1,120.45
335,Dendritic Cell,DUSP10,3
336,Dendritic Cell,DUSP11,37.1
337,Dendritic Cell,DUSP22,27.85
338,Dendritic Cell,DUSP3,20.9
339,Dendritic Cell,DUSP5,6.95
340,Dendritic Cell,DUSP6,49.9
341,Dendritic Cell,DUSP7,5.35
342,Dendritic Cell,DVL2,5.4
343,Dendritic Cell,DYM,16.6
344,Dendritic Cell,E2F3,1.65
345,Dendritic Cell,E2F4,9.35
346,Dendritic Cell,EARS2,3.7
347,Dendritic Cell,ECE1,1.65
348,Dendritic Cell,ECSIT,27.35
349,Dendritic Cell,EDEM2,70.2
350,Dendritic Cell,EEF1A1,6032.05
351,Dendritic Cell,EFCAB2,5.8
352,Dendritic Cell,EFHC1,3.3
353,Dendritic Cell,EGLN3,12.85
354,Dendritic Cell,EHD1,7.25
355,Dendritic Cell,EI24,11.55
356,Dendritic Cell,EIF2A,39.6
357,Dendritic Cell,EIF2AK1,5.75
358,Dendritic Cell,EIF2AK2,8.4
359,Dendritic Cell,EIF2AK4,39.55
360,Dendritic Cell,EIF2S1,52.4
361,Dendritic Cell,EIF3H,324.95
362,Dendritic Cell,EIF4B,66.7
363,Dendritic Cell,EIF4E,31.2
364,Dendritic Cell,EIF4EBP1,163.8
365,Dendritic Cell,EIF4G2,233.8
366,Dendritic Cell,ELAVL1,17.6
367,Dendritic Cell,ELF1,43.2
368,Dendritic Cell,ELF4,3.2
369,Dendritic Cell,ELK1,7.35
370,Dendritic Cell,ELL,6.85
371,Dendritic Cell,ELMO1,36.1
372,Dendritic Cell,ELP1,3.15
