Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean
668,Dendritic Cell,LDLR,1.05
669,Dendritic Cell,LGALS3,124.25
670,Dendritic Cell,LHFPL2,3.35
671,Dendritic Cell,LIMD1,3.2
672,Dendritic Cell,LIMK1,3.4
673,Dendritic Cell,LIMK2,2.9
674,Dendritic Cell,LIMS1,29.25
675,Dendritic Cell,LIPA,62.75
676,Dendritic Cell,LITAF,180.05
677,Dendritic Cell,LMNA,50.3
678,Dendritic Cell,LPP,3.7
679,Dendritic Cell,LRRFIP1,71
680,Dendritic Cell,LRRK2,2.2
681,Dendritic Cell,LTB,33.7
682,Dendritic Cell,LTBR,25.85
683,Dendritic Cell,LTK,2.35
684,Dendritic Cell,LY96,35.9
685,Dendritic Cell,LYN,21.45
686,Dendritic Cell,MACF1,1.85
687,Dendritic Cell,MAD1L1,43.95
688,Dendritic Cell,MAF1,85.85
689,Dendritic Cell,MAFG,1.8
690,Dendritic Cell,MAML3,1.15
691,Dendritic Cell,MAN1A1,1.45
692,Dendritic Cell,MAP1LC3A,1.75
693,Dendritic Cell,MAP2K1,10.35
694,Dendritic Cell,MAP2K2,11.05
695,Dendritic Cell,MAP2K3,42.2
696,Dendritic Cell,MAP2K4,1.3
697,Dendritic Cell,MAP2K5,4.9
698,Dendritic Cell,MAP2K6,39.15
699,Dendritic Cell,MAP3K1,1.3
700,Dendritic Cell,MAP3K11,5.45
701,Dendritic Cell,MAP3K2,2.9
702,Dendritic Cell,MAP3K20,6.85
703,Dendritic Cell,MAP3K3,2.95
704,Dendritic Cell,MAP3K4,5
705,Dendritic Cell,MAP3K5,1.35
706,Dendritic Cell,MAP3K7,10.45
707,Dendritic Cell,MAP3K8,20
708,Dendritic Cell,MAP4,8.15
709,Dendritic Cell,MAP4K1,22.25
710,Dendritic Cell,MAP4K2,4.25
711,Dendritic Cell,MAP4K4,3.25
712,Dendritic Cell,MAP4K5,3.6
713,Dendritic Cell,MAPK1,3
714,Dendritic Cell,MAPK14,5.65
715,Dendritic Cell,MAPK3,2.35
716,Dendritic Cell,MAPK7,1.55
717,Dendritic Cell,MAPK8,1.35
718,Dendritic Cell,MAPKAP1,5.45
719,Dendritic Cell,MAPKAPK2,11.05
720,Dendritic Cell,MAPKAPK3,99.9
721,Dendritic Cell,MAPKAPK5,2.2
722,Dendritic Cell,MARK3,3.1
723,Dendritic Cell,MAT2A,18.1
724,Dendritic Cell,MAVS,1.4
725,Dendritic Cell,MAX,106.7
726,Dendritic Cell,MBNL1,42.2
727,Dendritic Cell,MBP,9.55
728,Dendritic Cell,MCC,1.25
729,Dendritic Cell,MCL1,11.85
730,Dendritic Cell,MCM3,21.75
731,Dendritic Cell,MCM7,3.4
732,Dendritic Cell,MCPH1,2.25
733,Dendritic Cell,MCTP1,15.1
734,Dendritic Cell,MDM2,3.4
735,Dendritic Cell,MDM4,5.2
736,Dendritic Cell,MED14,1.75
737,Dendritic Cell,MED15,8.65
738,Dendritic Cell,MED16,30.65
739,Dendritic Cell,MED28,4.9
740,Dendritic Cell,MED4,55.2
741,Dendritic Cell,MEF2C,88.15
742,Dendritic Cell,MEF2D,3
743,Dendritic Cell,METTL8,4.85
744,Dendritic Cell,METTL9,18.15
745,Dendritic Cell,MGAT1,146.45
746,Dendritic Cell,MGLL,45.6
747,Dendritic Cell,MGMT,26.3
748,Dendritic Cell,MGRN1,3
749,Dendritic Cell,MICAL2,2.65
750,Dendritic Cell,MITF,3.05
751,Dendritic Cell,MKL1,70.8
752,Dendritic Cell,MKNK1,10.65
753,Dendritic Cell,MKNK2,7.8
754,Dendritic Cell,MKRN1,10.55
755,Dendritic Cell,MLH1,11.5
756,Dendritic Cell,MOB1A,45.95
757,Dendritic Cell,MOB1B,1.7
758,Dendritic Cell,MOV10,3.45
759,Dendritic Cell,MPG,74.6
760,Dendritic Cell,MPRIP,5.75
761,Dendritic Cell,MPZL1,37.1
762,Dendritic Cell,MR1,13
763,Dendritic Cell,MRC1,2.1
764,Dendritic Cell,MRE11,8.7
765,Dendritic Cell,MRPL27,160.2
766,Dendritic Cell,MRPS27,27
767,Dendritic Cell,MSC,2.85
768,Dendritic Cell,MSH2,2.7
769,Dendritic Cell,MTHFR,1.1
770,Dendritic Cell,MTOR,1.25
771,Dendritic Cell,MTSS1,5.25
772,Dendritic Cell,MVP,82.25
773,Dendritic Cell,MX1,42.15
774,Dendritic Cell,MYBL2,42.25
775,Dendritic Cell,MYC,18.95
776,Dendritic Cell,MYCBP2,2.1
777,Dendritic Cell,MYH9,11.2
778,Dendritic Cell,MYLK,3.05
779,Dendritic Cell,MYO9B,2.6
780,Dendritic Cell,MYOF,6.05
781,Dendritic Cell,NAA35,3.95
782,Dendritic Cell,NABP1,2.3
783,Dendritic Cell,NAIP,2.45
784,Dendritic Cell,NBN,13.25
785,Dendritic Cell,NCBP1,8.35
786,Dendritic Cell,NCK1,15.05
787,Dendritic Cell,NCK2,1.35
788,Dendritic Cell,NCL,135.35
789,Dendritic Cell,NCOA1,3.55
790,Dendritic Cell,NCOA3,4.45
791,Dendritic Cell,NCOA7,20.35
792,Dendritic Cell,NDRG1,8
793,Dendritic Cell,NDRG2,91.4
794,Dendritic Cell,NDST1,2
795,Dendritic Cell,NEDD9,10.15
796,Dendritic Cell,NEK6,25.1
797,Dendritic Cell,NEK7,1.45
798,Dendritic Cell,NEK9,1.65
799,Dendritic Cell,NF2,11.35
800,Dendritic Cell,NFAM1,7.35
801,Dendritic Cell,NFATC1,2.7
802,Dendritic Cell,NFATC3,3.9
803,Dendritic Cell,NFIA,1.05
804,Dendritic Cell,NFIC,1.95
805,Dendritic Cell,NFKBIZ,4.5
806,Dendritic Cell,NFYA,3.45
807,Dendritic Cell,NFYB,9.55
808,Dendritic Cell,NFYC,47.35
809,Dendritic Cell,NIN,4.85
810,Dendritic Cell,NINJ1,36.7
811,Dendritic Cell,NKIRAS1,3.1
812,Dendritic Cell,NLRC5,1.2
813,Dendritic Cell,NME1,66.65
814,Dendritic Cell,NME7,4.45
815,Dendritic Cell,NMI,50.25
816,Dendritic Cell,NOD1,5.15
817,Dendritic Cell,NOLC1,12.95
818,Dendritic Cell,NOTCH2,3.45
819,Dendritic Cell,NPM1,481.4
820,Dendritic Cell,NQO1,2.4
821,Dendritic Cell,NQO2,33.05
822,Dendritic Cell,NR1D1,1.05
823,Dendritic Cell,NR1H2,90.2
824,Dendritic Cell,NR2C2,1.1
825,Dendritic Cell,NR3C1,24.5
826,Dendritic Cell,NR4A1,1.75
827,Dendritic Cell,NRAS,9.7
828,Dendritic Cell,NRG1,3.5
829,Dendritic Cell,NRP1,19.55
830,Dendritic Cell,NSD1,7.2
831,Dendritic Cell,NSMAF,8.35
832,Dendritic Cell,NTM,8.05
833,Dendritic Cell,NUAK2,6.45
834,Dendritic Cell,NUMB,35.8
835,Dendritic Cell,NUP153,1.35
836,Dendritic Cell,NUP210,5.05
837,Dendritic Cell,OAS2,17.25
838,Dendritic Cell,OAS3,2.45
839,Dendritic Cell,OASL,4.9
840,Dendritic Cell,OGG1,11.2
841,Dendritic Cell,OGT,5.55
842,Dendritic Cell,OLR1,1.3
843,Dendritic Cell,OPTN,2.85
844,Dendritic Cell,OSBPL3,2.45
845,Dendritic Cell,OSBPL8,46.2
846,Dendritic Cell,OSBPL9,24.35
847,Dendritic Cell,OTUB1,152.55
848,Dendritic Cell,OXSR1,1.75
849,Dendritic Cell,P2RY6,56.75
850,Dendritic Cell,PA2G4,89.65
851,Dendritic Cell,PACSIN2,13
852,Dendritic Cell,PAG1,2.75
853,Dendritic Cell,PAK1,124.55
854,Dendritic Cell,PAK2,15.4
855,Dendritic Cell,PANK2,4.8
856,Dendritic Cell,PARD6A,2.85
857,Dendritic Cell,PARK7,814.35
858,Dendritic Cell,PARP1,53.9
859,Dendritic Cell,PARP10,8.95
860,Dendritic Cell,PARP14,3.1
861,Dendritic Cell,PARP9,13.45
862,Dendritic Cell,PCBP2,45.6
863,Dendritic Cell,PCK2,7.55
864,Dendritic Cell,PCNA,27.1
865,Dendritic Cell,PDE4B,5.7
866,Dendritic Cell,PDE7A,1.75
867,Dendritic Cell,PDGFA,1.75
868,Dendritic Cell,PDIA3,13.75
869,Dendritic Cell,PDK1,1.75
870,Dendritic Cell,PDK2,19
871,Dendritic Cell,PDLIM5,11.45
872,Dendritic Cell,PDPK1,6.2
873,Dendritic Cell,PEA15,35.25
874,Dendritic Cell,PEBP1,154.55
875,Dendritic Cell,PECAM1,108.3
876,Dendritic Cell,PELI1,2.5
877,Dendritic Cell,PER2,1.45
878,Dendritic Cell,PFKFB3,3.4
879,Dendritic Cell,PFN1,5646.65
880,Dendritic Cell,PGK1,205.6
881,Dendritic Cell,PGPEP1,2.5
882,Dendritic Cell,PGS1,13.85
883,Dendritic Cell,PHACTR1,35.45
884,Dendritic Cell,PHACTR2,3
885,Dendritic Cell,PHACTR4,2
886,Dendritic Cell,PHB,291.65
887,Dendritic Cell,PIAS1,21.25
888,Dendritic Cell,PIAS3,6.85
889,Dendritic Cell,PIAS4,9.55
890,Dendritic Cell,PIEZO1,5.05
891,Dendritic Cell,PIK3AP1,10.85
892,Dendritic Cell,PIK3C3,7.1
893,Dendritic Cell,PIK3CA,1.05
894,Dendritic Cell,PIK3CB,4.05
895,Dendritic Cell,PIK3CG,7.95
896,Dendritic Cell,PIK3R4,4.15
897,Dendritic Cell,PIK3R5,9.3
898,Dendritic Cell,PIM1,3.75
899,Dendritic Cell,PIM2,12.9
900,Dendritic Cell,PIM3,4.1
901,Dendritic Cell,PIN1,221.6
902,Dendritic Cell,PIP4K2A,40.05
903,Dendritic Cell,PKIG,20.65
904,Dendritic Cell,PKM,376.95
905,Dendritic Cell,PKN1,19.95
906,Dendritic Cell,PKN2,6.2
907,Dendritic Cell,PLA2G4A,4.75
908,Dendritic Cell,PLAC8,1111.15
909,Dendritic Cell,PLAGL1,9.6
910,Dendritic Cell,PLAU,1.4
911,Dendritic Cell,PLAUR,123.4
912,Dendritic Cell,PLB1,2.65
913,Dendritic Cell,PLCB2,1.65
914,Dendritic Cell,PLCB4,1.4
915,Dendritic Cell,PLD2,2.35
916,Dendritic Cell,PLEKHA2,3.25
917,Dendritic Cell,PLEKHO1,22.2
918,Dendritic Cell,PLK2,1.5
919,Dendritic Cell,PLK3,2.7
920,Dendritic Cell,PLSCR1,58.3
921,Dendritic Cell,PLSCR3,12.8
922,Dendritic Cell,PLXNB2,8
923,Dendritic Cell,PLXNC1,1.75
924,Dendritic Cell,PMAIP1,9.9
925,Dendritic Cell,PML,10.8
926,Dendritic Cell,PMP22,15.4
927,Dendritic Cell,PNKP,6.55
928,Dendritic Cell,PNPLA8,18
929,Dendritic Cell,POLA2,7.45
930,Dendritic Cell,POLD4,125.7
931,Dendritic Cell,PON2,18
932,Dendritic Cell,POU2F1,2.5
933,Dendritic Cell,POU2F2,10.7
934,Dendritic Cell,PPARA,1.7
935,Dendritic Cell,PPFIBP2,3.45
936,Dendritic Cell,PPIA,1718.9
937,Dendritic Cell,PPM1A,1.05
938,Dendritic Cell,PPM1B,3.25
939,Dendritic Cell,PPM1D,10.2
940,Dendritic Cell,PPM1G,68.3
941,Dendritic Cell,PPM1J,34.15
942,Dendritic Cell,PPM1M,10.3
943,Dendritic Cell,PPP1CA,526.05
944,Dendritic Cell,PPP1CB,51.35
945,Dendritic Cell,PPP1CC,20.15
946,Dendritic Cell,PPP1R12A,34.2
947,Dendritic Cell,PPP1R14A,103.5
948,Dendritic Cell,PPP1R15A,68.8
949,Dendritic Cell,PPP1R2,77.05
950,Dendritic Cell,PPP1R9B,1.55
951,Dendritic Cell,PPP2CA,52.95
952,Dendritic Cell,PPP2CB,2.55
953,Dendritic Cell,PPP2R1A,145.75
954,Dendritic Cell,PPP2R2A,2.45
955,Dendritic Cell,PPP2R5A,1.4
956,Dendritic Cell,PPP2R5C,73
957,Dendritic Cell,PPP2R5D,12.9
958,Dendritic Cell,PPP3CA,36.2
959,Dendritic Cell,PPP3CC,5.1
960,Dendritic Cell,PPP4C,94.45
961,Dendritic Cell,PPP5C,13.15
962,Dendritic Cell,PPP6C,18.2
963,Dendritic Cell,PRDX1,210.75
964,Dendritic Cell,PREX1,1.4
965,Dendritic Cell,PRKAA1,3.65
966,Dendritic Cell,PRKAB1,23.3
967,Dendritic Cell,PRKACA,1.1
968,Dendritic Cell,PRKAG2,6.75
969,Dendritic Cell,PRKAR1A,62.3
970,Dendritic Cell,PRKAR1B,4.15
971,Dendritic Cell,PRKAR2A,4.55
972,Dendritic Cell,PRKCB,20.8
973,Dendritic Cell,PRKCH,5.3
974,Dendritic Cell,PRKRA,39.35
975,Dendritic Cell,PRMT5,29.95
976,Dendritic Cell,PROC,28.1
977,Dendritic Cell,PRPF40A,80.15
978,Dendritic Cell,PRPF4B,8.35
979,Dendritic Cell,PSD4,4.1
980,Dendritic Cell,PSEN1,56.55
981,Dendritic Cell,PSEN2,6.5
982,Dendritic Cell,PSMB9,51.2
983,Dendritic Cell,PSMD1,22
984,Dendritic Cell,PSTPIP2,11.4
985,Dendritic Cell,PTAFR,50.95
986,Dendritic Cell,PTK2,4.8
987,Dendritic Cell,PTK2B,21.3
988,Dendritic Cell,PTK7,6.3
989,Dendritic Cell,PTMA,1681.4
990,Dendritic Cell,PTP4A1,32.25
991,Dendritic Cell,PTP4A2,36.75
992,Dendritic Cell,PTPA,18.1
993,Dendritic Cell,PTPN1,8.35
994,Dendritic Cell,PTPN11,14.5
995,Dendritic Cell,PTPN12,1.75
996,Dendritic Cell,PTPN18,6.35
997,Dendritic Cell,PTPN2,51.75
998,Dendritic Cell,PTPN22,6.3
999,Dendritic Cell,PTPN6,195.7
1000,Dendritic Cell,PTPN7,2.95
1001,Dendritic Cell,PTPRA,2.5
1002,Dendritic Cell,PTPRE,265.45
1003,Dendritic Cell,PTPRJ,1.05
1004,Dendritic Cell,PTTG1,19.85
1005,Dendritic Cell,PTTG1IP,123.35
1006,Dendritic Cell,PWP2,1.1
1007,Dendritic Cell,PXN,13.45
1008,Dendritic Cell,PYCARD,645.55
1009,Dendritic Cell,RAB31,20.85
1010,Dendritic Cell,RAB3GAP2,2.75
1011,Dendritic Cell,RABGGTA,8.25
1012,Dendritic Cell,RAC1,78.9
1013,Dendritic Cell,RACGAP1,2.15
1014,Dendritic Cell,RACK1,514.5
1015,Dendritic Cell,RAD1,3.65
1016,Dendritic Cell,RAD17,2.25
1017,Dendritic Cell,RAD18,2.6
1018,Dendritic Cell,RAD50,2.25
1019,Dendritic Cell,RAD51B,5.85
1020,Dendritic Cell,RAD9A,2
1021,Dendritic Cell,RAF1,19.95
1022,Dendritic Cell,RALBP1,13.4
1023,Dendritic Cell,RAN,469.8
1024,Dendritic Cell,RANGAP1,6.2
1025,Dendritic Cell,RAP1A,17.35
1026,Dendritic Cell,RAP1B,131.35
1027,Dendritic Cell,RAP1GAP2,1.25
1028,Dendritic Cell,RAP2A,1.15
1029,Dendritic Cell,RAPGEF1,1.35
1030,Dendritic Cell,RARA,7.05
1031,Dendritic Cell,RARG,3.2
1032,Dendritic Cell,RASA3,1.8
1033,Dendritic Cell,RASGEF1B,13.6
1034,Dendritic Cell,RASSF1,19.5
1035,Dendritic Cell,RASSF2,34.75
1036,Dendritic Cell,RASSF4,38.45
1037,Dendritic Cell,RASSF5,35.15
1038,Dendritic Cell,RB1,14
1039,Dendritic Cell,RB1CC1,8.65
1040,Dendritic Cell,RBBP8,7.35
1041,Dendritic Cell,RBL1,2
1042,Dendritic Cell,RBM19,4.6
1043,Dendritic Cell,RBM47,21.9
1044,Dendritic Cell,RBMS1,9.5
1045,Dendritic Cell,RBMS3,1.75
1046,Dendritic Cell,RBPJ,110.85
1047,Dendritic Cell,RBX1,163.9
1048,Dendritic Cell,RCAN1,2.1
1049,Dendritic Cell,RCC2,2.45
1050,Dendritic Cell,RCHY1,5.45
1051,Dendritic Cell,RCN1,9.35
1052,Dendritic Cell,RDX,10.15
1053,Dendritic Cell,RECQL5,9
1054,Dendritic Cell,RERE,3.75
1055,Dendritic Cell,RFTN1,26.8
1056,Dendritic Cell,RFX3,2.45
1057,Dendritic Cell,RGCC,3.5
1058,Dendritic Cell,RGS16,4.7
1059,Dendritic Cell,RGS19,159.55
1060,Dendritic Cell,RHBDD2,49.8
1061,Dendritic Cell,RHBDF2,7.75
1062,Dendritic Cell,RHEB,32.85
1063,Dendritic Cell,RHOA,716
1064,Dendritic Cell,RHOF,42.45
1065,Dendritic Cell,RHOG,167.65
1066,Dendritic Cell,RICTOR,3.1
1067,Dendritic Cell,RIN1,2.1
1068,Dendritic Cell,RIN3,18.9
1069,Dendritic Cell,RIPK2,5.1
1070,Dendritic Cell,RIPK3,2.15
1071,Dendritic Cell,RIPOR2,58.7
1072,Dendritic Cell,RNF11,3.9
1073,Dendritic Cell,RNF144B,14.45
1074,Dendritic Cell,RNF213,17.35
1075,Dendritic Cell,RNF216,7.5
1076,Dendritic Cell,RNF8,4.95
1077,Dendritic Cell,RNLS,2.85
1078,Dendritic Cell,ROCK1,4.35
1079,Dendritic Cell,RPA1,27.45
1080,Dendritic Cell,RPA2,113.25
1081,Dendritic Cell,RPL10,4600.45
1082,Dendritic Cell,RPL13,3931.5
1083,Dendritic Cell,RPL39L,10.3
1084,Dendritic Cell,RPS19,8728.35
1085,Dendritic Cell,RPS24,2390.75
1086,Dendritic Cell,RPS27A,2346.15
1087,Dendritic Cell,RPS27L,108.55
1088,Dendritic Cell,RPS3,926.7
1089,Dendritic Cell,RPS6,3501.05
1090,Dendritic Cell,RPS6KA1,42.4
1091,Dendritic Cell,RPS6KA2,2.55
1092,Dendritic Cell,RPS6KA3,5.65
1093,Dendritic Cell,RPS6KA4,5.9
1094,Dendritic Cell,RPS6KA5,2
1095,Dendritic Cell,RPS6KB1,11.2
1096,Dendritic Cell,RPS6KB2,32.65
1097,Dendritic Cell,RRAS,1.95
1098,Dendritic Cell,RREB1,3.15
1099,Dendritic Cell,RRM1,5.4
1100,Dendritic Cell,RRM2B,4.4
1101,Dendritic Cell,RSAD2,2.5
1102,Dendritic Cell,RSF1,21.1
1103,Dendritic Cell,RTN4,10.45
1104,Dendritic Cell,RUNX1,2.05
1105,Dendritic Cell,RUNX2,8.3
1106,Dendritic Cell,RUNX3,1.35
1107,Dendritic Cell,RUVBL1,11.5
1108,Dendritic Cell,RXRA,1.05
1109,Dendritic Cell,RXYLT1,2.8
1110,Dendritic Cell,S100A10,812.9
1111,Dendritic Cell,S100A11,1687.4
1112,Dendritic Cell,S100A2,1.1
1113,Dendritic Cell,S100A4,3917
1114,Dendritic Cell,S100A6,1964.45
1115,Dendritic Cell,S100A9,2100.05
1116,Dendritic Cell,S100B,10.8
1117,Dendritic Cell,SAMSN1,11.35
1118,Dendritic Cell,SCAF11,21.35
1119,Dendritic Cell,SCAPER,5.9
1120,Dendritic Cell,SCARB1,27.25
1121,Dendritic Cell,SCHIP1,3.9
1122,Dendritic Cell,SCMH1,2.6
1123,Dendritic Cell,SDC4,1.25
1124,Dendritic Cell,SEC14L1,7.15
1125,Dendritic Cell,SELPLG,386.05
1126,Dendritic Cell,SEMA3C,3.05
1127,Dendritic Cell,SEMA4D,4.95
1128,Dendritic Cell,SERPINB1,87.5
1129,Dendritic Cell,SERTAD1,22.05
1130,Dendritic Cell,SERTAD2,2.95
1131,Dendritic Cell,SESN1,3.7
1132,Dendritic Cell,SESN2,1.5
1133,Dendritic Cell,SFSWAP,4.7
1134,Dendritic Cell,SGK1,6.6
1135,Dendritic Cell,SGK3,13.35
1136,Dendritic Cell,SGMS1,3.6
1137,Dendritic Cell,SH2B1,1.5
1138,Dendritic Cell,SH2B3,4.45
1139,Dendritic Cell,SH3BP4,2.3
1140,Dendritic Cell,SH3BP5,6.5
1141,Dendritic Cell,SH3RF1,1.15
1142,Dendritic Cell,SH3TC1,11.35
1143,Dendritic Cell,SHC1,24.65
1144,Dendritic Cell,SIAH1,11.1
1145,Dendritic Cell,SIGLEC10,19.45
1146,Dendritic Cell,SIL1,38.9
1147,Dendritic Cell,SIRPA,6.5
1148,Dendritic Cell,SIRT1,1.1
1149,Dendritic Cell,SIRT2,39.15
1150,Dendritic Cell,SIRT6,11.4
1151,Dendritic Cell,SIVA1,261.1
1152,Dendritic Cell,SKP2,9.5
1153,Dendritic Cell,SLA,37.55
1154,Dendritic Cell,SLC25A37,1.6
1155,Dendritic Cell,SLC2A1,9.1
1156,Dendritic Cell,SLC37A1,12.3
1157,Dendritic Cell,SLC6A6,2.65
1158,Dendritic Cell,SLC8A1,2.05
1159,Dendritic Cell,SLC9A3R1,81.6
1160,Dendritic Cell,SLX4IP,1.45
1161,Dendritic Cell,SMAD1,2.95
1162,Dendritic Cell,SMAD2,25.05
1163,Dendritic Cell,SMAD3,1.15
1164,Dendritic Cell,SMARCA4,6.4
1165,Dendritic Cell,SMC1A,13
1166,Dendritic Cell,SMC3,10
1167,Dendritic Cell,SMCO4,155.9
1168,Dendritic Cell,SMG1,3.75
1169,Dendritic Cell,SMPD3,64.8
1170,Dendritic Cell,SMURF2,1.05
1171,Dendritic Cell,SMYD3,5.9
1172,Dendritic Cell,SNAP47,21.2
1173,Dendritic Cell,SNCA,77.75
1174,Dendritic Cell,SND1,82.05
1175,Dendritic Cell,SNRK,2.3
1176,Dendritic Cell,SNRNP27,23.8
1177,Dendritic Cell,SNTA1,4.45
1178,Dendritic Cell,SNX8,12.05
1179,Dendritic Cell,SOCS4,1.2
1180,Dendritic Cell,SOCS6,1.85
1181,Dendritic Cell,SOD2,25.475
1182,Dendritic Cell,SORBS3,4.85
1183,Dendritic Cell,SP1,1.55
1184,Dendritic Cell,SP140L,4.9
1185,Dendritic Cell,SP2,4.15
1186,Dendritic Cell,SP3,11
1187,Dendritic Cell,SPATS2L,13.5
1188,Dendritic Cell,SPECC1L,2.7
1189,Dendritic Cell,SPI1,7.45
1190,Dendritic Cell,SPIB,271.5
1191,Dendritic Cell,SPIDR,4.1
1192,Dendritic Cell,SPTBN1,1.4
1193,Dendritic Cell,SQOR,65.9
1194,Dendritic Cell,SQSTM1,148.95
1195,Dendritic Cell,SRGN,448.85
1196,Dendritic Cell,SRPK1,4.05
1197,Dendritic Cell,SSBP2,10.65
1198,Dendritic Cell,ST3GAL1,8.85
1199,Dendritic Cell,ST3GAL2,7.45
1200,Dendritic Cell,ST6GAL1,12.4
1201,Dendritic Cell,ST7,5.1
1202,Dendritic Cell,STAG1,3.35
1203,Dendritic Cell,STAM,7.1
1204,Dendritic Cell,STAM2,2.55
1205,Dendritic Cell,STAT4,3.35
1206,Dendritic Cell,STAT5A,11.2
1207,Dendritic Cell,STAT6,11
1208,Dendritic Cell,STEAP3,1.8
1209,Dendritic Cell,STK10,12.95
1210,Dendritic Cell,STK11,1.1
1211,Dendritic Cell,STK17A,1.1
1212,Dendritic Cell,STK24,8.1
1213,Dendritic Cell,STK3,4.85
1214,Dendritic Cell,STK38,19.5
1215,Dendritic Cell,STK40,3.05
1216,Dendritic Cell,STOML2,105.2
1217,Dendritic Cell,STRADB,10.6
1218,Dendritic Cell,SUB1,296.6
1219,Dendritic Cell,SUGT1,33.3
1220,Dendritic Cell,SULF2,21.95
1221,Dendritic Cell,SUMO1,183.7
1222,Dendritic Cell,SUSD1,20.7
1223,Dendritic Cell,SYK,66.05
1224,Dendritic Cell,SYNE1,1.5
1225,Dendritic Cell,SYNE2,1.3
1226,Dendritic Cell,TAB1,3.2
1227,Dendritic Cell,TAB2,2
1228,Dendritic Cell,TACC1,20.2
1229,Dendritic Cell,TAF1,1.2
1230,Dendritic Cell,TAF1B,9.65
1231,Dendritic Cell,TAGLN,2.15
1232,Dendritic Cell,TAOK3,46.1
1233,Dendritic Cell,TAX1BP1,51.5
1234,Dendritic Cell,TBC1D1,6.2
1235,Dendritic Cell,TBC1D14,10.1
1236,Dendritic Cell,TBC1D31,2.1
1237,Dendritic Cell,TBC1D4,4.9
1238,Dendritic Cell,TBC1D5,6.7
1239,Dendritic Cell,TBCA,188.1
1240,Dendritic Cell,TBL1XR1,7.35
1241,Dendritic Cell,TBP,32.7
1242,Dendritic Cell,TBXAS1,67.5
1243,Dendritic Cell,TCEAL1,21.1
1244,Dendritic Cell,TCF12,12.35
1245,Dendritic Cell,TCF4,260.95
1246,Dendritic Cell,TCF7L2,1.9
1247,Dendritic Cell,TDP1,13.25
1248,Dendritic Cell,TERF1,11.1
1249,Dendritic Cell,TERF2,3.9
1250,Dendritic Cell,TFDP1,3.95
1251,Dendritic Cell,TFEB,11.15
1252,Dendritic Cell,TGFBI,222.2
1253,Dendritic Cell,TGIF1,16.05
1254,Dendritic Cell,THADA,3.35
1255,Dendritic Cell,THAP12,1.4
1256,Dendritic Cell,TIAM1,4.4
1257,Dendritic Cell,TICAM2,5.35
1258,Dendritic Cell,TIMP1,220.7
1259,Dendritic Cell,TKT,105.1
1260,Dendritic Cell,TLE4,1.8
1261,Dendritic Cell,TLK1,3.5
1262,Dendritic Cell,TLN1,4.3
1263,Dendritic Cell,TLR1,8.15
1264,Dendritic Cell,TLR10,6.5
1265,Dendritic Cell,TLR2,46.95
1266,Dendritic Cell,TLR4,10.15
1267,Dendritic Cell,TLR5,10.45
1268,Dendritic Cell,TLR6,1.3
1269,Dendritic Cell,TLR7,11.9
1270,Dendritic Cell,TLR8,3.65
1271,Dendritic Cell,TLR9,37.45
1272,Dendritic Cell,TMEM30A,40.55
1273,Dendritic Cell,TMX3,4.85
1274,Dendritic Cell,TNFAIP8,87.35
1275,Dendritic Cell,TNFAIP8L1,1.6
1276,Dendritic Cell,TNFRSF10A,2.75
1277,Dendritic Cell,TNFRSF10B,6.8
1278,Dendritic Cell,TNFRSF10C,1.95
1279,Dendritic Cell,TNFRSF10D,1.25
1280,Dendritic Cell,TNFRSF11B,1.4
1281,Dendritic Cell,TNFRSF1B,39.35
1282,Dendritic Cell,TNFRSF21,33.55
1283,Dendritic Cell,TNFRSF8,4.85
1284,Dendritic Cell,TNFSF10,22.2
1285,Dendritic Cell,TNFSF13B,125.15
1286,Dendritic Cell,TNFSF8,9.2
1287,Dendritic Cell,TNIP1,9.95
1288,Dendritic Cell,TNIP2,5.55
1289,Dendritic Cell,TNRC6B,56.1
1290,Dendritic Cell,TNS3,2.9
1291,Dendritic Cell,TOLLIP,67.65
1292,Dendritic Cell,TOP1,13.15
1293,Dendritic Cell,TOX2,1.2
1294,Dendritic Cell,TP53BP1,1.15
1295,Dendritic Cell,TP53I3,9.5
1296,Dendritic Cell,TP53INP1,1.3
1297,Dendritic Cell,TP53RK,18.9
1298,Dendritic Cell,TPCN1,6.6
1299,Dendritic Cell,TPD52,3.45
1300,Dendritic Cell,TRADD,46.1
1301,Dendritic Cell,TRAF1,1.55
1302,Dendritic Cell,TRAF2,9.7
1303,Dendritic Cell,TRAF4,25.95
1304,Dendritic Cell,TRAF5,1.1
1305,Dendritic Cell,TRAF6,8.65
1306,Dendritic Cell,TRAPPC9,3.7
1307,Dendritic Cell,TRIAP1,49.25
1308,Dendritic Cell,TRIB3,3.6
1309,Dendritic Cell,TRIM21,65.1
1310,Dendritic Cell,TRIM25,2.45
1311,Dendritic Cell,TRIM28,14.8
1312,Dendritic Cell,TRIP6,2.95
1313,Dendritic Cell,TSC1,1.15
1314,Dendritic Cell,TSC2,1.4
1315,Dendritic Cell,TSC22D3,210.15
1316,Dendritic Cell,TSPAN14,21.8
1317,Dendritic Cell,TSPAN3,188.35
1318,Dendritic Cell,TTC1,62.1
1319,Dendritic Cell,TUBA1C,21.15
1320,Dendritic Cell,TUBB,15.15
1321,Dendritic Cell,TUBGCP5,2.2
1322,Dendritic Cell,TXN,831.35
